name,link,image_url
Beach Hut Man,https://www.fragrantica.com/perfume/Amouage/Beach-Hut-Man-46336.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46336.jpg
Cristal & Gold Man,https://www.fragrantica.com/perfume/Amouage/Cristal-Gold-Man-88160.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88160.jpg
Cristal & Gold Woman fe,https://www.fragrantica.com/perfume/Amouage/Cristal-Gold-Woman-88159.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88159.jpg
Dia Man,https://www.fragrantica.com/perfume/Amouage/Dia-Man-1110.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1110.jpg
Dia Woman fe,https://www.fragrantica.com/perfume/Amouage/Dia-Woman-1109.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1109.jpg
Epic Man,https://www.fragrantica.com/perfume/Amouage/Epic-Man-6537.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6537.jpg
Epic Woman fe,https://www.fragrantica.com/perfume/Amouage/Epic-Woman-6538.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6538.jpg
Gold Man,https://www.fragrantica.com/perfume/Amouage/Gold-Man-918.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.918.jpg
Gold Woman fe,https://www.fragrantica.com/perfume/Amouage/Gold-Woman-917.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.917.jpg
Guidance Hair Perfume,https://www.fragrantica.com/perfume/Amouage/Guidance-Hair-Perfume-116529.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116529.jpg
Honour Man,https://www.fragrantica.com/perfume/Amouage/Honour-Man-12763.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12763.jpg
Honour Woman fe,https://www.fragrantica.com/perfume/Amouage/Honour-Woman-12762.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12762.jpg
Imitation Man,https://www.fragrantica.com/perfume/Amouage/Imitation-Man-49850.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49850.jpg
Imitation Woman fe,https://www.fragrantica.com/perfume/Amouage/Imitation-Woman-49851.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49851.jpg
