name,link,image_url
Baroque Gold fe,https://www.fragrantica.com/perfume/Armaf/Baroque-Gold-68053.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68053.jpg
Beach Party,https://www.fragrantica.com/perfume/Armaf/Beach-Party-102025.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102025.jpg
Beau Star,https://www.fragrantica.com/perfume/Armaf/Beau-Star-101641.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101641.jpg
Belle Pour Femme fe,https://www.fragrantica.com/perfume/Armaf/Belle-Pour-Femme-102024.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102024.jpg
Black Saffron unisex,https://www.fragrantica.com/perfume/Armaf/Black-Saffron-94311.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94311.jpg
Blue Homme male,https://www.fragrantica.com/perfume/Armaf/Blue-Homme-27686.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27686.jpg
Blue Sky,https://www.fragrantica.com/perfume/Armaf/Blue-Sky-98710.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98710.jpg
Caballo Pour Homme,https://www.fragrantica.com/perfume/Armaf/Caballo-Pour-Homme-77867.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77867.jpg
El Cielo Pour Homme male,https://www.fragrantica.com/perfume/Armaf/El-Cielo-Pour-Homme-50321.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50321.jpg
Enchanted Royal,https://www.fragrantica.com/perfume/Armaf/Enchanted-Royal-68056.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68056.jpg
Evoke Blue Homme,https://www.fragrantica.com/perfume/Armaf/Evoke-Blue-Homme-68058.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68058.jpg
Fade Denim Edit male,https://www.fragrantica.com/perfume/Armaf/Fade-Denim-Edit-94312.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94312.jpg
Fraiche Intense male,https://www.fragrantica.com/perfume/Armaf/Fraiche-Intense-94322.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94322.jpg
La Rosa fe,https://www.fragrantica.com/perfume/Armaf/La-Rosa-50326.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50326.jpg
Le Femme female,https://www.fragrantica.com/perfume/Armaf/Le-Femme-27670.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27670.jpg
Myst female,https://www.fragrantica.com/perfume/Armaf/Myst-27671.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27671.jpg
Nomad Pour Homme,https://www.fragrantica.com/perfume/Armaf/Nomad-Pour-Homme-77868.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77868.jpg
Ombre d'Or,https://www.fragrantica.com/perfume/Armaf/Ombre-d-Or-109771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109771.jpg
Ombre Oud Intense,https://www.fragrantica.com/perfume/Armaf/Ombre-Oud-Intense-101947.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101947.jpg
Ombre Oud Intense Black unisex,https://www.fragrantica.com/perfume/Armaf/Ombre-Oud-Intense-Black-94332.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94332.jpg
Passion Woman female,https://www.fragrantica.com/perfume/Armaf/Passion-Woman-94327.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94327.jpg
Perle d'Or,https://www.fragrantica.com/perfume/Armaf/Perle-d-Or-112769.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112769.jpg
Red Sky fe,https://www.fragrantica.com/perfume/Armaf/Red-Sky-98714.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98714.jpg
Shades Blue,https://www.fragrantica.com/perfume/Armaf/Shades-Blue-68064.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68064.jpg
Skye Pour Femme female,https://www.fragrantica.com/perfume/Armaf/Skye-Pour-Femme-77203.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77203.jpg
Space Age,https://www.fragrantica.com/perfume/Armaf/Space-Age-93742.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93742.jpg
Surf,https://www.fragrantica.com/perfume/Armaf/Surf-64097.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64097.jpg
Ventana Marine unisex,https://www.fragrantica.com/perfume/Armaf/Ventana-Marine-90658.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90658.jpg
Ventana Pour Homme,https://www.fragrantica.com/perfume/Armaf/Ventana-Pour-Homme-50265.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50265.jpg
Victory,https://www.fragrantica.com/perfume/Armaf/Victory-72572.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72572.jpg
All You Need is Desire,https://www.fragrantica.com/perfume/Armaf/All-You-Need-is-Desire-65951.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65951.jpg
All You Need Is Love female,https://www.fragrantica.com/perfume/Armaf/All-You-Need-Is-Love-64459.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64459.jpg
All You Need Is Love Pour Homme male,https://www.fragrantica.com/perfume/Armaf/All-You-Need-Is-Love-Pour-Homme-64468.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64468.jpg
All You Need Is Passion female,https://www.fragrantica.com/perfume/Armaf/All-You-Need-Is-Passion-64463.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64463.jpg
Amber Arabia Oud Pour Homme,https://www.fragrantica.com/perfume/Armaf/Amber-Arabia-Oud-Pour-Homme-77864.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77864.jpg
Royal Amber Oud Pour Homme,https://www.fragrantica.com/perfume/Armaf/Royal-Amber-Oud-Pour-Homme-77866.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77866.jpg
Special Amber Oud Pour Homme,https://www.fragrantica.com/perfume/Armaf/Special-Amber-Oud-Pour-Homme-77865.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77865.jpg
Aura,https://www.fragrantica.com/perfume/Armaf/Aura-45119.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45119.jpg
Aura Fresh,https://www.fragrantica.com/perfume/Armaf/Aura-Fresh-84603.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84603.jpg
Craze male,https://www.fragrantica.com/perfume/Armaf/Craze-47790.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47790.jpg
Voyage,https://www.fragrantica.com/perfume/Armaf/Voyage-47792.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47792.jpg
Voyage Bleu,https://www.fragrantica.com/perfume/Armaf/Voyage-Bleu-47791.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47791.jpg
Voyage Brown male,https://www.fragrantica.com/perfume/Armaf/Voyage-Brown-50330.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50330.jpg
Voyage Hawaii Pour Femme female,https://www.fragrantica.com/perfume/Armaf/Voyage-Hawaii-Pour-Femme-77873.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77873.jpg
Voyage Intense Man male,https://www.fragrantica.com/perfume/Armaf/Voyage-Intense-Man-94310.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94310.jpg
Voyage Titan Pour Homme male,https://www.fragrantica.com/perfume/Armaf/Voyage-Titan-Pour-Homme-77874.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77874.jpg
Black Onyx unisex,https://www.fragrantica.com/perfume/Armaf/Black-Onyx-27647.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27647.jpg
Gold female,https://www.fragrantica.com/perfume/Armaf/Gold-27648.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27648.jpg
Oud unisex,https://www.fragrantica.com/perfume/Armaf/Oud-27654.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27654.jpg
Peridot unisex,https://www.fragrantica.com/perfume/Armaf/Peridot-50324.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50324.jpg
Pink Coral female,https://www.fragrantica.com/perfume/Armaf/Pink-Coral-27649.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27649.jpg
Platinum male,https://www.fragrantica.com/perfume/Armaf/Platinum-27650.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27650.jpg
Purple Amethyst female,https://www.fragrantica.com/perfume/Armaf/Purple-Amethyst-27651.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27651.jpg
Red Ruby female,https://www.fragrantica.com/perfume/Armaf/Red-Ruby-27652.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27652.jpg
Sapphire unisex,https://www.fragrantica.com/perfume/Armaf/Sapphire-50325.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50325.jpg
White Diamond male,https://www.fragrantica.com/perfume/Armaf/White-Diamond-27653.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27653.jpg
ARMAF X Christian Provenzano I,https://www.fragrantica.com/perfume/Armaf/ARMAF-X-Christian-Provenzano-I-112771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112771.jpg
ARMAF X Christian Provenzano II,https://www.fragrantica.com/perfume/Armaf/ARMAF-X-Christian-Provenzano-II-112772.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112772.jpg
ARMAF X Christian Provenzano III,https://www.fragrantica.com/perfume/Armaf/ARMAF-X-Christian-Provenzano-III-112773.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112773.jpg
ARMAF X Christian Provenzano IV,https://www.fragrantica.com/perfume/Armaf/ARMAF-X-Christian-Provenzano-IV-112774.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112774.jpg
Art d'Amour female,https://www.fragrantica.com/perfume/Armaf/Art-d-Amour-77871.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77871.jpg
Art Du Parfum Abstracto unisex,https://www.fragrantica.com/perfume/Armaf/Art-Du-Parfum-Abstracto-94323.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94323.jpg
Art Du' Parfum male,https://www.fragrantica.com/perfume/Armaf/Art-Du-Parfum-94299.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94299.jpg
Beau Acute male,https://www.fragrantica.com/perfume/Armaf/Beau-Acute-45121.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45121.jpg
Beau Elegant Woman female,https://www.fragrantica.com/perfume/Armaf/Beau-Elegant-Woman-77869.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77869.jpg
Beau Star fe,https://www.fragrantica.com/perfume/Armaf/Beau-Star-88213.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88213.jpg
Legasi male,https://www.fragrantica.com/perfume/Armaf/Legasi-94321.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94321.jpg
Legasi Woman female,https://www.fragrantica.com/perfume/Armaf/Legasi-Woman-94320.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94320.jpg
Opus Woman female,https://www.fragrantica.com/perfume/Armaf/Opus-Woman-94326.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94326.jpg
Raspberry Woman female,https://www.fragrantica.com/perfume/Armaf/Raspberry-Woman-94297.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94297.jpg
Signature True Woman female,https://www.fragrantica.com/perfume/Armaf/Signature-True-Woman-94298.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94298.jpg
Strawberry Woman female,https://www.fragrantica.com/perfume/Armaf/Strawberry-Woman-94318.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94318.jpg
Bois Luxura male,https://www.fragrantica.com/perfume/Armaf/Bois-Luxura-45122.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45122.jpg
Bois Nuit male,https://www.fragrantica.com/perfume/Armaf/Bois-Nuit-45123.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45123.jpg
Bucephalus IX unisex,https://www.fragrantica.com/perfume/Armaf/Bucephalus-IX-64462.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64462.jpg
Bucephalus X unisex,https://www.fragrantica.com/perfume/Armaf/Bucephalus-X-64461.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64461.jpg
Bucephalus XI unisex,https://www.fragrantica.com/perfume/Armaf/Bucephalus-XI-64457.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64457.jpg
