name,link,image_url
Acteur,https://www.fragrantica.com/perfume/Azzaro/Acteur-3086.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3086.jpg
Azzaro 9 fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-9-2682.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2682.jpg
Azzaro Couture fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Couture-3752.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3752.jpg
Azzaro Sport,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Sport-61697.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61697.jpg
Azzaro Sport Eau de Toilette,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Sport-Eau-de-Toilette-73011.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73011.jpg
Azzura fe,https://www.fragrantica.com/perfume/Azzaro/Azzura-828.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.828.jpg
Blue Charm fe,https://www.fragrantica.com/perfume/Azzaro/Blue-Charm-2580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2580.jpg
Boarding,https://www.fragrantica.com/perfume/Azzaro/Boarding-18860.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18860.jpg
Cockpit,https://www.fragrantica.com/perfume/Azzaro/Cockpit-2637.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2637.jpg
Decibel,https://www.fragrantica.com/perfume/Azzaro/Decibel-12434.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12434.jpg
Eau Belle D'Azzaro fe,https://www.fragrantica.com/perfume/Azzaro/Eau-Belle-D-Azzaro-1249.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1249.jpg
Jetlag,https://www.fragrantica.com/perfume/Azzaro/Jetlag-762.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.762.jpg
Jolie Rose fe,https://www.fragrantica.com/perfume/Azzaro/Jolie-Rose-14946.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14946.jpg
Oh La La fe,https://www.fragrantica.com/perfume/Azzaro/Oh-La-La-2579.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2579.jpg
Onyx,https://www.fragrantica.com/perfume/Azzaro/Onyx-3087.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3087.jpg
Silver Black,https://www.fragrantica.com/perfume/Azzaro/Silver-Black-3089.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3089.jpg
Travelling,https://www.fragrantica.com/perfume/Azzaro/Travelling-9891.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.9891.jpg
Azzaro Chrome Aqua,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Aqua-55454.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55454.jpg
Azzaro Chrome Extreme,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Extreme-59020.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59020.jpg
Azzaro Chrome Intense,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Intense-31321.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31321.jpg
Azzaro Chrome Limited Edition 2014,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Limited-Edition-2014-25071.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25071.jpg
Azzaro Chrome Limited Edition 2015,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Limited-Edition-2015-30215.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30215.jpg
Azzaro Chrome Parfum,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Parfum-79268.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79268.jpg
Azzaro Chrome Summer,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Chrome-Summer-14278.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14278.jpg
Chrome,https://www.fragrantica.com/perfume/Azzaro/Chrome-788.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.788.jpg
Chrome Azure,https://www.fragrantica.com/perfume/Azzaro/Chrome-Azure-92239.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92239.jpg
Chrome Eau de Parfum,https://www.fragrantica.com/perfume/Azzaro/Chrome-Eau-de-Parfum-72608.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72608.jpg
Chrome Legend,https://www.fragrantica.com/perfume/Azzaro/Chrome-Legend-2959.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2959.jpg
Chrome Limited Edition 2016,https://www.fragrantica.com/perfume/Azzaro/Chrome-Limited-Edition-2016-38771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38771.jpg
Chrome Pure,https://www.fragrantica.com/perfume/Azzaro/Chrome-Pure-43131.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43131.jpg
Chrome Sport,https://www.fragrantica.com/perfume/Azzaro/Chrome-Sport-7938.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7938.jpg
Chrome Summer Edition 2013,https://www.fragrantica.com/perfume/Azzaro/Chrome-Summer-Edition-2013-17862.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17862.jpg
Chrome Under the Pole,https://www.fragrantica.com/perfume/Azzaro/Chrome-Under-the-Pole-50031.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50031.jpg
Chrome United,https://www.fragrantica.com/perfume/Azzaro/Chrome-United-18963.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18963.jpg
Azzaro Club Men,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Club-Men-21986.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21986.jpg
Azzaro Club Women fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Club-Women-21985.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21985.jpg
Azzaro Duo Men,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Duo-Men-10751.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10751.jpg
Azzaro Duo Women fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Duo-Women-10750.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10750.jpg
Azzaro Now Men,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Now-Men-958.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.958.jpg
Azzaro Now Women female,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Now-Women-959.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.959.jpg
Azzaro Pour Elle  fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Elle-29476.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29476.jpg
Azzaro Pour Elle (2025) fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Elle-2025-106344.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106344.jpg
Azzaro Pour Elle Eau de Toilette fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Elle-Eau-de-Toilette-48032.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48032.jpg
Azzaro Pour Elle Extreme fe,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Elle-Extreme-35699.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.35699.jpg
Azzaro pour Homme,https://www.fragrantica.com/perfume/Azzaro/Azzaro-pour-Homme-829.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.829.jpg
Azzaro Pour Homme Cologne Intense,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Cologne-Intense-65993.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65993.jpg
Azzaro Pour Homme Édition Noire,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Edition-Noire-47580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47580.jpg
Azzaro Pour Homme Elixir,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Elixir-6731.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6731.jpg
Azzaro pour Homme Intense,https://www.fragrantica.com/perfume/Azzaro/Azzaro-pour-Homme-Intense-25278.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25278.jpg
Azzaro Pour Homme Intense (2015),https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Intense-2015-31903.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31903.jpg
Azzaro Pour Homme L'Eau,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-L-Eau-12694.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12694.jpg
Azzaro Pour Homme Limited Edition 2014,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Limited-Edition-2014-25070.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25070.jpg
Azzaro Pour Homme Limited Edition 2015,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Limited-Edition-2015-30216.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30216.jpg
Azzaro Pour Homme Limited Edition 2016,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Limited-Edition-2016-38770.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38770.jpg
Azzaro Pour Homme Night Time,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Night-Time-13965.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13965.jpg
Azzaro Pour Homme Summer Edition 2013,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Summer-Edition-2013-17863.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17863.jpg
Azzaro Pour Homme Amber Fever,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Amber-Fever-51384.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51384.jpg
Azzaro Pour Homme Ginger Lover,https://www.fragrantica.com/perfume/Azzaro/Azzaro-Pour-Homme-Ginger-Lover-58656.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58656.jpg
