name,link,image_url
Century XXI,https://www.fragrantica.com/perfume/BARRE/Century-XXI-93456.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93456.jpg
Cherub,https://www.fragrantica.com/perfume/BARRE/Cherub-109821.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109821.jpg
Creep,https://www.fragrantica.com/perfume/BARRE/Creep-93457.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93457.jpg
Cult,https://www.fragrantica.com/perfume/BARRE/Cult-93449.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93449.jpg
Dolly,https://www.fragrantica.com/perfume/BARRE/Dolly-93452.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93452.jpg
Grimoire,https://www.fragrantica.com/perfume/BARRE/Grimoire-93462.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93462.jpg
Money,https://www.fragrantica.com/perfume/BARRE/Money-93451.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93451.jpg
Outlaw,https://www.fragrantica.com/perfume/BARRE/Outlaw-93448.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93448.jpg
Overcast,https://www.fragrantica.com/perfume/BARRE/Overcast-93458.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93458.jpg
Red Envelope,https://www.fragrantica.com/perfume/BARRE/Red-Envelope-93463.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93463.jpg
Salty Rose,https://www.fragrantica.com/perfume/BARRE/Salty-Rose-93459.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93459.jpg
Skank,https://www.fragrantica.com/perfume/BARRE/Skank-120092.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120092.jpg
Smoulder,https://www.fragrantica.com/perfume/BARRE/Smoulder-93460.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93460.jpg
SummerBoy,https://www.fragrantica.com/perfume/BARRE/SummerBoy-93447.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93447.jpg
Volta,https://www.fragrantica.com/perfume/BARRE/Volta-93461.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93461.jpg
Witch,https://www.fragrantica.com/perfume/BARRE/Witch-98170.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98170.jpg
