name,link,image_url
Bath & Body Works A Thousand Wishes fe,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Thousand-Wishes-28523.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28523.jpg
Bath & Body Works A Thousand Wishes 2020 Edition,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Thousand-Wishes-2020-Edition-59592.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59592.jpg
Bath & Body Works A Toast To You,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Toast-To-You-119818.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119818.jpg
Bath & Body Works After Dark,https://www.fragrantica.com/perfume/Bath-Body-Works/After-Dark-78837.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78837.jpg
Bath & Body Works Alpine Suede,https://www.fragrantica.com/perfume/Bath-Body-Works/Alpine-Suede-32773.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32773.jpg
Bath & Body Works Amber Blush fe,https://www.fragrantica.com/perfume/Bath-Body-Works/Amber-Blush-20544.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.20544.jpg
Bath & Body Works Amber Blush New fe,https://www.fragrantica.com/perfume/Bath-Body-Works/Amber-Blush-New-110352.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110352.jpg
Bath & Body Works American Girl - Hopes and Dreams fe,https://www.fragrantica.com/perfume/Bath-Body-Works/American-Girl-Hopes-and-Dreams-19207.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19207.jpg
Bath & Body Works Amethyst Waves fe,https://www.fragrantica.com/perfume/Bath-Body-Works/Amethyst-Waves-81254.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81254.jpg
Bath & Body Works Among The Clouds,https://www.fragrantica.com/perfume/Bath-Body-Works/Among-The-Clouds-79861.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79861.jpg
Bath & Body Works Après All Day fe,https://www.fragrantica.com/perfume/Bath-Body-Works/Apres-All-Day-120692.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120692.jpg
Bath & Body Works Aqua Hour,https://www.fragrantica.com/perfume/Bath-Body-Works/Aqua-Hour-101953.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101953.jpg
Bath & Body Works Aquarius fe,https://www.fragrantica.com/perfume/Bath-Body-Works/Aquarius-120844.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120844.jpg
Bath & Body Works Aries,https://www.fragrantica.com/perfume/Bath-Body-Works/Aries-120696.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120696.jpg
Bath & Body Works Atlantic,https://www.fragrantica.com/perfume/Bath-Body-Works/Atlantic-59092.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59092.jpg
Bath & Body Works Ballet Nights fe,https://www.fragrantica.com/perfume/Bath-Body-Works/Ballet-Nights-91509.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91509.jpg
