name,link,image_url
Burberry Men,https://www.fragrantica.com/perfume/Burberry/Burberry-Men-817.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.817.jpg
Burberry Summer fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-930.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.930.jpg
Burberry Summer for Men,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Men-2551.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2551.jpg
Burberry Summer for Men 2010,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Men-2010-8210.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8210.jpg
Burberry Summer for Men 2011,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Men-2011-11661.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11661.jpg
Burberry Summer for Men 2013,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Men-2013-17582.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17582.jpg
Burberry Summer for Women 2010 fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Women-2010-8209.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8209.jpg
Burberry Summer for Women 2011 fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Women-2011-11660.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11660.jpg
Burberry Summer for Women 2013 fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Women-2013-17581.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17581.jpg
Burberry Summer Men 2009,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-Men-2009-6036.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6036.jpg
Burberry Summer Women 2009 fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-Women-2009-6035.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6035.jpg
Burberry Women fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Women-818.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.818.jpg
Burberrys for Men (1981),https://www.fragrantica.com/perfume/Burberry/Burberrys-for-Men-1981-6830.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6830.jpg
Body fe,https://www.fragrantica.com/perfume/Burberry/Body-13014.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13014.jpg
Body Crystal Baccarat fe,https://www.fragrantica.com/perfume/Burberry/Body-Crystal-Baccarat-17021.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17021.jpg
Body Eau de Parfum Intense fe,https://www.fragrantica.com/perfume/Burberry/Body-Eau-de-Parfum-Intense-14007.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14007.jpg
Body Tender fe,https://www.fragrantica.com/perfume/Burberry/Body-Tender-17320.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17320.jpg
Burberry Body Gold Limited Edition fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Body-Gold-Limited-Edition-22524.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22524.jpg
Burberry Body Rose Gold fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Body-Rose-Gold-16198.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16198.jpg
Brit Rhythm for Her Floral fe,https://www.fragrantica.com/perfume/Burberry/Brit-Rhythm-for-Her-Floral-29562.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29562.jpg
Brit Rhythm for Him Intense,https://www.fragrantica.com/perfume/Burberry/Brit-Rhythm-for-Him-Intense-29561.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29561.jpg
Burberry Brit fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-819.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.819.jpg
Burberry Brit Eau de Toilette fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Eau-de-Toilette-28522.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28522.jpg
Burberry Brit For Her Limited Edition fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-For-Her-Limited-Edition-43547.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43547.jpg
Burberry Brit For Him Limited Edition,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-For-Him-Limited-Edition-43548.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43548.jpg
Burberry Brit for Men,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-for-Men-1115.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1115.jpg
Burberry Brit Gold fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Gold-2549.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2549.jpg
Burberry Brit New Year Edition Pour Femme fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-New-Year-Edition-Pour-Femme-10275.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10275.jpg
Burberry Brit New Year Edition Pour Homme,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-New-Year-Edition-Pour-Homme-10274.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10274.jpg
Burberry Brit Red fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Red-820.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.820.jpg
Burberry Brit Rhythm,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Rhythm-18903.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18903.jpg
Burberry Brit Rhythm for Women fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Rhythm-for-Women-22839.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22839.jpg
Burberry Brit Sheer fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Sheer-1793.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1793.jpg
Burberry Brit Sheer (2015) fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Sheer-2015-31444.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31444.jpg
Burberry Brit Splash for Men,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Splash-for-Men-30672.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30672.jpg
Burberry Brit Summer for Men,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Summer-for-Men-14633.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14633.jpg
Burberry Brit Summer for Women fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Summer-for-Women-14632.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14632.jpg
Amber Heath,https://www.fragrantica.com/perfume/Burberry/Amber-Heath-45422.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45422.jpg
Antique Oak,https://www.fragrantica.com/perfume/Burberry/Antique-Oak-45424.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45424.jpg
Clary Sage,https://www.fragrantica.com/perfume/Burberry/Clary-Sage-75100.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75100.jpg
Garden Roses,https://www.fragrantica.com/perfume/Burberry/Garden-Roses-45420.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45420.jpg
Hawthorn Bloom,https://www.fragrantica.com/perfume/Burberry/Hawthorn-Bloom-45419.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45419.jpg
High Tide,https://www.fragrantica.com/perfume/Burberry/High-Tide-45418.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45418.jpg
Midnight Journey,https://www.fragrantica.com/perfume/Burberry/Midnight-Journey-70752.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70752.jpg
Tudor Rose,https://www.fragrantica.com/perfume/Burberry/Tudor-Rose-45421.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45421.jpg
Wild Thistle,https://www.fragrantica.com/perfume/Burberry/Wild-Thistle-45423.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45423.jpg
Burberry Her fe,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-51694.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51694.jpg
