name,link,image_url
1996 Inez & Vinoodh,https://www.fragrantica.com/perfume/Byredo/1996-Inez-Vinoodh-19247.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19247.jpg
Accord Oud,https://www.fragrantica.com/perfume/Byredo/Accord-Oud-10757.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10757.jpg
Alto Astral,https://www.fragrantica.com/perfume/Byredo/Alto-Astral-111517.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111517.jpg
Animalique,https://www.fragrantica.com/perfume/Byredo/Animalique-85157.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.85157.jpg
Bal d'Afrique,https://www.fragrantica.com/perfume/Byredo/Bal-d-Afrique-6458.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6458.jpg
Baudelaire,https://www.fragrantica.com/perfume/Byredo/Baudelaire-7458.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7458.jpg
Belle de Tanger,https://www.fragrantica.com/perfume/Byredo/Belle-de-Tanger-40622.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40622.jpg
Bibliothèque,https://www.fragrantica.com/perfume/Byredo/Bibliotheque-43324.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43324.jpg
Black Saffron,https://www.fragrantica.com/perfume/Byredo/Black-Saffron-16220.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16220.jpg
Blanche fe,https://www.fragrantica.com/perfume/Byredo/Blanche-6686.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6686.jpg
Bullion,https://www.fragrantica.com/perfume/Byredo/Bullion-15923.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15923.jpg
Byredo,https://www.fragrantica.com/perfume/Byredo/Byredo-40351.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40351.jpg
Chembur,https://www.fragrantica.com/perfume/Byredo/Chembur-3573.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3573.jpg
Cuir Obscur,https://www.fragrantica.com/perfume/Byredo/Cuir-Obscur-40276.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40276.jpg
De Los Santos,https://www.fragrantica.com/perfume/Byredo/De-Los-Santos-72693.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72693.jpg
Deep Viola,https://www.fragrantica.com/perfume/Byredo/Deep-Viola-61748.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61748.jpg
Desert Dawn,https://www.fragrantica.com/perfume/Byredo/Desert-Dawn-96188.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96188.jpg
Elevator Music,https://www.fragrantica.com/perfume/Byredo/Elevator-Music-48821.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48821.jpg
Eleventh Hour,https://www.fragrantica.com/perfume/Byredo/Eleventh-Hour-50934.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50934.jpg
Eyes Closed,https://www.fragrantica.com/perfume/Byredo/Eyes-Closed-76339.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76339.jpg
Fantastic Man male,https://www.fragrantica.com/perfume/Byredo/Fantastic-Man-6688.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6688.jpg
Flowerhead,https://www.fragrantica.com/perfume/Byredo/Flowerhead-23881.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23881.jpg
Green,https://www.fragrantica.com/perfume/Byredo/Green-3574.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3574.jpg
Gypsy Water,https://www.fragrantica.com/perfume/Byredo/Gypsy-Water-3575.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3575.jpg
Heliotropia,https://www.fragrantica.com/perfume/Byredo/Heliotropia-40277.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40277.jpg
Inflorescence fe,https://www.fragrantica.com/perfume/Byredo/Inflorescence-17798.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17798.jpg
