name,link,image_url
AquaFlore fe,https://www.fragrantica.com/perfume/Carolina-Herrera/AquaFlore-290.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.290.jpg
Carolina fe,https://www.fragrantica.com/perfume/Carolina-Herrera/Carolina-287.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.287.jpg
Carolina Herrera by Carolina Herrera fe,https://www.fragrantica.com/perfume/Carolina-Herrera/Carolina-Herrera-by-Carolina-Herrera-286.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.286.jpg
Flore fe,https://www.fragrantica.com/perfume/Carolina-Herrera/Flore-5723.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5723.jpg
Herrera Aqua,https://www.fragrantica.com/perfume/Carolina-Herrera/Herrera-Aqua-288.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.288.jpg
La Bomba fe,https://www.fragrantica.com/perfume/Carolina-Herrera/La-Bomba-105931.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105931.jpg
212 fe,https://www.fragrantica.com/perfume/Carolina-Herrera/212-296.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.296.jpg
212 a Summer on Ice 2003 fe,https://www.fragrantica.com/perfume/Carolina-Herrera/212-a-Summer-on-Ice-2003-298.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.298.jpg
212 Glam fe,https://www.fragrantica.com/perfume/Carolina-Herrera/212-Glam-14812.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14812.jpg
212 Glam Men,https://www.fragrantica.com/perfume/Carolina-Herrera/212-Glam-Men-14813.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14813.jpg
212 H2O fe,https://www.fragrantica.com/perfume/Carolina-Herrera/212-H2O-7044.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7044.jpg
212 H2O Men,https://www.fragrantica.com/perfume/Carolina-Herrera/212-H2O-Men-7045.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7045.jpg
