name,link,image_url
Adán,https://www.fragrantica.com/perfume/Casaniche/Adan-122166.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.122166.jpg
ALGUM Wood for God,https://www.fragrantica.com/perfume/Casaniche/ALGUM-Wood-for-God-85303.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.85303.jpg
Amatista,https://www.fragrantica.com/perfume/Casaniche/Amatista-122168.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.122168.jpg
Atacama Bloom,https://www.fragrantica.com/perfume/Casaniche/Atacama-Bloom-73788.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73788.jpg
Bubble Gum and Caramel,https://www.fragrantica.com/perfume/Casaniche/Bubble-Gum-and-Caramel-90041.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90041.jpg
Cappuccino Gourmand,https://www.fragrantica.com/perfume/Casaniche/Cappuccino-Gourmand-69447.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69447.jpg
Chilean Leather,https://www.fragrantica.com/perfume/Casaniche/Chilean-Leather-71088.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71088.jpg
Choco Orange,https://www.fragrantica.com/perfume/Casaniche/Choco-Orange-73213.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73213.jpg
Cine Niche,https://www.fragrantica.com/perfume/Casaniche/Cine-Niche-90042.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90042.jpg
Citric Fresh,https://www.fragrantica.com/perfume/Casaniche/Citric-Fresh-90040.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90040.jpg
Comer en tu Piel,https://www.fragrantica.com/perfume/Casaniche/Comer-en-tu-Piel-122164.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.122164.jpg
Daiquiri Mango,https://www.fragrantica.com/perfume/Casaniche/Daiquiri-Mango-102957.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102957.jpg
Days in México,https://www.fragrantica.com/perfume/Casaniche/Days-in-Mexico-85302.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.85302.jpg
Después de un Café,https://www.fragrantica.com/perfume/Casaniche/Despues-de-un-Cafe-92136.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92136.jpg
Eva,https://www.fragrantica.com/perfume/Casaniche/Eva-92901.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92901.jpg
Father Tobacco,https://www.fragrantica.com/perfume/Casaniche/Father-Tobacco-72401.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72401.jpg
Fig Fusion,https://www.fragrantica.com/perfume/Casaniche/Fig-Fusion-102958.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102958.jpg
Forest Animals,https://www.fragrantica.com/perfume/Casaniche/Forest-Animals-72400.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72400.jpg
Hora del Té,https://www.fragrantica.com/perfume/Casaniche/Hora-del-Te-90078.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90078.jpg
Iris 1934,https://www.fragrantica.com/perfume/Casaniche/Iris-1934-82415.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82415.jpg
La rosa que nunca te di,https://www.fragrantica.com/perfume/Casaniche/La-rosa-que-nunca-te-di-101113.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101113.jpg
La vida del Naranjo,https://www.fragrantica.com/perfume/Casaniche/La-vida-del-Naranjo-122167.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.122167.jpg
Make you feel,https://www.fragrantica.com/perfume/Casaniche/Make-you-feel-78934.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78934.jpg
Maldito Placer,https://www.fragrantica.com/perfume/Casaniche/Maldito-Placer-70451.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70451.jpg
Marejada,https://www.fragrantica.com/perfume/Casaniche/Marejada-70450.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70450.jpg
Me quiero casar,https://www.fragrantica.com/perfume/Casaniche/Me-quiero-casar-94053.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94053.jpg
Moka,https://www.fragrantica.com/perfume/Casaniche/Moka-84158.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84158.jpg
Nadie te quiso tanto como yo,https://www.fragrantica.com/perfume/Casaniche/Nadie-te-quiso-tanto-como-yo-101112.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101112.jpg
One Click,https://www.fragrantica.com/perfume/Casaniche/One-Click-78935.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78935.jpg
Oriental,https://www.fragrantica.com/perfume/Casaniche/Oriental-72064.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72064.jpg
OscUroD,https://www.fragrantica.com/perfume/Casaniche/OscUroD-75233.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75233.jpg
Piña Colada,https://www.fragrantica.com/perfume/Casaniche/Pina-Colada-70759.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70759.jpg
Ralco,https://www.fragrantica.com/perfume/Casaniche/Ralco-72399.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72399.jpg
Sex & Musk,https://www.fragrantica.com/perfume/Casaniche/Sex-Musk-122169.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.122169.jpg
Thaw The Andes,https://www.fragrantica.com/perfume/Casaniche/Thaw-The-Andes-75855.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75855.jpg
Trufa Chilena,https://www.fragrantica.com/perfume/Casaniche/Trufa-Chilena-122165.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.122165.jpg
Uva Bombón,https://www.fragrantica.com/perfume/Casaniche/Uva-Bombon-102956.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102956.jpg
Ylang Feast,https://www.fragrantica.com/perfume/Casaniche/Ylang-Feast-73058.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73058.jpg
