name,link,image_url
Antaeus,https://www.fragrantica.com/perfume/Chanel/Antaeus-616.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.616.jpg
Bois Noir,https://www.fragrantica.com/perfume/Chanel/Bois-Noir-34568.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34568.jpg
Chanel No 5 Eau de Parfum 2024 Limited Edition fe,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-de-Parfum-2024-Limited-Edition-97825.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97825.jpg
Cuir de Russie Parfum,https://www.fragrantica.com/perfume/Chanel/Cuir-de-Russie-Parfum-47794.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47794.jpg
Le 1940 Rouge de Chanel fe,https://www.fragrantica.com/perfume/Chanel/Le-1940-Rouge-de-Chanel-45186.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45186.jpg
Une Fleur de Chanel fe,https://www.fragrantica.com/perfume/Chanel/Une-Fleur-de-Chanel-4689.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4689.jpg
Allure fe,https://www.fragrantica.com/perfume/Chanel/Allure-502.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.502.jpg
Allure Eau de Parfum fe,https://www.fragrantica.com/perfume/Chanel/Allure-Eau-de-Parfum-176.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.176.jpg
Allure Eau Fraichissante Pour l'Ete,https://www.fragrantica.com/perfume/Chanel/Allure-Eau-Fraichissante-Pour-l-Ete-12448.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12448.jpg
Allure Hair Mist female,https://www.fragrantica.com/perfume/Chanel/Allure-Hair-Mist-46217.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46217.jpg
Allure Homme,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-523.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.523.jpg
Allure Homme Eau Fraichissante Pour l'Ete,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Eau-Fraichissante-Pour-l-Ete-12447.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12447.jpg
Allure Homme Edition Blanche,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-2653.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2653.jpg
Allure Homme Edition Blanche Eau de Parfum,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-Eau-de-Parfum-28942.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28942.jpg
Allure Homme Sport,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-607.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.607.jpg
Allure Homme Sport Cologne,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Cologne-1004.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1004.jpg
Allure Homme Sport Eau Extreme,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Eau-Extreme-14669.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14669.jpg
Allure Homme Sport Superleggera,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Superleggera-95753.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95753.jpg
Allure Parfum female,https://www.fragrantica.com/perfume/Chanel/Allure-Parfum-33506.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33506.jpg
Allure Sensuelle fe,https://www.fragrantica.com/perfume/Chanel/Allure-Sensuelle-606.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.606.jpg
Allure Sensuelle Eau de Toilette fe,https://www.fragrantica.com/perfume/Chanel/Allure-Sensuelle-Eau-de-Toilette-28682.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28682.jpg
Allure Sensuelle Parfum fe,https://www.fragrantica.com/perfume/Chanel/Allure-Sensuelle-Parfum-28683.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28683.jpg
Bleu de Chanel,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.9099.jpg
Bleu de Chanel All-Over Spray,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-All-Over-Spray-67790.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67790.jpg
Bleu de Chanel Eau de Parfum,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25967.jpg
Bleu de Chanel L'Exclusif,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-L-Exclusif-113429.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113429.jpg
