name,link,image_url
Citrus Riviera,https://www.fragrantica.com/perfume/BDK-Parfums/Citrus-Riviera-61925.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61925.jpg
Sel d'Argent,https://www.fragrantica.com/perfume/BDK-Parfums/Sel-d-Argent-61926.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61926.jpg
Villa Néroli,https://www.fragrantica.com/perfume/BDK-Parfums/Villa-Neroli-74483.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74483.jpg
Vanille Caviar unisex,https://www.fragrantica.com/perfume/BDK-Parfums/Vanille-Caviar-115952.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115952.jpg
Ambre Safrano,https://www.fragrantica.com/perfume/BDK-Parfums/Ambre-Safrano-77572.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77572.jpg
French Bouquet,https://www.fragrantica.com/perfume/BDK-Parfums/French-Bouquet-61837.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61837.jpg
Nectar Oud,https://www.fragrantica.com/perfume/BDK-Parfums/Nectar-Oud-110034.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110034.jpg
Tabac Rose,https://www.fragrantica.com/perfume/BDK-Parfums/Tabac-Rose-61838.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61838.jpg
Vanille Leather,https://www.fragrantica.com/perfume/BDK-Parfums/Vanille-Leather-82783.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82783.jpg
Crème de Cuir,https://www.fragrantica.com/perfume/BDK-Parfums/Creme-de-Cuir-51469.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51469.jpg
Oud Abramad,https://www.fragrantica.com/perfume/BDK-Parfums/Oud-Abramad-39472.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39472.jpg
Tubéreuse Impériale,https://www.fragrantica.com/perfume/BDK-Parfums/Tubereuse-Imperiale-39474.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39474.jpg
Velvet Tonka,https://www.fragrantica.com/perfume/BDK-Parfums/Velvet-Tonka-68119.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68119.jpg
Wood Jasmin,https://www.fragrantica.com/perfume/BDK-Parfums/Wood-Jasmin-39473.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39473.jpg
312 Saint-Honoré,https://www.fragrantica.com/perfume/BDK-Parfums/312-Saint-Honore-89642.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89642.jpg
Bouquet de Hongrie fe,https://www.fragrantica.com/perfume/BDK-Parfums/Bouquet-de-Hongrie-39471.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39471.jpg
Gris Charnel,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-57038.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57038.jpg
Gris Charnel Extrait,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73645.jpg
Impadia,https://www.fragrantica.com/perfume/BDK-Parfums/Impadia-104764.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104764.jpg
Nuit De Sable,https://www.fragrantica.com/perfume/BDK-Parfums/Nuit-De-Sable-57040.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57040.jpg
Pas Ce Soir Extrait,https://www.fragrantica.com/perfume/BDK-Parfums/Pas-Ce-Soir-Extrait-83663.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83663.jpg
Pas Сe Soir fe,https://www.fragrantica.com/perfume/BDK-Parfums/Pas-Se-Soir-39470.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39470.jpg
Rouge Smoking,https://www.fragrantica.com/perfume/BDK-Parfums/Rouge-Smoking-51468.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51468.jpg
Rouge Smoking Extrait,https://www.fragrantica.com/perfume/BDK-Parfums/Rouge-Smoking-Extrait-98696.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98696.jpg
