name,link,image_url
Dolce&Gabbana Sicily fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/Sicily-486.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.486.jpg
Dolce&Gabbana By fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-489.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.489.jpg
Dolce&Gabbana By,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-490.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.490.jpg
Dolce&Gabbana Dolce&Gabbana fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-484.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.484.jpg
Dolce&Gabbana Dolce&Gabbana Perfume for Babies,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Perfume-for-Babies-23597.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23597.jpg
Dolce&Gabbana Dolce&Gabbana Pour Femme fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Femme-15335.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15335.jpg
Dolce&Gabbana Dolce&Gabbana Pour Femme Intense fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Femme-Intense-18837.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18837.jpg
Dolce&Gabbana Dolce&Gabbana pour Homme (1994),https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-pour-Homme-1994-483.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.483.jpg
Dolce&Gabbana Dolce&Gabbana Pour Homme (2012),https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Homme-2012-15336.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15336.jpg
Dolce&Gabbana Dolce&Gabbana Pour Homme Intenso,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Homme-Intenso-28935.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28935.jpg
Dolce&Gabbana D&G Feminine fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Feminine-487.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.487.jpg
Dolce&Gabbana D&G Masculine,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Masculine-488.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.488.jpg
Dolce&Gabbana D&G Anthology L'Amoureux 6,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Amoureux-6-6087.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6087.jpg
Dolce&Gabbana D&G Anthology L'Empereur 4,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Empereur-4-14407.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14407.jpg
Dolce&Gabbana D&G Anthology L'Imperatrice 3 fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Imperatrice-3-6086.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6086.jpg
Dolce&Gabbana D&G Anthology La Force 11,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Force-11-6842.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6842.jpg
Dolce&Gabbana D&G Anthology La Lune 18 fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Lune-18-6089.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6089.jpg
Dolce&Gabbana D&G Anthology La Roue de La Fortune 10 fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Roue-de-La-Fortune-10-6088.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6088.jpg
Dolce&Gabbana D&G Anthology La Temperance 14 fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Temperance-14-12483.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12483.jpg
Dolce&Gabbana D&G Anthology Le Bateleur 1,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-Le-Bateleur-1-6085.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6085.jpg
Dolce&Gabbana D&G Anthology Le Fou 21,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-Le-Fou-21-12484.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12484.jpg
Dolce&Gabbana L'Imperatrice Limited Edition fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/L-Imperatrice-Limited-Edition-63485.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63485.jpg
Dolce&Gabbana L'Imperatrice Royale fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/L-Imperatrice-Royale-102672.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102672.jpg
Dolce&Gabbana Devotion fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84951.jpg
Dolce&Gabbana Devotion Intense fe,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Intense-96028.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96028.jpg
