name,link,image_url
Acne Studios,https://www.fragrantica.com/perfume/Frederic-Malle/Acne-Studios-91209.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91209.jpg
Angéliques Sous La Pluie,https://www.fragrantica.com/perfume/Frederic-Malle/Angeliques-Sous-La-Pluie-1023.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1023.jpg
Bigarade Concentree,https://www.fragrantica.com/perfume/Frederic-Malle/Bigarade-Concentree-4770.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4770.jpg
Carnal Flower,https://www.fragrantica.com/perfume/Frederic-Malle/Carnal-Flower-1024.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1024.jpg
Carnal Flower Hair Mist,https://www.fragrantica.com/perfume/Frederic-Malle/Carnal-Flower-Hair-Mist-46220.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46220.jpg
Cologne Bigarade,https://www.fragrantica.com/perfume/Frederic-Malle/Cologne-Bigarade-4769.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4769.jpg
Cologne Indélébile,https://www.fragrantica.com/perfume/Frederic-Malle/Cologne-Indelebile-30353.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30353.jpg
Dans Mon Lit,https://www.fragrantica.com/perfume/Frederic-Malle/Dans-Mon-Lit-65735.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65735.jpg
Dans Tes Bras,https://www.fragrantica.com/perfume/Frederic-Malle/Dans-Tes-Bras-3976.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3976.jpg
Dans Ton Lit,https://www.fragrantica.com/perfume/Frederic-Malle/Dans-Ton-Lit-73876.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73876.jpg
Dries Van Noten par Frederic Malle,https://www.fragrantica.com/perfume/Frederic-Malle/Dries-Van-Noten-par-Frederic-Malle-17481.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17481.jpg
Eau De Magnolia,https://www.fragrantica.com/perfume/Frederic-Malle/Eau-De-Magnolia-25042.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25042.jpg
En Passant fe,https://www.fragrantica.com/perfume/Frederic-Malle/En-Passant-2793.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2793.jpg
French Lover,https://www.fragrantica.com/perfume/Frederic-Malle/French-Lover-1022.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1022.jpg
Geranium Pour Monsieur,https://www.fragrantica.com/perfume/Frederic-Malle/Geranium-Pour-Monsieur-5911.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5911.jpg
Heaven Can Wait,https://www.fragrantica.com/perfume/Frederic-Malle/Heaven-Can-Wait-83297.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83297.jpg
Iris Poudre fe,https://www.fragrantica.com/perfume/Frederic-Malle/Iris-Poudre-4771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4771.jpg
L'Eau d'Hiver,https://www.fragrantica.com/perfume/Frederic-Malle/L-Eau-d-Hiver-2797.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2797.jpg
Le Parfum de Therese,https://www.fragrantica.com/perfume/Frederic-Malle/Le-Parfum-de-Therese-4772.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4772.jpg
Lipstick Rose fe,https://www.fragrantica.com/perfume/Frederic-Malle/Lipstick-Rose-2799.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2799.jpg
Lys Mediterranee,https://www.fragrantica.com/perfume/Frederic-Malle/Lys-Mediterranee-4640.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4640.jpg
