name,link,image_url
Amber Empire,https://www.fragrantica.com/perfume/French-Avenue/Amber-Empire-116876.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116876.jpg
Amber Saffron,https://www.fragrantica.com/perfume/French-Avenue/Amber-Saffron-99739.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99739.jpg
Arsh,https://www.fragrantica.com/perfume/French-Avenue/Arsh-95173.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95173.jpg
Axis,https://www.fragrantica.com/perfume/French-Avenue/Axis-108313.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.108313.jpg
COSMIC TONKA,https://www.fragrantica.com/perfume/French-Avenue/COSMIC-TONKA-106866.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106866.jpg
El Dorado,https://www.fragrantica.com/perfume/French-Avenue/El-Dorado-95411.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95411.jpg
Elinor Green fe,https://www.fragrantica.com/perfume/French-Avenue/Elinor-Green-114546.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114546.jpg
Fierte fe,https://www.fragrantica.com/perfume/French-Avenue/Fierte-95174.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95174.jpg
Fierte Luna,https://www.fragrantica.com/perfume/French-Avenue/Fierte-Luna-109711.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109711.jpg
Firestorm Extrait,https://www.fragrantica.com/perfume/French-Avenue/Firestorm-Extrait-114492.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114492.jpg
Grecia,https://www.fragrantica.com/perfume/French-Avenue/Grecia-106165.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106165.jpg
Grecia Rosa Extrait,https://www.fragrantica.com/perfume/French-Avenue/Grecia-Rosa-Extrait-114485.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114485.jpg
HYPNOTIC GOLD,https://www.fragrantica.com/perfume/French-Avenue/HYPNOTIC-GOLD-106867.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106867.jpg
Inej,https://www.fragrantica.com/perfume/French-Avenue/Inej-99794.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99794.jpg
Iris Patchouli,https://www.fragrantica.com/perfume/French-Avenue/Iris-Patchouli-118018.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118018.jpg
JADE,https://www.fragrantica.com/perfume/French-Avenue/JADE-120871.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120871.jpg
JADE GIALLO,https://www.fragrantica.com/perfume/French-Avenue/JADE-GIALLO-120868.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120868.jpg
Musc D' Prive,https://www.fragrantica.com/perfume/French-Avenue/Musc-D-Prive-105960.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105960.jpg
Muse,https://www.fragrantica.com/perfume/French-Avenue/Muse-99795.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99795.jpg
Mythical Gryphon,https://www.fragrantica.com/perfume/French-Avenue/Mythical-Gryphon-106167.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106167.jpg
NECTARE Extradose,https://www.fragrantica.com/perfume/French-Avenue/NECTARE-Extradose-119221.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119221.jpg
OBSIDIAN,https://www.fragrantica.com/perfume/French-Avenue/OBSIDIAN-120872.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120872.jpg
Paradigm,https://www.fragrantica.com/perfume/French-Avenue/Paradigm-114754.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114754.jpg
Paradox Azuree,https://www.fragrantica.com/perfume/French-Avenue/Paradox-Azuree-106647.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106647.jpg
Paradox Rossa,https://www.fragrantica.com/perfume/French-Avenue/Paradox-Rossa-106648.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106648.jpg
Pure Desert Oud,https://www.fragrantica.com/perfume/French-Avenue/Pure-Desert-Oud-105961.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105961.jpg
Safari Breeze,https://www.fragrantica.com/perfume/French-Avenue/Safari-Breeze-118019.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118019.jpg
Thunder Extrait,https://www.fragrantica.com/perfume/French-Avenue/Thunder-Extrait-114491.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114491.jpg
Tobacco D'Feu,https://www.fragrantica.com/perfume/French-Avenue/Tobacco-D-Feu-99737.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99737.jpg
Velvet Mood fe,https://www.fragrantica.com/perfume/French-Avenue/Velvet-Mood-106134.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106134.jpg
Veneno Scarlet,https://www.fragrantica.com/perfume/French-Avenue/Veneno-Scarlet-110648.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110648.jpg
Venus de Milo fe,https://www.fragrantica.com/perfume/French-Avenue/Venus-de-Milo-106166.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106166.jpg
Vulcan Baie,https://www.fragrantica.com/perfume/French-Avenue/Vulcan-Baie-110650.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110650.jpg
Vulcan Black Friday,https://www.fragrantica.com/perfume/French-Avenue/Vulcan-Black-Friday-119220.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119220.jpg
WESTERN SHISHA,https://www.fragrantica.com/perfume/French-Avenue/WESTERN-SHISHA-106868.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106868.jpg
ZENITH BLUE,https://www.fragrantica.com/perfume/French-Avenue/ZENITH-BLUE-106865.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106865.jpg
ZENITH DEEP,https://www.fragrantica.com/perfume/French-Avenue/ZENITH-DEEP-120870.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120870.jpg
ZENITH SANTAL,https://www.fragrantica.com/perfume/French-Avenue/ZENITH-SANTAL-120869.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120869.jpg
ZENITH TOBACCO,https://www.fragrantica.com/perfume/French-Avenue/ZENITH-TOBACCO-106863.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106863.jpg
ZENITH VANILLA,https://www.fragrantica.com/perfume/French-Avenue/ZENITH-VANILLA-106864.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106864.jpg
Al Qamar,https://www.fragrantica.com/perfume/French-Avenue/Al-Qamar-99734.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99734.jpg
Al Qamar Nuit,https://www.fragrantica.com/perfume/French-Avenue/Al-Qamar-Nuit-99735.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99735.jpg
An Equestrian Series Della fe,https://www.fragrantica.com/perfume/French-Avenue/An-Equestrian-Series-Della-101176.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101176.jpg
An Equestrian Series Haydan,https://www.fragrantica.com/perfume/French-Avenue/An-Equestrian-Series-Haydan-101173.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101173.jpg
An Equestrian Series Olena fe,https://www.fragrantica.com/perfume/French-Avenue/An-Equestrian-Series-Olena-101175.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101175.jpg
An Equestrian Series Pierce,https://www.fragrantica.com/perfume/French-Avenue/An-Equestrian-Series-Pierce-101174.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101174.jpg
Diwani Beirut,https://www.fragrantica.com/perfume/French-Avenue/Diwani-Beirut-94716.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94716.jpg
Diwani Cairo,https://www.fragrantica.com/perfume/French-Avenue/Diwani-Cairo-94717.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94717.jpg
Diwani Rabat,https://www.fragrantica.com/perfume/French-Avenue/Diwani-Rabat-94715.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94715.jpg
Elysian,https://www.fragrantica.com/perfume/French-Avenue/Elysian-100017.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100017.jpg
Elysian Onyx,https://www.fragrantica.com/perfume/French-Avenue/Elysian-Onyx-100019.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100019.jpg
Enigma Deux,https://www.fragrantica.com/perfume/French-Avenue/Enigma-Deux-100021.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100021.jpg
Enigma Quatre fe,https://www.fragrantica.com/perfume/French-Avenue/Enigma-Quatre-100023.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100023.jpg
Enigma Trois,https://www.fragrantica.com/perfume/French-Avenue/Enigma-Trois-100178.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100178.jpg
Enigma Une,https://www.fragrantica.com/perfume/French-Avenue/Enigma-Une-100177.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100177.jpg
Essence de Blanc,https://www.fragrantica.com/perfume/French-Avenue/Essence-de-Blanc-95181.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95181.jpg
Essence de Matcha,https://www.fragrantica.com/perfume/French-Avenue/Essence-de-Matcha-98888.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98888.jpg
Essence de Noir,https://www.fragrantica.com/perfume/French-Avenue/Essence-de-Noir-95182.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95182.jpg
Essence de Rouge fe,https://www.fragrantica.com/perfume/French-Avenue/Essence-de-Rouge-98887.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98887.jpg
