name,link,image_url
Almafolia,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Almafolia-87933.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.87933.jpg
Bianco Latte,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-64757.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64757.jpg
Bianco Oro unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Oro-64756.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64756.jpg
Blu Indaco unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Blu-Indaco-64760.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64760.jpg
Blu Mare,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Blu-Mare-92752.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92752.jpg
Borabora,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Borabora-81632.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81632.jpg
Celeste unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Celeste-64788.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64788.jpg
Christos,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Christos-81631.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81631.jpg
Colonia Nobile unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Colonia-Nobile-77063.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77063.jpg
Eremo unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Eremo-64789.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64789.jpg
Rosso Radice unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Rosso-Radice-64759.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64759.jpg
Rosso Rubino unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Rosso-Rubino-64790.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64790.jpg
Scintilla,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Scintilla-81630.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81630.jpg
Shabby Chic unisex,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Shabby-Chic-64758.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64758.jpg
Bianco Latte Limited Edition,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-Limited-Edition-88107.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88107.jpg
Borabora Limited Edition,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Borabora-Limited-Edition-88108.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88108.jpg
Christos Limited Edition,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Christos-Limited-Edition-88106.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88106.jpg
