name,link,image_url
21 Conduit St,https://www.fragrantica.com/perfume/Jovoy-Paris/21-Conduit-St-63397.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63397.jpg
Ambre Premier fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Ambre-Premier-13463.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13463.jpg
Aqua Memorabilis,https://www.fragrantica.com/perfume/Jovoy-Paris/Aqua-Memorabilis-92542.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92542.jpg
Fire At Will,https://www.fragrantica.com/perfume/Jovoy-Paris/Fire-At-Will-70289.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70289.jpg
Gardez Moi fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Gardez-Moi-18028.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18028.jpg
Ha Long Bay,https://www.fragrantica.com/perfume/Jovoy-Paris/Ha-Long-Bay-115123.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115123.jpg
Incident Diplomatique,https://www.fragrantica.com/perfume/Jovoy-Paris/Incident-Diplomatique-44237.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.44237.jpg
Jus Interdit,https://www.fragrantica.com/perfume/Jovoy-Paris/Jus-Interdit-30142.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30142.jpg
L'Art de la Guerre,https://www.fragrantica.com/perfume/Jovoy-Paris/L-Art-de-la-Guerre-25957.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25957.jpg
L’Arbre de la Connaissance,https://www.fragrantica.com/perfume/Jovoy-Paris/L-Arbre-de-la-Connaissance-13459.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13459.jpg
L’Enfant Terrible,https://www.fragrantica.com/perfume/Jovoy-Paris/L-Enfant-Terrible-13461.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13461.jpg
La Liturgie des Heures,https://www.fragrantica.com/perfume/Jovoy-Paris/La-Liturgie-des-Heures-13458.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13458.jpg
Les Jeux sont Faits,https://www.fragrantica.com/perfume/Jovoy-Paris/Les-Jeux-sont-Faits-16483.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16483.jpg
Lys Epona fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Lys-Epona-18381.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18381.jpg
Musc Pallas,https://www.fragrantica.com/perfume/Jovoy-Paris/Musc-Pallas-80585.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80585.jpg
Pavillon Rouge,https://www.fragrantica.com/perfume/Jovoy-Paris/Pavillon-Rouge-51660.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51660.jpg
Private Label,https://www.fragrantica.com/perfume/Jovoy-Paris/Private-Label-13460.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13460.jpg
Psychedelique,https://www.fragrantica.com/perfume/Jovoy-Paris/Psychedelique-13462.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13462.jpg
Quand? fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Quand-12540.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12540.jpg
Remember Me,https://www.fragrantica.com/perfume/Jovoy-Paris/Remember-Me-49435.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49435.jpg
Rose Millesimee fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Rose-Millesimee-44383.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.44383.jpg
Rouge Assassin fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Rouge-Assassin-16482.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16482.jpg
Sans un Mot fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Sans-un-Mot-30141.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30141.jpg
Sombres Dessins,https://www.fragrantica.com/perfume/Jovoy-Paris/Sombres-Dessins-30140.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30140.jpg
Terra Incognita fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Terra-Incognita-4685.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4685.jpg
Touche Finale,https://www.fragrantica.com/perfume/Jovoy-Paris/Touche-Finale-54848.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54848.jpg
Boise,https://www.fragrantica.com/perfume/Jovoy-Paris/Boise-3117.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3117.jpg
Chypre fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Chypre-3118.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3118.jpg
Fougere,https://www.fragrantica.com/perfume/Jovoy-Paris/Fougere-3119.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3119.jpg
Hesperide fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Hesperide-3120.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3120.jpg
Marine,https://www.fragrantica.com/perfume/Jovoy-Paris/Marine-3121.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3121.jpg
Oriental fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Oriental-3122.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3122.jpg
Poudre fe,https://www.fragrantica.com/perfume/Jovoy-Paris/Poudre-3123.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3123.jpg
# What Matters is Inside - Italy,https://www.fragrantica.com/perfume/Jovoy-Paris/What-Matters-is-Inside-Italy-46676.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46676.jpg
