name,link,image_url
25 Experience,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/25-Experience-101044.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101044.jpg
Azure Velvet,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Azure-Velvet-119178.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119178.jpg
Caffe Latte,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Caffe-Latte-102359.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102359.jpg
Cashmere Sunshine Musk,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Cashmere-Sunshine-Musk-102412.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102412.jpg
Cloud Candy,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Cloud-Candy-109598.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109598.jpg
Code Viola Nectar,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Code-Viola-Nectar-105170.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105170.jpg
Cream Velvet,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Cream-Velvet-102358.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102358.jpg
Création De Rêve,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Creation-De-Reve-91796.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91796.jpg
Desert Rose fe,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Desert-Rose-115847.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115847.jpg
Fursan White fe,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Fursan-White-102361.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102361.jpg
Hareem Al Sultan fe,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Hareem-Al-Sultan-102408.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102408.jpg
Hareem Al Sultan Gold fe,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Hareem-Al-Sultan-Gold-82036.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82036.jpg
Hareem Al Sultan Silver unisex,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Hareem-Al-Sultan-Silver-71991.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71991.jpg
Johayna Green fe,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Johayna-Green-99501.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99501.jpg
Kayaan Gold,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Kayaan-Gold-102114.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102114.jpg
Khadlaj 25 Trust,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Khadlaj-25-Trust-102406.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102406.jpg
Maison Flor Oud,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Maison-Flor-Oud-102409.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102409.jpg
Mansion,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Mansion-120489.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120489.jpg
Mocha Latte,https://www.fragrantica.com/perfume/Khadlaj-Perfumes/Mocha-Latte-111211.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111211.jpg
