name,link,image_url
African Leather,https://www.fragrantica.com/perfume/Memo-Paris/African-Leather-31383.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31383.jpg
Eau de Memo,https://www.fragrantica.com/perfume/Memo-Paris/Eau-de-Memo-44229.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.44229.jpg
French Leather,https://www.fragrantica.com/perfume/Memo-Paris/French-Leather-28049.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28049.jpg
Iberian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Iberian-Leather-72554.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72554.jpg
Indian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Indian-Leather-95686.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95686.jpg
Irish Leather,https://www.fragrantica.com/perfume/Memo-Paris/Irish-Leather-18393.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18393.jpg
Italian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Italian-Leather-21771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21771.jpg
Moroccan Leather,https://www.fragrantica.com/perfume/Memo-Paris/Moroccan-Leather-51440.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51440.jpg
Ocean Leather,https://www.fragrantica.com/perfume/Memo-Paris/Ocean-Leather-60587.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.60587.jpg
Oriental Leather,https://www.fragrantica.com/perfume/Memo-Paris/Oriental-Leather-55347.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55347.jpg
Russian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Russian-Leather-40544.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40544.jpg
Sicilian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Sicilian-Leather-67841.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67841.jpg
African Rose,https://www.fragrantica.com/perfume/Memo-Paris/African-Rose-53962.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53962.jpg
Irish Oud,https://www.fragrantica.com/perfume/Memo-Paris/Irish-Oud-38642.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38642.jpg
Lalibela Oud,https://www.fragrantica.com/perfume/Memo-Paris/Lalibela-Oud-22966.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22966.jpg
Marfa Oud,https://www.fragrantica.com/perfume/Memo-Paris/Marfa-Oud-81512.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81512.jpg
