name,link,image_url
Cologne Summer Flash,https://www.fragrantica.com/perfume/Mugler/Cologne-Summer-Flash-717.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.717.jpg
Le Parfum fe,https://www.fragrantica.com/perfume/Mugler/Le-Parfum-713.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.713.jpg
Mugler Cologne,https://www.fragrantica.com/perfume/Mugler/Mugler-Cologne-708.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.708.jpg
Mugler Show fe,https://www.fragrantica.com/perfume/Mugler/Mugler-Show-18930.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18930.jpg
Secret Eau de Toilette fe,https://www.fragrantica.com/perfume/Mugler/Secret-Eau-de-Toilette-53826.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53826.jpg
A*Men,https://www.fragrantica.com/perfume/Mugler/A-Men-705.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.705.jpg
A*Men Fantasm,https://www.fragrantica.com/perfume/Mugler/A-Men-Fantasm-93266.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93266.jpg
A*Men Gold Edition,https://www.fragrantica.com/perfume/Mugler/A-Men-Gold-Edition-16885.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16885.jpg
A*Men Kryptomint,https://www.fragrantica.com/perfume/Mugler/A-Men-Kryptomint-42937.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42937.jpg
A*Men Pure Coffee,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Coffee-2337.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2337.jpg
A*Men Pure Energy,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Energy-18982.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18982.jpg
A*Men Pure Havane,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Havane-11444.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11444.jpg
A*Men Pure Leather Pure Cuir,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Leather-Pure-Cuir-16043.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16043.jpg
A*Men Pure Malt,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Malt-6103.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6103.jpg
A*Men Pure Shot,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Shot-14522.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14522.jpg
A*Men Pure Tonka,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Tonka-35590.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.35590.jpg
A*Men Pure Wood,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Wood-25090.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25090.jpg
A*Men Stellar,https://www.fragrantica.com/perfume/Mugler/A-Men-Stellar-104941.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104941.jpg
A*Men Summer Flash,https://www.fragrantica.com/perfume/Mugler/A-Men-Summer-Flash-716.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.716.jpg
A*Men Sunessence Edition Orage d'Ete,https://www.fragrantica.com/perfume/Mugler/A-Men-Sunessence-Edition-Orage-d-Ete-8192.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8192.jpg
A*Men Ultimate,https://www.fragrantica.com/perfume/Mugler/A-Men-Ultimate-56796.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56796.jpg
A*Men Ultra Zest,https://www.fragrantica.com/perfume/Mugler/A-Men-Ultra-Zest-29589.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29589.jpg
A*Men Urban Edition male,https://www.fragrantica.com/perfume/Mugler/A-Men-Urban-Edition-49914.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49914.jpg
B*Men,https://www.fragrantica.com/perfume/Mugler/B-Men-706.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.706.jpg
Ice*Men,https://www.fragrantica.com/perfume/Mugler/Ice-Men-1347.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1347.jpg
Show Collection A*Men Bracelet de Force,https://www.fragrantica.com/perfume/Mugler/Show-Collection-A-Men-Bracelet-de-Force-10363.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10363.jpg
Alien fe,https://www.fragrantica.com/perfume/Mugler/Alien-707.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.707.jpg
Alien 24 Carats Jewel Talisman fe,https://www.fragrantica.com/perfume/Mugler/Alien-24-Carats-Jewel-Talisman-47423.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47423.jpg
Alien Aqua Chic fe,https://www.fragrantica.com/perfume/Mugler/Alien-Aqua-Chic-14221.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14221.jpg
Alien Aqua Chic 2013 fe,https://www.fragrantica.com/perfume/Mugler/Alien-Aqua-Chic-2013-17654.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17654.jpg
Alien Divine Ornamentations fe,https://www.fragrantica.com/perfume/Mugler/Alien-Divine-Ornamentations-35983.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.35983.jpg
Alien Eau de Parfum Neon Edition fe,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-de-Parfum-Neon-Edition-42453.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42453.jpg
Alien Eau de Toilette fe,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-de-Toilette-6616.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6616.jpg
Alien Eau Extraordinaire fe,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-Extraordinaire-23333.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23333.jpg
Alien Eau Extraordinaire Gold Shimmer fe,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-Extraordinaire-Gold-Shimmer-30767.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30767.jpg
Alien Eau Luminescente fe,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-Luminescente-2780.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2780.jpg
Alien Eau Sublime fe,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-Sublime-42892.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42892.jpg
Alien Édition Talisman fe,https://www.fragrantica.com/perfume/Mugler/Alien-Edition-Talisman-32437.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32437.jpg
Alien Essence Absolue fe,https://www.fragrantica.com/perfume/Mugler/Alien-Essence-Absolue-15452.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15452.jpg
Alien Extraintense fe,https://www.fragrantica.com/perfume/Mugler/Alien-Extraintense-101560.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101560.jpg
Alien Flora Futura fe,https://www.fragrantica.com/perfume/Mugler/Alien-Flora-Futura-48304.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48304.jpg
Alien Fusion fe,https://www.fragrantica.com/perfume/Mugler/Alien-Fusion-53458.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53458.jpg
Alien Goddess  fe,https://www.fragrantica.com/perfume/Mugler/Alien-Goddess-68354.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68354.jpg
