name,link,image_url
Absinth unisex,https://www.fragrantica.com/perfume/Nasomatto/Absinth-4293.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4293.jpg
Baraonda,https://www.fragrantica.com/perfume/Nasomatto/Baraonda-40200.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40200.jpg
Black Afgano,https://www.fragrantica.com/perfume/Nasomatto/Black-Afgano-6472.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6472.jpg
Blamage,https://www.fragrantica.com/perfume/Nasomatto/Blamage-25575.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25575.jpg
China White fe,https://www.fragrantica.com/perfume/Nasomatto/China-White-4290.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4290.jpg
Duro male,https://www.fragrantica.com/perfume/Nasomatto/Duro-4291.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4291.jpg
Fantomas,https://www.fragrantica.com/perfume/Nasomatto/Fantomas-62775.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62775.jpg
Hindu Grass unisex,https://www.fragrantica.com/perfume/Nasomatto/Hindu-Grass-4294.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4294.jpg
Narcotic Venus female,https://www.fragrantica.com/perfume/Nasomatto/Narcotic-Venus-4292.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4292.jpg
Nudiflorum,https://www.fragrantica.com/perfume/Nasomatto/Nudiflorum-49223.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49223.jpg
Pardon,https://www.fragrantica.com/perfume/Nasomatto/Pardon-12130.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12130.jpg
Sadonaso,https://www.fragrantica.com/perfume/Nasomatto/Sadonaso-80076.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80076.jpg
Silver Musk unisex,https://www.fragrantica.com/perfume/Nasomatto/Silver-Musk-4295.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4295.jpg
Nuda female,https://www.fragrantica.com/perfume/Nasomatto/Nuda-9319.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.9319.jpg
