name,link,image_url
Bergamask,https://www.fragrantica.com/perfume/Orto-Parisi/Bergamask-24191.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24191.jpg
Boccanera,https://www.fragrantica.com/perfume/Orto-Parisi/Boccanera-24195.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24195.jpg
Brutus,https://www.fragrantica.com/perfume/Orto-Parisi/Brutus-24194.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24194.jpg
Cuoium,https://www.fragrantica.com/perfume/Orto-Parisi/Cuoium-69923.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69923.jpg
Megamare,https://www.fragrantica.com/perfume/Orto-Parisi/Megamare-53471.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53471.jpg
Risvelium,https://www.fragrantica.com/perfume/Orto-Parisi/Risvelium-104365.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104365.jpg
Seminalis,https://www.fragrantica.com/perfume/Orto-Parisi/Seminalis-38293.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38293.jpg
Stercus,https://www.fragrantica.com/perfume/Orto-Parisi/Stercus-24192.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24192.jpg
Terroni,https://www.fragrantica.com/perfume/Orto-Parisi/Terroni-45475.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45475.jpg
Viride,https://www.fragrantica.com/perfume/Orto-Parisi/Viride-24193.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24193.jpg
