name,link,image_url
Abeer female,https://www.fragrantica.com/perfume/Rasasi/Abeer-8694.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8694.jpg
Abyan female,https://www.fragrantica.com/perfume/Rasasi/Abyan-19675.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19675.jpg
Abyan male,https://www.fragrantica.com/perfume/Rasasi/Abyan-19676.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19676.jpg
Admire female,https://www.fragrantica.com/perfume/Rasasi/Admire-26405.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26405.jpg
Adorable female,https://www.fragrantica.com/perfume/Rasasi/Adorable-26406.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26406.jpg
Adorer,https://www.fragrantica.com/perfume/Rasasi/Adorer-97579.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97579.jpg
Adventurous fe,https://www.fragrantica.com/perfume/Rasasi/Adventurous-98282.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98282.jpg
Afreen fe,https://www.fragrantica.com/perfume/Rasasi/Afreen-98277.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98277.jpg
Afshan unisex,https://www.fragrantica.com/perfume/Rasasi/Afshan-19525.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19525.jpg
After Dark,https://www.fragrantica.com/perfume/Rasasi/After-Dark-97573.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97573.jpg
Aim,https://www.fragrantica.com/perfume/Rasasi/Aim-100997.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100997.jpg
Aisha fe,https://www.fragrantica.com/perfume/Rasasi/Aisha-97595.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97595.jpg
Aiyara Pour Femme fe,https://www.fragrantica.com/perfume/Rasasi/Aiyara-Pour-Femme-92101.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92101.jpg
Aiyara Pour Homme,https://www.fragrantica.com/perfume/Rasasi/Aiyara-Pour-Homme-92102.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92102.jpg
Al Attar Al Thameen unisex,https://www.fragrantica.com/perfume/Rasasi/Al-Attar-Al-Thameen-19517.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19517.jpg
Al Attar Al Thameen Al Bahy,https://www.fragrantica.com/perfume/Rasasi/Al-Attar-Al-Thameen-Al-Bahy-22862.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22862.jpg
Al Hobb Al Abady female,https://www.fragrantica.com/perfume/Rasasi/Al-Hobb-Al-Abady-19679.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19679.jpg
Al Hobb Al Hakiki female,https://www.fragrantica.com/perfume/Rasasi/Al-Hobb-Al-Hakiki-19680.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19680.jpg
Al Hobb Hayat female,https://www.fragrantica.com/perfume/Rasasi/Al-Hobb-Hayat-19681.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19681.jpg
Al Lulu Al Aswad female,https://www.fragrantica.com/perfume/Rasasi/Al-Lulu-Al-Aswad-8691.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8691.jpg
Al Maqam unisex,https://www.fragrantica.com/perfume/Rasasi/Al-Maqam-8724.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8724.jpg
Al Oudh Al Mumaiz male,https://www.fragrantica.com/perfume/Rasasi/Al-Oudh-Al-Mumaiz-8692.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8692.jpg
Al Oudh Al Mumaiz female,https://www.fragrantica.com/perfume/Rasasi/Al-Oudh-Al-Mumaiz-8693.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8693.jpg
Al Taif unisex,https://www.fragrantica.com/perfume/Rasasi/Al-Taif-8723.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8723.jpg
Al Ward Al Musk unisex,https://www.fragrantica.com/perfume/Rasasi/Al-Ward-Al-Musk-8730.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8730.jpg
Al Wisam Day male,https://www.fragrantica.com/perfume/Rasasi/Al-Wisam-Day-19650.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19650.jpg
Al Wisam Evening male,https://www.fragrantica.com/perfume/Rasasi/Al-Wisam-Evening-19649.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19649.jpg
Amber Alive,https://www.fragrantica.com/perfume/Rasasi/Amber-Alive-100979.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100979.jpg
Amber Oudh unisex,https://www.fragrantica.com/perfume/Rasasi/Amber-Oudh-8736.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8736.jpg
Ambition male,https://www.fragrantica.com/perfume/Rasasi/Ambition-8628.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8628.jpg
Ambition fe,https://www.fragrantica.com/perfume/Rasasi/Ambition-26316.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26316.jpg
Appealing Blue Pour Homme,https://www.fragrantica.com/perfume/Rasasi/Appealing-Blue-Pour-Homme-107002.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107002.jpg
Appealing Red Pour Homme,https://www.fragrantica.com/perfume/Rasasi/Appealing-Red-Pour-Homme-107003.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107003.jpg
Arba Wardat female,https://www.fragrantica.com/perfume/Rasasi/Arba-Wardat-19663.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19663.jpg
Ashaar Pour Femme fe,https://www.fragrantica.com/perfume/Rasasi/Ashaar-Pour-Femme-67745.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67745.jpg
Ashaar Pour Homme,https://www.fragrantica.com/perfume/Rasasi/Ashaar-Pour-Homme-67744.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67744.jpg
Aspiration,https://www.fragrantica.com/perfume/Rasasi/Aspiration-97510.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97510.jpg
Attar Al Mohabba Female female,https://www.fragrantica.com/perfume/Rasasi/Attar-Al-Mohabba-Female-19670.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19670.jpg
Attar Al Mohabba Male male,https://www.fragrantica.com/perfume/Rasasi/Attar-Al-Mohabba-Male-19711.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19711.jpg
Attar Al Oudh Red unisex,https://www.fragrantica.com/perfume/Rasasi/Attar-Al-Oudh-Red-19535.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19535.jpg
Attar Mubakhar unisex,https://www.fragrantica.com/perfume/Rasasi/Attar-Mubakhar-8737.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8737.jpg
Awesome Pour Homme,https://www.fragrantica.com/perfume/Rasasi/Awesome-Pour-Homme-106999.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106999.jpg
Azhaar female,https://www.fragrantica.com/perfume/Rasasi/Azhaar-8695.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8695.jpg
Beauty Art female,https://www.fragrantica.com/perfume/Rasasi/Beauty-Art-33781.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33781.jpg
Beezer Gold Pour Femme fe,https://www.fragrantica.com/perfume/Rasasi/Beezer-Gold-Pour-Femme-107039.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107039.jpg
Beezer Silver Pour Femme fe,https://www.fragrantica.com/perfume/Rasasi/Beezer-Silver-Pour-Femme-107040.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107040.jpg
Bent Al Ezz Hana fe,https://www.fragrantica.com/perfume/Rasasi/Bent-Al-Ezz-Hana-26317.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26317.jpg
Bent Al Ezz Nabah fe,https://www.fragrantica.com/perfume/Rasasi/Bent-Al-Ezz-Nabah-26319.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26319.jpg
Bent Al Ezz Nadiyah fe,https://www.fragrantica.com/perfume/Rasasi/Bent-Al-Ezz-Nadiyah-26318.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26318.jpg
Black & Gold Elegant Combination fe,https://www.fragrantica.com/perfume/Rasasi/Black-Gold-Elegant-Combination-97506.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97506.jpg
Black Cherish female,https://www.fragrantica.com/perfume/Rasasi/Black-Cherish-34834.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34834.jpg
Black Leather,https://www.fragrantica.com/perfume/Rasasi/Black-Leather-97580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97580.jpg
Bloom Love in Valley fe,https://www.fragrantica.com/perfume/Rasasi/Bloom-Love-in-Valley-32771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32771.jpg
Blue For Men male,https://www.fragrantica.com/perfume/Rasasi/Blue-For-Men-8630.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8630.jpg
Blue Lady female,https://www.fragrantica.com/perfume/Rasasi/Blue-Lady-8629.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8629.jpg
Blue Oud fe,https://www.fragrantica.com/perfume/Rasasi/Blue-Oud-97584.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97584.jpg
Brilliant Bronze,https://www.fragrantica.com/perfume/Rasasi/Brilliant-Bronze-100987.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100987.jpg
Brilliant Gold,https://www.fragrantica.com/perfume/Rasasi/Brilliant-Gold-100988.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100988.jpg
Brilliant Silver,https://www.fragrantica.com/perfume/Rasasi/Brilliant-Silver-100966.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100966.jpg
