name,link,image_url
Anniversary Edition,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Anniversary-Edition-100627.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100627.jpg
Accento Viola,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Accento-Viola-75934.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75934.jpg
Afgano Puro,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Afgano-Puro-75935.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75935.jpg
Basso,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Basso-75927.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75927.jpg
Bel Canto,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Bel-Canto-75931.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75931.jpg
Cadenza,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Cadenza-75929.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75929.jpg
Contralto,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Contralto-75941.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75941.jpg
Deep Ocean Amber,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Deep-Ocean-Amber-81492.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81492.jpg
Dolce Melodia,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Dolce-Melodia-81490.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81490.jpg
Il Padrino,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Il-Padrino-103313.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103313.jpg
Liberto,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Liberto-75932.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75932.jpg
Mezzo,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Mezzo-116848.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116848.jpg
Opera Grande,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Opera-Grande-75936.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75936.jpg
Pasticcio,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Pasticcio-75940.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75940.jpg
Prima Donna,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Prima-Donna-75939.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75939.jpg
Tenore,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Tenore-75938.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75938.jpg
Vibranna,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Vibranna-116847.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116847.jpg
Vibrato,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Vibrato-75930.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75930.jpg
Erba Leather,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Erba-Leather-75944.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75944.jpg
Erba Oud,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Erba-Oud-75943.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75943.jpg
Erba Pura Magica,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Erba-Pura-Magica-75942.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75942.jpg
Aira,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Aira-101704.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101704.jpg
Cavatina,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Cavatina-101708.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101708.jpg
Diva,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Diva-101705.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101705.jpg
Farsa,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Farsa-101707.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101707.jpg
Viola,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Viola-101709.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101709.jpg
Dolce Sonata,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Dolce-Sonata-97104.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97104.jpg
