name,link,image_url
Attar AT,https://www.fragrantica.com/perfume/Tauer-Perfumes/Attar-AT-51352.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51352.jpg
Au Coeur du Désert,https://www.fragrantica.com/perfume/Tauer-Perfumes/Au-Coeur-du-Desert-41053.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.41053.jpg
Cologne du Maghreb,https://www.fragrantica.com/perfume/Tauer-Perfumes/Cologne-du-Maghreb-25662.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25662.jpg
Cologne Du Maghreb (2021),https://www.fragrantica.com/perfume/Tauer-Perfumes/Cologne-Du-Maghreb-2021-67627.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67627.jpg
Golestan,https://www.fragrantica.com/perfume/Tauer-Perfumes/Golestan-77252.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77252.jpg
Heraud,https://www.fragrantica.com/perfume/Tauer-Perfumes/Heraud-97173.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97173.jpg
L'Air Des Alpes Suisses,https://www.fragrantica.com/perfume/Tauer-Perfumes/L-Air-Des-Alpes-Suisses-56977.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56977.jpg
L'Eau,https://www.fragrantica.com/perfume/Tauer-Perfumes/L-Eau-45098.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45098.jpg
L'Oudh,https://www.fragrantica.com/perfume/Tauer-Perfumes/L-Oudh-51351.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51351.jpg
L’Air du Désert Marocain Noir,https://www.fragrantica.com/perfume/Tauer-Perfumes/L-Air-du-Desert-Marocain-Noir-115150.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115150.jpg
Les Années 25,https://www.fragrantica.com/perfume/Tauer-Perfumes/Les-Annees-25-49911.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49911.jpg
Les Années 25 Bis,https://www.fragrantica.com/perfume/Tauer-Perfumes/Les-Annees-25-Bis-65416.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65416.jpg
Lonesome Rider,https://www.fragrantica.com/perfume/Tauer-Perfumes/Lonesome-Rider-35665.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.35665.jpg
Nexin,https://www.fragrantica.com/perfume/Tauer-Perfumes/Nexin-87366.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.87366.jpg
