name,link,image_url
A Fairy Tale,https://www.fragrantica.com/perfume/Zimaya/A-Fairy-Tale-95997.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95997.jpg
A La Rose fe,https://www.fragrantica.com/perfume/Zimaya/A-La-Rose-96717.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96717.jpg
AL EMBRATUR ELIXIR,https://www.fragrantica.com/perfume/Zimaya/AL-EMBRATUR-ELIXIR-96981.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96981.jpg
AL EMBRATUR INTENSE,https://www.fragrantica.com/perfume/Zimaya/AL-EMBRATUR-INTENSE-96982.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96982.jpg
Al Fouz,https://www.fragrantica.com/perfume/Zimaya/Al-Fouz-92570.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92570.jpg
Al Kaser,https://www.fragrantica.com/perfume/Zimaya/Al-Kaser-92589.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92589.jpg
Amber Is Great,https://www.fragrantica.com/perfume/Zimaya/Amber-Is-Great-82728.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82728.jpg
Andalusi Blue,https://www.fragrantica.com/perfume/Zimaya/Andalusi-Blue-111033.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111033.jpg
Andalusi Pink fe,https://www.fragrantica.com/perfume/Zimaya/Andalusi-Pink-92818.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92818.jpg
Awatif Pour Femme fe,https://www.fragrantica.com/perfume/Zimaya/Awatif-Pour-Femme-118986.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118986.jpg
Bahjah,https://www.fragrantica.com/perfume/Zimaya/Bahjah-96980.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96980.jpg
Bouquet Red,https://www.fragrantica.com/perfume/Zimaya/Bouquet-Red-92575.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92575.jpg
Brave Heart,https://www.fragrantica.com/perfume/Zimaya/Brave-Heart-92576.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92576.jpg
Crysta Oud,https://www.fragrantica.com/perfume/Zimaya/Crysta-Oud-92577.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92577.jpg
Cult,https://www.fragrantica.com/perfume/Zimaya/Cult-96983.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96983.jpg
Evolution,https://www.fragrantica.com/perfume/Zimaya/Evolution-103823.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103823.jpg
Exquisite fe,https://www.fragrantica.com/perfume/Zimaya/Exquisite-96716.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96716.jpg
Farah fe,https://www.fragrantica.com/perfume/Zimaya/Farah-96715.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96715.jpg
