name,link,image_url
Black,https://www.fragrantica.com/perfume/Bvlgari/Black-154.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.154.jpg
BLV fe,https://www.fragrantica.com/perfume/Bvlgari/BLV-156.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.156.jpg
BLV Absolute fe,https://www.fragrantica.com/perfume/Bvlgari/BLV-Absolute-3014.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3014.jpg
BLV Eau d'Ete fe,https://www.fragrantica.com/perfume/Bvlgari/BLV-Eau-d-Ete-7220.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7220.jpg
BLV Eau de Parfum II fe,https://www.fragrantica.com/perfume/Bvlgari/BLV-Eau-de-Parfum-II-6481.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6481.jpg
BLV Notte Pour Femme fe,https://www.fragrantica.com/perfume/Bvlgari/BLV-Notte-Pour-Femme-149.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.149.jpg
BLV Notte Pour Homme,https://www.fragrantica.com/perfume/Bvlgari/BLV-Notte-Pour-Homme-150.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.150.jpg
BLV Pour Homme,https://www.fragrantica.com/perfume/Bvlgari/BLV-Pour-Homme-148.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.148.jpg
Bvlgari Extreme,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Extreme-157.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.157.jpg
Bvlgari Pour Femme fe,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Pour-Femme-142.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.142.jpg
Bvlgari Pour Homme,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Pour-Homme-143.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.143.jpg
Bvlgari Pour Homme Soir,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Pour-Homme-Soir-770.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.770.jpg
Bvlgari Rose Essentielle Eau De Toilette Rosee fe,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Rose-Essentielle-Eau-De-Toilette-Rosee-1543.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1543.jpg
Eau Fraiche fe,https://www.fragrantica.com/perfume/Bvlgari/Eau-Fraiche-3015.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3015.jpg
