name,link,image_url
Calvin,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-274.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.274.jpg
CK2,https://www.fragrantica.com/perfume/Calvin-Klein/CK2-32563.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32563.jpg
Crave,https://www.fragrantica.com/perfume/Calvin-Klein/Crave-273.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.273.jpg
Downtown fe,https://www.fragrantica.com/perfume/Calvin-Klein/Downtown-18392.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18392.jpg
Man,https://www.fragrantica.com/perfume/Calvin-Klein/Man-1656.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1656.jpg
Beauty fe,https://www.fragrantica.com/perfume/Calvin-Klein/Beauty-8840.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8840.jpg
Sheer Beauty fe,https://www.fragrantica.com/perfume/Calvin-Klein/Sheer-Beauty-13962.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13962.jpg
Sheer Beauty Essence fe,https://www.fragrantica.com/perfume/Calvin-Klein/Sheer-Beauty-Essence-18124.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18124.jpg
Calvin Klein Women fe,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-Women-50662.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50662.jpg
Calvin Klein Women Eau de Parfum Intense fe,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-Women-Eau-de-Parfum-Intense-55683.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55683.jpg
Calvin Klein Women Eau de Toilette fe,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-Women-Eau-de-Toilette-53599.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53599.jpg
CK All,https://www.fragrantica.com/perfume/Calvin-Klein/CK-All-42944.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42944.jpg
CK be,https://www.fragrantica.com/perfume/Calvin-Klein/CK-be-275.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.275.jpg
CK Be We Are One Magnets,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Be-We-Are-One-Magnets-11084.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11084.jpg
CK Free,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-6281.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6281.jpg
CK Free Blue,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-Blue-13497.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13497.jpg
CK Free Energy,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-Energy-29972.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29972.jpg
CK Free Sport,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-Sport-23614.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23614.jpg
CK IN2U for Her fe,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-for-Her-934.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.934.jpg
CK IN2U for Him,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-for-Him-933.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.933.jpg
CK IN2U Heat for Her fe,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Heat-for-Her-5468.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5468.jpg
CK IN2U Heat for Him,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Heat-for-Him-5469.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5469.jpg
ck IN2U Heat Her fe,https://www.fragrantica.com/perfume/Calvin-Klein/ck-IN2U-Heat-Her-8100.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8100.jpg
ck IN2U Heat Him,https://www.fragrantica.com/perfume/Calvin-Klein/ck-IN2U-Heat-Him-8101.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8101.jpg
CK IN2U Her Collectables fe,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Her-Collectables-6926.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6926.jpg
CK IN2U Him Collectables,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Him-Collectables-6927.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6927.jpg
