name,link,image_url
Bonne Étoile Baby Dior,https://www.fragrantica.com/perfume/Dior/Bonne-Etoile-Baby-Dior-87597.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.87597.jpg
Chris 1947 fe,https://www.fragrantica.com/perfume/Dior/Chris-1947-1383.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1383.jpg
Dior Dior fe,https://www.fragrantica.com/perfume/Dior/Dior-Dior-2607.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2607.jpg
"Dior Me, Dior Me Not fe",https://www.fragrantica.com/perfume/Dior/Dior-Me-Dior-Me-Not-1380.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1380.jpg
Dior Star fe,https://www.fragrantica.com/perfume/Dior/Dior-Star-1296.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1296.jpg
Diorama fe,https://www.fragrantica.com/perfume/Dior/Diorama-2608.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2608.jpg
Diorella fe,https://www.fragrantica.com/perfume/Dior/Diorella-226.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.226.jpg
Diorella Parfum fe,https://www.fragrantica.com/perfume/Dior/Diorella-Parfum-33613.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33613.jpg
Diorever fe,https://www.fragrantica.com/perfume/Dior/Diorever-29353.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29353.jpg
Diorissimo fe,https://www.fragrantica.com/perfume/Dior/Diorissimo-224.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.224.jpg
Diorissimo (2024) fe,https://www.fragrantica.com/perfume/Dior/Diorissimo-2024-92648.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92648.jpg
Diorling fe,https://www.fragrantica.com/perfume/Dior/Diorling-6376.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6376.jpg
Dolce Vita fe,https://www.fragrantica.com/perfume/Dior/Dolce-Vita-222.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.222.jpg
Eau de Dior Coloressence Energizing fe,https://www.fragrantica.com/perfume/Dior/Eau-de-Dior-Coloressence-Energizing-1386.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1386.jpg
Eau de Dior Coloressence Relaxing fe,https://www.fragrantica.com/perfume/Dior/Eau-de-Dior-Coloressence-Relaxing-1387.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1387.jpg
Eau de Dolce Vita fe,https://www.fragrantica.com/perfume/Dior/Eau-de-Dolce-Vita-2578.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2578.jpg
Eau Fraiche fe,https://www.fragrantica.com/perfume/Dior/Eau-Fraiche-227.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.227.jpg
Eau Svelte fe,https://www.fragrantica.com/perfume/Dior/Eau-Svelte-15703.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15703.jpg
Forever and Ever fe,https://www.fragrantica.com/perfume/Dior/Forever-and-Ever-1244.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1244.jpg
Forever and Ever Dior fe,https://www.fragrantica.com/perfume/Dior/Forever-and-Ever-Dior-1245.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1245.jpg
I Love Dior fe,https://www.fragrantica.com/perfume/Dior/I-Love-Dior-1382.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1382.jpg
Jules,https://www.fragrantica.com/perfume/Dior/Jules-1243.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1243.jpg
Jules (2016),https://www.fragrantica.com/perfume/Dior/Jules-2016-40736.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40736.jpg
Lily fe,https://www.fragrantica.com/perfume/Dior/Lily-2002.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2002.jpg
Lily Dior fe,https://www.fragrantica.com/perfume/Dior/Lily-Dior-2003.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2003.jpg
Midnight Charm fe,https://www.fragrantica.com/perfume/Dior/Midnight-Charm-697.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.697.jpg
Miss Dior Originale Harrods 175 Anniversary Edition Amphora fe,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Originale-Harrods-175-Anniversary-Edition-Amphora-97340.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97340.jpg
Remember Me fe,https://www.fragrantica.com/perfume/Dior/Remember-Me-2001.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2001.jpg
Sweet Sun fe,https://www.fragrantica.com/perfume/Dior/Sweet-Sun-1295.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1295.jpg
Tendre Poison Brume Parfumée fe,https://www.fragrantica.com/perfume/Dior/Tendre-Poison-Brume-Parfumee-101009.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101009.jpg
Cruise Collection - Escale a Portofino fe,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-3291.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3291.jpg
Cruise Collection - Escale a Portofino Limited Edition,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-Limited-Edition-82987.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82987.jpg
Cruise Collection Escale a Parati,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Parati-14833.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14833.jpg
Cruise Collection Escale a Pondichery fe,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Pondichery-6027.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6027.jpg
Cruise Collection Escale Aux Marquises fe,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-Aux-Marquises-8824.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8824.jpg
