name,link,image_url
34 Boulevard Saint Germain Solid Perfume,https://www.fragrantica.com/perfume/Diptyque/34-Boulevard-Saint-Germain-Solid-Perfume-106894.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106894.jpg
Do Son Limited Edition,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Limited-Edition-90244.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90244.jpg
Do Son Solid Perfume,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Solid-Perfume-106890.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106890.jpg
Eau Capitale Solid Perfume,https://www.fragrantica.com/perfume/Diptyque/Eau-Capitale-Solid-Perfume-106895.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106895.jpg
Eau d'Elide,https://www.fragrantica.com/perfume/Diptyque/Eau-d-Elide-3830.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3830.jpg
Eau Nabati,https://www.fragrantica.com/perfume/Diptyque/Eau-Nabati-80355.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80355.jpg
Eau Rose Eau De Parfum fe,https://www.fragrantica.com/perfume/Diptyque/Eau-Rose-Eau-De-Parfum-71661.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71661.jpg
Eau Rose Solid perfume,https://www.fragrantica.com/perfume/Diptyque/Eau-Rose-Solid-perfume-106889.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106889.jpg
Jardin Clos,https://www.fragrantica.com/perfume/Diptyque/Jardin-Clos-3831.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3831.jpg
L'Eau Papier,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-78658.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78658.jpg
L'Eau Papier,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-104767.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104767.jpg
L'Eau Papier Hair Mist,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-Hair-Mist-97734.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97734.jpg
L'Eau Papier Solid Perfume unisex,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-Solid-Perfume-106886.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106886.jpg
L'Ombre dans l'Eau Solid Perfume,https://www.fragrantica.com/perfume/Diptyque/L-Ombre-dans-l-Eau-Solid-Perfume-106893.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106893.jpg
