name,link,image_url
Fine'ry. Before The Rainbow fe,https://www.fragrantica.com/perfume/Fine-ry/Before-The-Rainbow-79171.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79171.jpg
Fine'ry. Born To Empress fe,https://www.fragrantica.com/perfume/Fine-ry/Born-To-Empress-91434.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91434.jpg
Fine'ry. Flower Bed fe,https://www.fragrantica.com/perfume/Fine-ry/Flower-Bed-79174.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79174.jpg
Fine'ry. I'm A Musk fe,https://www.fragrantica.com/perfume/Fine-ry/I-m-A-Musk-79170.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79170.jpg
Fine'ry. Jungle Santal fe,https://www.fragrantica.com/perfume/Fine-ry/Jungle-Santal-79172.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79172.jpg
Fine'ry. Madame fe,https://www.fragrantica.com/perfume/Fine-ry/Madame-91435.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91435.jpg
Fine'ry. Magnetic Candy fe,https://www.fragrantica.com/perfume/Fine-ry/Magnetic-Candy-79169.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79169.jpg
Fine'ry. Midnight Café fe,https://www.fragrantica.com/perfume/Fine-ry/Midnight-Cafe-79168.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79168.jpg
Fine'ry. Mysterious Nomad fe,https://www.fragrantica.com/perfume/Fine-ry/Mysterious-Nomad-91428.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91428.jpg
Fine'ry. Mystic Fig'ures fe,https://www.fragrantica.com/perfume/Fine-ry/Mystic-Fig-ures-91432.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91432.jpg
Fine'ry. No Prince Required fe,https://www.fragrantica.com/perfume/Fine-ry/No-Prince-Required-103430.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103430.jpg
Fine'ry. Not Another Cherry fe,https://www.fragrantica.com/perfume/Fine-ry/Not-Another-Cherry-79167.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79167.jpg
Fine'ry. Pistachio Please fe,https://www.fragrantica.com/perfume/Fine-ry/Pistachio-Please-91427.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91427.jpg
Fine'ry. She's a Goodie fe,https://www.fragrantica.com/perfume/Fine-ry/She-s-a-Goodie-104214.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104214.jpg
Fine'ry. Sun-Phoria fe,https://www.fragrantica.com/perfume/Fine-ry/Sun-Phoria-79173.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79173.jpg
Fine'ry. Sweet On The Outside fe,https://www.fragrantica.com/perfume/Fine-ry/Sweet-On-The-Outside-79165.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79165.jpg
Fine'ry. The New Rouge fe,https://www.fragrantica.com/perfume/Fine-ry/The-New-Rouge-91431.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91431.jpg
Fine'ry. Without A Trace fe,https://www.fragrantica.com/perfume/Fine-ry/Without-A-Trace-91430.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91430.jpg
Fine'ry. Alleged,https://www.fragrantica.com/perfume/Fine-ry/Alleged-101392.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101392.jpg
Fine'ry. Aqua Venture,https://www.fragrantica.com/perfume/Fine-ry/Aqua-Venture-101388.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101388.jpg
Fine'ry. In The Oud,https://www.fragrantica.com/perfume/Fine-ry/In-The-Oud-101389.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101389.jpg
Fine'ry. Jungle Vetiver,https://www.fragrantica.com/perfume/Fine-ry/Jungle-Vetiver-101386.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101386.jpg
Fine'ry. Not Another Blue,https://www.fragrantica.com/perfume/Fine-ry/Not-Another-Blue-101385.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101385.jpg
Fine'ry. Smoke & Leather,https://www.fragrantica.com/perfume/Fine-ry/Smoke-Leather-101390.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101390.jpg
Fine'ry. Two Billion,https://www.fragrantica.com/perfume/Fine-ry/Two-Billion-101387.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101387.jpg
Fine'ry. Ultra,https://www.fragrantica.com/perfume/Fine-ry/Ultra-101393.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101393.jpg
Fine'ry. Why Not?,https://www.fragrantica.com/perfume/Fine-ry/Why-Not-101391.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101391.jpg
