name,link,image_url
Floraïku Rise and Fall,https://www.fragrantica.com/perfume/Floraiku/Rise-and-Fall-95639.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95639.jpg
Floraïku Spring River,https://www.fragrantica.com/perfume/Floraiku/Spring-River-96555.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96555.jpg
Floraïku Morning Mist,https://www.fragrantica.com/perfume/Floraiku/Morning-Mist-101854.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101854.jpg
Floraïku Night Mist,https://www.fragrantica.com/perfume/Floraiku/Night-Mist-101855.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101855.jpg
Floraïku Friday Night,https://www.fragrantica.com/perfume/Floraiku/Friday-Night-79182.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79182.jpg
Floraïku I Am Not a Flower,https://www.fragrantica.com/perfume/Floraiku/I-Am-Not-a-Flower-63337.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63337.jpg
Floraïku And Your Lips,https://www.fragrantica.com/perfume/Floraiku/And-Your-Lips-76945.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76945.jpg
Floraïku Boyish,https://www.fragrantica.com/perfume/Floraiku/Boyish-88790.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88790.jpg
Floraïku Cricket Song,https://www.fragrantica.com/perfume/Floraiku/Cricket-Song-46163.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46163.jpg
Floraïku First Dream of the Year,https://www.fragrantica.com/perfume/Floraiku/First-Dream-of-the-Year-46164.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46164.jpg
Floraïku Flowers Turn Purple,https://www.fragrantica.com/perfume/Floraiku/Flowers-Turn-Purple-52149.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.52149.jpg
Floraïku I See the Clouds Go By,https://www.fragrantica.com/perfume/Floraiku/I-See-the-Clouds-Go-By-46162.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46162.jpg
Floraïku Just A Rose,https://www.fragrantica.com/perfume/Floraiku/Just-A-Rose-55768.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55768.jpg
Floraïku This July Evening,https://www.fragrantica.com/perfume/Floraiku/This-July-Evening-61620.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61620.jpg
Floraïku Volcanic Flowers,https://www.fragrantica.com/perfume/Floraiku/Volcanic-Flowers-67606.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67606.jpg
Floraïku Young at Heart,https://www.fragrantica.com/perfume/Floraiku/Young-at-Heart-65611.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65611.jpg
Floraïku Here Comes the Light,https://www.fragrantica.com/perfume/Floraiku/Here-Comes-the-Light-79181.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79181.jpg
Floraïku I Dream of Paris,https://www.fragrantica.com/perfume/Floraiku/I-Dream-of-Paris-70807.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70807.jpg
Floraïku Surprise,https://www.fragrantica.com/perfume/Floraiku/Surprise-58419.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58419.jpg
Floraïku What A Day!,https://www.fragrantica.com/perfume/Floraiku/What-A-Day-67062.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67062.jpg
Floraïku Wind In My Hand,https://www.fragrantica.com/perfume/Floraiku/Wind-In-My-Hand-49211.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49211.jpg
Floraïku AO unisex,https://www.fragrantica.com/perfume/Floraiku/AO-66478.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.66478.jpg
Floraïku In The Dark unisex,https://www.fragrantica.com/perfume/Floraiku/In-The-Dark-73175.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73175.jpg
Floraïku In The Rain,https://www.fragrantica.com/perfume/Floraiku/In-The-Rain-48909.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48909.jpg
Floraïku My Love Has the Colour of the Night,https://www.fragrantica.com/perfume/Floraiku/My-Love-Has-the-Colour-of-the-Night-46168.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46168.jpg
Floraïku My Shadow on the Wall,https://www.fragrantica.com/perfume/Floraiku/My-Shadow-on-the-Wall-46169.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46169.jpg
Floraïku Sand and Skin,https://www.fragrantica.com/perfume/Floraiku/Sand-and-Skin-79180.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79180.jpg
Floraïku Sound of a Ricochet,https://www.fragrantica.com/perfume/Floraiku/Sound-of-a-Ricochet-46170.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46170.jpg
Floraïku Golden Eyes,https://www.fragrantica.com/perfume/Floraiku/Golden-Eyes-69527.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69527.jpg
Floraïku Gong,https://www.fragrantica.com/perfume/Floraiku/Gong-105115.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105115.jpg
Floraïku I Am Coming Home,https://www.fragrantica.com/perfume/Floraiku/I-Am-Coming-Home-46167.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46167.jpg
Floraïku Levitating,https://www.fragrantica.com/perfume/Floraiku/Levitating-77999.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77999.jpg
Floraïku One Umbrella for Two,https://www.fragrantica.com/perfume/Floraiku/One-Umbrella-for-Two-46165.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46165.jpg
Floraïku The Moon and I,https://www.fragrantica.com/perfume/Floraiku/The-Moon-and-I-46166.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46166.jpg
Floraïku The Mountain Standing Still,https://www.fragrantica.com/perfume/Floraiku/The-Mountain-Standing-Still-56577.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56577.jpg
Floraïku Between Two Trees,https://www.fragrantica.com/perfume/Floraiku/Between-Two-Trees-46172.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46172.jpg
Floraïku Sleeping on the Roof,https://www.fragrantica.com/perfume/Floraiku/Sleeping-on-the-Roof-46171.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46171.jpg
