name,link,image_url
Angel Dust,https://www.fragrantica.com/perfume/Fugazzi/Angel-Dust-73921.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73921.jpg
Angel Dust,https://www.fragrantica.com/perfume/Fugazzi/Angel-Dust-108493.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.108493.jpg
Angel Dust x Numéro,https://www.fragrantica.com/perfume/Fugazzi/Angel-Dust-x-Numero-115410.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115410.jpg
Benzaldehyde Cherry,https://www.fragrantica.com/perfume/Fugazzi/Benzaldehyde-Cherry-119683.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119683.jpg
BORNTOSTANDOUT® by FUGAZZI,https://www.fragrantica.com/perfume/Fugazzi/BORNTOSTANDOUT-by-FUGAZZI-99256.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99256.jpg
Cash Flower,https://www.fragrantica.com/perfume/Fugazzi/Cash-Flower-81519.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81519.jpg
Ethyl Vanillin,https://www.fragrantica.com/perfume/Fugazzi/Ethyl-Vanillin-119684.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119684.jpg
Fugazzi Parfum 1,https://www.fragrantica.com/perfume/Fugazzi/Fugazzi-Parfum-1-59675.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59675.jpg
Fugazzi Parfum 2 OUD Of Office,https://www.fragrantica.com/perfume/Fugazzi/Fugazzi-Parfum-2-OUD-Of-Office-59676.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59676.jpg
Fugazzi Parfum 3 Rest@Home,https://www.fragrantica.com/perfume/Fugazzi/Fugazzi-Parfum-3-RestatHome-59677.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59677.jpg
Fugazzi Parfum 4 Workaholic,https://www.fragrantica.com/perfume/Fugazzi/Fugazzi-Parfum-4-Workaholic-59678.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59678.jpg
Goudh,https://www.fragrantica.com/perfume/Fugazzi/Goudh-66537.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.66537.jpg
In Love With The Cocos,https://www.fragrantica.com/perfume/Fugazzi/In-Love-With-The-Cocos-66538.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.66538.jpg
ISO E FIG,https://www.fragrantica.com/perfume/Fugazzi/ISO-E-FIG-119685.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119685.jpg
Magic Mango,https://www.fragrantica.com/perfume/Fugazzi/Magic-Mango-105830.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105830.jpg
Mood Swings,https://www.fragrantica.com/perfume/Fugazzi/Mood-Swings-90485.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90485.jpg
