name,link,image_url
Armani fe,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-827.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.827.jpg
Giò fe,https://www.fragrantica.com/perfume/Giorgio-Armani/Gio-418.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.418.jpg
Acqua di Gio,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.410.jpg
Acqua di Gio fe,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-411.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.411.jpg
Acqua di Gio - Acqua di Life Edition,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Acqua-di-Life-Edition-11755.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11755.jpg
Acqua di Giò Absolu,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-48138.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48138.jpg
Acqua di Giò Absolu Instinct,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-Instinct-53764.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53764.jpg
Acqua di Gio Blue Edition Pour Homme,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Blue-Edition-Pour-Homme-25615.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25615.jpg
Acqua di Giò Eau de Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Eau-de-Parfum-71606.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71606.jpg
Acqua di Giò Elixir,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Elixir-101438.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101438.jpg
Acqua di Gio Essenza,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Essenza-14825.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14825.jpg
Acqua di Giò Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81508.jpg
Acqua di Giò Profondo,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59532.jpg
Acqua di Giò Profondo Eau de Parfum (2024),https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Eau-de-Parfum-2024-105624.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105624.jpg
