name,link,image_url
3 Avenue George V,https://www.fragrantica.com/perfume/Givenchy/3-Avenue-George-V-112502.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112502.jpg
Absolutely Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/Absolutely-Givenchy-2454.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2454.jpg
Absolutely Irresistible fe,https://www.fragrantica.com/perfume/Givenchy/Absolutely-Irresistible-4613.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4613.jpg
Be Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/Be-Givenchy-5112.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5112.jpg
Bloom fe,https://www.fragrantica.com/perfume/Givenchy/Bloom-17610.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17610.jpg
Dance with Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/Dance-with-Givenchy-7807.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7807.jpg
Eau de Vetyver,https://www.fragrantica.com/perfume/Givenchy/Eau-de-Vetyver-1971.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1971.jpg
Eau Torride fe,https://www.fragrantica.com/perfume/Givenchy/Eau-Torride-864.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.864.jpg
Eclats Precieux  fe,https://www.fragrantica.com/perfume/Givenchy/Eclats-Precieux-35941.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.35941.jpg
Givenchy III fe,https://www.fragrantica.com/perfume/Givenchy/Givenchy-III-1962.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1962.jpg
Givenchy Lights fe,https://www.fragrantica.com/perfume/Givenchy/Givenchy-Lights-3848.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3848.jpg
Givenchy Naturally Chic fe,https://www.fragrantica.com/perfume/Givenchy/Givenchy-Naturally-Chic-10205.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10205.jpg
Greenergy,https://www.fragrantica.com/perfume/Givenchy/Greenergy-2949.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2949.jpg
Into the Blue,https://www.fragrantica.com/perfume/Givenchy/Into-the-Blue-997.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.997.jpg
Jardin Precieux fe,https://www.fragrantica.com/perfume/Givenchy/Jardin-Precieux-29720.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29720.jpg
Le Bouquet Absolu fe,https://www.fragrantica.com/perfume/Givenchy/Le-Bouquet-Absolu-11232.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11232.jpg
Le De Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/Le-De-Givenchy-1964.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1964.jpg
Lovely prism fe,https://www.fragrantica.com/perfume/Givenchy/Lovely-prism-850.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.850.jpg
Lucky Charms fe,https://www.fragrantica.com/perfume/Givenchy/Lucky-Charms-866.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.866.jpg
My Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/My-Givenchy-852.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.852.jpg
My Givenchy Dream fe,https://www.fragrantica.com/perfume/Givenchy/My-Givenchy-Dream-2090.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2090.jpg
Only Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/Only-Givenchy-853.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.853.jpg
So Givenchy fe,https://www.fragrantica.com/perfume/Givenchy/So-Givenchy-2064.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2064.jpg
Songe Précieux fe,https://www.fragrantica.com/perfume/Givenchy/Songe-Precieux-43397.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43397.jpg
Amarige fe,https://www.fragrantica.com/perfume/Givenchy/Amarige-3.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3.jpg
Amarige D'Amour fe,https://www.fragrantica.com/perfume/Givenchy/Amarige-D-Amour-758.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.758.jpg
Amarige Mariage fe,https://www.fragrantica.com/perfume/Givenchy/Amarige-Mariage-757.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.757.jpg
Amarige Mimosa de Grasse Millesime fe,https://www.fragrantica.com/perfume/Givenchy/Amarige-Mimosa-de-Grasse-Millesime-759.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.759.jpg
Extravagance d'Amarige fe,https://www.fragrantica.com/perfume/Givenchy/Extravagance-d-Amarige-1967.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1967.jpg
