name,link,image_url
Eau de Gucci fe,https://www.fragrantica.com/perfume/Gucci/Eau-de-Gucci-690.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.690.jpg
Gucci Accenti fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Accenti-2182.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2182.jpg
Gucci Eau de Parfum fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Eau-de-Parfum-684.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.684.jpg
Gucci Eau de Parfum II fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Eau-de-Parfum-II-685.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.685.jpg
Gucci No 3 Eau de Toilette fe,https://www.fragrantica.com/perfume/Gucci/Gucci-No-3-Eau-de-Toilette-692.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.692.jpg
Gucci Nobile,https://www.fragrantica.com/perfume/Gucci/Gucci-Nobile-689.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.689.jpg
Gucci Oud,https://www.fragrantica.com/perfume/Gucci/Gucci-Oud-25946.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25946.jpg
Gucci pour Homme (2003),https://www.fragrantica.com/perfume/Gucci/Gucci-pour-Homme-2003-691.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.691.jpg
Gucci Pour Homme II,https://www.fragrantica.com/perfume/Gucci/Gucci-Pour-Homme-II-1119.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1119.jpg
Intense Oud,https://www.fragrantica.com/perfume/Gucci/Intense-Oud-32743.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32743.jpg
L'Arte di Gucci fe,https://www.fragrantica.com/perfume/Gucci/L-Arte-di-Gucci-3840.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3840.jpg
Made to Measure,https://www.fragrantica.com/perfume/Gucci/Made-to-Measure-18703.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18703.jpg
Mémoire d’une Odeur,https://www.fragrantica.com/perfume/Gucci/Memoire-d-une-Odeur-56096.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56096.jpg
Envy fe,https://www.fragrantica.com/perfume/Gucci/Envy-97.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97.jpg
Envy for Men,https://www.fragrantica.com/perfume/Gucci/Envy-for-Men-688.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.688.jpg
Envy Me fe,https://www.fragrantica.com/perfume/Gucci/Envy-Me-682.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.682.jpg
Envy Me 2 fe,https://www.fragrantica.com/perfume/Gucci/Envy-Me-2-683.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.683.jpg
Flora by Gucci 1966 fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-1966-18135.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18135.jpg
Flora by Gucci Eau de Parfum fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-de-Parfum-7610.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7610.jpg
Flora by Gucci Eau de Toilette fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-de-Toilette-5226.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5226.jpg
Flora by Gucci Eau Fraiche fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-Fraiche-11775.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11775.jpg
Flora Gorgeous Gardenia Limited Edition 2020 fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-Limited-Edition-2020-60945.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.60945.jpg
Gucci Flora by Gucci Anniversary Edition fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Flora-by-Gucci-Anniversary-Edition-38375.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38375.jpg
Flora by Gucci Generous Violet fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Generous-Violet-14397.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14397.jpg
Flora by Gucci Glamorous Magnolia fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Glamorous-Magnolia-14396.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14396.jpg
Flora by Gucci Glorious Mandarin fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Glorious-Mandarin-14393.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14393.jpg
Flora by Gucci Gorgeous Gardenia fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Gorgeous-Gardenia-14395.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14395.jpg
Flora by Gucci Gracious Tuberose fe,https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Gracious-Tuberose-14394.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14394.jpg
Flora Emerald Gardenia fe,https://www.fragrantica.com/perfume/Gucci/Flora-Emerald-Gardenia-55751.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55751.jpg
Flora Gorgeous Gardenia Limited Edition fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-Limited-Edition-43697.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43697.jpg
Flora Gorgeous Gardenia Limited Edition 2018 fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-Limited-Edition-2018-50208.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50208.jpg
Flora Gorgeous Gardenia fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-68578.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68578.jpg
Flora Gorgeous Gardenia Intense fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-Intense-106623.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106623.jpg
Flora Gorgeous Jasmine fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Jasmine-75190.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75190.jpg
Flora Gorgeous Magnolia fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Magnolia-83621.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83621.jpg
Flora Gorgeous Orchid fe,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Orchid-94979.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94979.jpg
Gucci Bamboo fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bamboo-30815.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30815.jpg
Gucci Bamboo Eau de Toilette fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bamboo-Eau-de-Toilette-38345.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38345.jpg
Gucci Bamboo Limited Edition  fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bamboo-Limited-Edition-43114.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43114.jpg
Gucci Bloom fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-44894.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.44894.jpg
Gucci Bloom Acqua di Fiori fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Acqua-di-Fiori-48779.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48779.jpg
Gucci Bloom Ambrosia di Fiori fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Ambrosia-di-Fiori-57355.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57355.jpg
Gucci Bloom Eau de Toilette fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Eau-de-Toilette-72562.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72562.jpg
Gucci Bloom Gocce di Fiori fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Gocce-di-Fiori-54162.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54162.jpg
Gucci Bloom Hair Mist fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Hair-Mist-54239.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54239.jpg
Gucci Bloom Intense fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Intense-79602.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79602.jpg
Gucci Bloom Nettare Di Fiori fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Nettare-Di-Fiori-50572.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50572.jpg
Gucci Bloom Parfum fe,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Parfum-102753.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102753.jpg
