name,link,image_url
180 Ans de Créations 1828-2008 unisex,https://www.fragrantica.com/perfume/Guerlain/180-Ans-de-Creations-1828-2008-33479.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33479.jpg
190 Ans de Création 1828-2018,https://www.fragrantica.com/perfume/Guerlain/190-Ans-de-Creation-1828-2018-58561.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58561.jpg
Apres l'Ondee fe,https://www.fragrantica.com/perfume/Guerlain/Apres-l-Ondee-13.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13.jpg
Attrape Coeur fe,https://www.fragrantica.com/perfume/Guerlain/Attrape-Coeur-51369.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51369.jpg
Bee Garden fe,https://www.fragrantica.com/perfume/Guerlain/Bee-Garden-83697.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83697.jpg
Belle Epoque Limited Edition fe,https://www.fragrantica.com/perfume/Guerlain/Belle-Epoque-Limited-Edition-43292.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43292.jpg
Bouquet de Faunes fe,https://www.fragrantica.com/perfume/Guerlain/Bouquet-de-Faunes-30807.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30807.jpg
Bouquet de Paris fe,https://www.fragrantica.com/perfume/Guerlain/Bouquet-de-Paris-57878.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57878.jpg
Cheval Blanc,https://www.fragrantica.com/perfume/Guerlain/Cheval-Blanc-98237.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98237.jpg
Cheval Blanc St.Tropez,https://www.fragrantica.com/perfume/Guerlain/Cheval-Blanc-St-Tropez-113887.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113887.jpg
Chypre de Paris,https://www.fragrantica.com/perfume/Guerlain/Chypre-de-Paris-41629.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.41629.jpg
Cologne du 68,https://www.fragrantica.com/perfume/Guerlain/Cologne-du-68-4347.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4347.jpg
Colours of Love fe,https://www.fragrantica.com/perfume/Guerlain/Colours-of-Love-68.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68.jpg
Coriolan,https://www.fragrantica.com/perfume/Guerlain/Coriolan-2288.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2288.jpg
Cuir de Russie,https://www.fragrantica.com/perfume/Guerlain/Cuir-de-Russie-29336.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29336.jpg
Derby (Vintage),https://www.fragrantica.com/perfume/Guerlain/Derby-Vintage-5396.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5396.jpg
Eau de Coton,https://www.fragrantica.com/perfume/Guerlain/Eau-de-Coton-93131.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93131.jpg
Fol Arôme fe,https://www.fragrantica.com/perfume/Guerlain/Fol-Arome-42901.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42901.jpg
Garden Sensuel fe,https://www.fragrantica.com/perfume/Guerlain/Garden-Sensuel-3754.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3754.jpg
Guerlain Le Parfum du 68,https://www.fragrantica.com/perfume/Guerlain/Guerlain-Le-Parfum-du-68-21752.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21752.jpg
Guet Apens fe,https://www.fragrantica.com/perfume/Guerlain/Guet-Apens-5750.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5750.jpg
Jardins de Bagatelle fe,https://www.fragrantica.com/perfume/Guerlain/Jardins-de-Bagatelle-3809.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3809.jpg
Kadine fe,https://www.fragrantica.com/perfume/Guerlain/Kadine-25160.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25160.jpg
L'Heure Blanche fe,https://www.fragrantica.com/perfume/Guerlain/L-Heure-Blanche-58941.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58941.jpg
L'Heure Bleue Yves Klein Edition fe,https://www.fragrantica.com/perfume/Guerlain/L-Heure-Bleue-Yves-Klein-Edition-76819.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76819.jpg
L’Heure Dorée,https://www.fragrantica.com/perfume/Guerlain/L-Heure-Doree-103277.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103277.jpg
Le Bouquet de la Mariee fe,https://www.fragrantica.com/perfume/Guerlain/Le-Bouquet-de-la-Mariee-29612.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29612.jpg
Le Bouquet de la Reine fe,https://www.fragrantica.com/perfume/Guerlain/Le-Bouquet-de-la-Reine-35522.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.35522.jpg
Le Plus Beau Jour de Ma Vie fe,https://www.fragrantica.com/perfume/Guerlain/Le-Plus-Beau-Jour-de-Ma-Vie-30213.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30213.jpg
Les Secrets de Sophie fe,https://www.fragrantica.com/perfume/Guerlain/Les-Secrets-de-Sophie-7222.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7222.jpg
Love is All fe,https://www.fragrantica.com/perfume/Guerlain/Love-is-All-45.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45.jpg
Lui,https://www.fragrantica.com/perfume/Guerlain/Lui-45660.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45660.jpg
Mahora fe,https://www.fragrantica.com/perfume/Guerlain/Mahora-2660.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2660.jpg
Marie Claire fe,https://www.fragrantica.com/perfume/Guerlain/Marie-Claire-15487.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15487.jpg
Meteorites fe,https://www.fragrantica.com/perfume/Guerlain/Meteorites-4045.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4045.jpg
Météorites Le Parfum fe,https://www.fragrantica.com/perfume/Guerlain/Meteorites-Le-Parfum-49587.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49587.jpg
Mitsouko Eau de Parfum fe,https://www.fragrantica.com/perfume/Guerlain/Mitsouko-Eau-de-Parfum-113910.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113910.jpg
Mon Exclusif fe,https://www.fragrantica.com/perfume/Guerlain/Mon-Exclusif-30944.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30944.jpg
Mouchoir de Monsieur,https://www.fragrantica.com/perfume/Guerlain/Mouchoir-de-Monsieur-3943.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3943.jpg
Ne m’Oubliez Pas fe,https://www.fragrantica.com/perfume/Guerlain/Ne-m-Oubliez-Pas-32355.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32355.jpg
Ode fe,https://www.fragrantica.com/perfume/Guerlain/Ode-22958.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22958.jpg
Oud Sensuel,https://www.fragrantica.com/perfume/Guerlain/Oud-Sensuel-38414.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38414.jpg
Parure fe,https://www.fragrantica.com/perfume/Guerlain/Parure-47.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47.jpg
Petit Guerlain,https://www.fragrantica.com/perfume/Guerlain/Petit-Guerlain-2620.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2620.jpg
Philtre d'Amour fe,https://www.fragrantica.com/perfume/Guerlain/Philtre-d-Amour-2655.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2655.jpg
Place Rouge fe,https://www.fragrantica.com/perfume/Guerlain/Place-Rouge-18983.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18983.jpg
Plus Que Jamais fe,https://www.fragrantica.com/perfume/Guerlain/Plus-Que-Jamais-9417.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.9417.jpg
Precious Heart fe,https://www.fragrantica.com/perfume/Guerlain/Precious-Heart-2619.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2619.jpg
Purple Fantasy fe,https://www.fragrantica.com/perfume/Guerlain/Purple-Fantasy-6324.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6324.jpg
Quand Vient La Pluie fe,https://www.fragrantica.com/perfume/Guerlain/Quand-Vient-La-Pluie-2618.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2618.jpg
Reve de Lune fe,https://www.fragrantica.com/perfume/Guerlain/Reve-de-Lune-16734.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16734.jpg
Royal Extract II,https://www.fragrantica.com/perfume/Guerlain/Royal-Extract-II-60616.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.60616.jpg
Royal Extract III fe,https://www.fragrantica.com/perfume/Guerlain/Royal-Extract-III-117104.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117104.jpg
Royal Extrait fe,https://www.fragrantica.com/perfume/Guerlain/Royal-Extrait-28844.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28844.jpg
Secret Intention fe,https://www.fragrantica.com/perfume/Guerlain/Secret-Intention-3347.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3347.jpg
Sous le Vent fe,https://www.fragrantica.com/perfume/Guerlain/Sous-le-Vent-5400.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5400.jpg
Souvenir d'Orchidée fe,https://www.fragrantica.com/perfume/Guerlain/Souvenir-d-Orchidee-98371.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98371.jpg
Terracotta Eau Sous Le Vent fe,https://www.fragrantica.com/perfume/Guerlain/Terracotta-Eau-Sous-Le-Vent-5883.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5883.jpg
Terracotta Le Parfum fe,https://www.fragrantica.com/perfume/Guerlain/Terracotta-Le-Parfum-24785.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24785.jpg
"Terracotta Voile d'Été (No.25, Quand Vient l'Été) fe",https://www.fragrantica.com/perfume/Guerlain/Terracotta-Voile-d-Ete-No-25-Quand-Vient-l-Ete-2615.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2615.jpg
Voilette de Madame fe,https://www.fragrantica.com/perfume/Guerlain/Voilette-de-Madame-11305.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11305.jpg
With Love fe,https://www.fragrantica.com/perfume/Guerlain/With-Love-2614.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2614.jpg
Xi'an,https://www.fragrantica.com/perfume/Guerlain/Xi-an-65980.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65980.jpg
