name,link,image_url
Oud for Greatness,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53641.jpg
Oud for Greatness Hair Perfume,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-Hair-Perfume-96605.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96605.jpg
Oud for Greatness Neo,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-Neo-93090.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93090.jpg
Oud for Happiness,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Happiness-69224.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69224.jpg
Magnetic Blend 1,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Magnetic-Blend-1-30994.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30994.jpg
Magnetic Blend 7,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Magnetic-Blend-7-30995.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30995.jpg
Magnetic Blend 8,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Magnetic-Blend-8-30996.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30996.jpg
Absolute Aphrodisiac,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30989.jpg
Addictive Vibration,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Addictive-Vibration-38666.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38666.jpg
Blessed Baraka,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Blessed-Baraka-30991.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30991.jpg
Divine Attraction,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Divine-Attraction-30993.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30993.jpg
Mystic Experience,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Mystic-Experience-30992.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30992.jpg
Atomic Rose,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-57587.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57587.jpg
Atomic Rose Hair Perfume,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-Hair-Perfume-96604.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96604.jpg
High Frequency,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/High-Frequency-42259.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42259.jpg
Narcotic Delight,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89368.jpg
Psychedelic Love,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Psychedelic-Love-45977.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45977.jpg
Side Effect,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42260.jpg
Can't Get Enough,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Can-t-Get-Enough-114319.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114319.jpg
Lift Me Up,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Lift-Me-Up-115367.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115367.jpg
Musk Therapy,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-66097.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.66097.jpg
Musk Therapy Hair Perfume,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-Hair-Perfume-96606.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96606.jpg
Paragon,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Paragon-76580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76580.jpg
Power Self,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Power-Self-103778.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103778.jpg
Rehab,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Rehab-50351.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50351.jpg
