name,link,image_url
Ma Dame 2024 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ma-Dame-2024-97600.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97600.jpg
Monsieur Eau du Matin,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Monsieur-Eau-du-Matin-2737.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2737.jpg
Classique fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-427.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.427.jpg
Classique Alcohol Free Summer Fragrance 2006 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Alcohol-Free-Summer-Fragrance-2006-429.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.429.jpg
Classique Autumn Winter fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Autumn-Winter-2844.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2844.jpg
Classique Belle en Corset fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Belle-en-Corset-17657.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17657.jpg
Classique Betty Boop Eau Fraiche  fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Betty-Boop-Eau-Fraiche-36635.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36635.jpg
Classique Bien Roulee fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Bien-Roulee-2845.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2845.jpg
Classique Cabaret Eau de Parfum fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Cabaret-Eau-de-Parfum-53187.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53187.jpg
Classique Charm Edition fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Charm-Edition-10172.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10172.jpg
Classique Collector Edition 2018  fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Collector-Edition-2018-51774.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51774.jpg
Classique Collector Edition 2022 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Collector-Edition-2022-76517.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76517.jpg
Classique Collector Edition 2024 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Collector-Edition-2024-97488.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97488.jpg
Classique Collector Glam Edition fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Collector-Glam-Edition-32027.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32027.jpg
Classique Collector's Snow Globe fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Collector-s-Snow-Globe-57183.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57183.jpg
Classique Corset Couture fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Corset-Couture-17663.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17663.jpg
Classique Couple fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Couple-18826.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18826.jpg
Classique Eau d'Ete 2003 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-d-Ete-2003-17658.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17658.jpg
Classique Eau de Parfum fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-de-Parfum-8304.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8304.jpg
Classique Eau de Parfum Airlines fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-de-Parfum-Airlines-60943.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.60943.jpg
Classique Eau de Parfum Collector 2017 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-de-Parfum-Collector-2017-46149.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46149.jpg
Classique Eau de Toilette Collector Edition 2017 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-de-Toilette-Collector-Edition-2017-47201.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47201.jpg
Classique Eau de Toilette X-Mas Edition 2020 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-de-Toilette-X-Mas-Edition-2020-64053.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64053.jpg
Classique Eau Fraîche André Edition fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-Fraiche-Andre-Edition-48897.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48897.jpg
Classique Eau Fraîche Gaultier Airlines fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Eau-Fraiche-Gaultier-Airlines-48906.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48906.jpg
Classique Edition Collector fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Edition-Collector-23578.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23578.jpg
Classique Essence de Parfum fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Essence-de-Parfum-39582.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39582.jpg
Classique Gold Collection fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Gold-Collection-4723.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4723.jpg
Classique Intense fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Intense-24821.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24821.jpg
Classique Intense Collector Glam Edition fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Intense-Collector-Glam-Edition-32041.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32041.jpg
Classique L'Eau d'Ete fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-L-Eau-d-Ete-6019.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6019.jpg
Classique L'Eau d'Ete Sans Alcohol fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-L-Eau-d-Ete-Sans-Alcohol-6020.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6020.jpg
Classique l’Eau d’Eté 2007 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-l-Eau-d-Ete-2007-944.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.944.jpg
Classique La Robe Chinoise fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-La-Robe-Chinoise-17662.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17662.jpg
Classique Les d'ete 2005 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Les-d-ete-2005-428.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.428.jpg
Classique Limited Edition 2003 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Limited-Edition-2003-41047.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.41047.jpg
Classique Love Actually fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Love-Actually-11356.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11356.jpg
Classique Pin Up fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Pin-Up-58769.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58769.jpg
Classique Pirate Edition fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Pirate-Edition-29796.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29796.jpg
Classique Prestige fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Prestige-2847.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2847.jpg
Classique Pride 2023,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Pride-2023-81775.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81775.jpg
Classique Pride 2024 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Pride-2024-90394.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90394.jpg
Classique Pride Edition fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Pride-Edition-73288.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.73288.jpg
Classique Robe Velours fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Robe-Velours-17664.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17664.jpg
Classique Rock Star fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Rock-Star-2846.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2846.jpg
Classique Silver My Skin fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Silver-My-Skin-13147.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13147.jpg
Classique Summer 2010 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-2010-8144.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8144.jpg
Classique Summer 2011 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-2011-11597.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11597.jpg
Classique Summer 2012 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-2012-14647.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14647.jpg
Classique Summer 2013 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-2013-17822.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17822.jpg
Classique Summer 2015 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-2015-29800.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29800.jpg
Classique Summer Edition 2014 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-Edition-2014-24065.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24065.jpg
Classique Summer Fragrance 2008 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-Fragrance-2008-3052.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3052.jpg
Classique Summer Fragrance 2009 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-Fragrance-2009-5788.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5788.jpg
Classique Wonder Woman Eau Fraiche  fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Wonder-Woman-Eau-Fraiche-43711.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43711.jpg
Classique X fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-7800.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7800.jpg
Classique X Eau de Parfum fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-Eau-de-Parfum-15337.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15337.jpg
Classique X Extrait fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-Extrait-9602.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.9602.jpg
Classique X Jewel Edition 2011 fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-Jewel-Edition-2011-11756.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11756.jpg
Classique X L'Eau fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-L-Eau-14568.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14568.jpg
Classique X Love Actually fe,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-Love-Actually-11357.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11357.jpg
