name,link,image_url
154 Cologne,https://www.fragrantica.com/perfume/Jo-Malone-London/154-Cologne-17819.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17819.jpg
Amber & Lavender,https://www.fragrantica.com/perfume/Jo-Malone-London/Amber-Lavender-5582.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5582.jpg
Amber Labdanum Cologne Intense,https://www.fragrantica.com/perfume/Jo-Malone-London/Amber-Labdanum-Cologne-Intense-109925.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109925.jpg
Basil & Neroli,https://www.fragrantica.com/perfume/Jo-Malone-London/Basil-Neroli-40419.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40419.jpg
Black Vetyver Cafe,https://www.fragrantica.com/perfume/Jo-Malone-London/Black-Vetyver-Cafe-8278.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.8278.jpg
Blackberry & Bay fe,https://www.fragrantica.com/perfume/Jo-Malone-London/Blackberry-Bay-15134.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15134.jpg
Blue Agava & Cacao,https://www.fragrantica.com/perfume/Jo-Malone-London/Blue-Agava-Cacao-2280.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2280.jpg
Earl Grey & Cucumber,https://www.fragrantica.com/perfume/Jo-Malone-London/Earl-Grey-Cucumber-79437.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79437.jpg
English Oak & Hazelnut,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Oak-Hazelnut-46187.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46187.jpg
English Oak & Redcurrant,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Oak-Redcurrant-46186.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46186.jpg
English Pear & Freesia fe,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Pear-Freesia-10314.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10314.jpg
English Pear & Freesia Limited Edition,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Pear-Freesia-Limited-Edition-98103.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98103.jpg
English Pear & Sweet Pea,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Pear-Sweet-Pea-84035.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84035.jpg
Fig & Lotus Flower,https://www.fragrantica.com/perfume/Jo-Malone-London/Fig-Lotus-Flower-61929.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61929.jpg
Fir & Artemisia,https://www.fragrantica.com/perfume/Jo-Malone-London/Fir-Artemisia-97917.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97917.jpg
French Lime Blossom fe,https://www.fragrantica.com/perfume/Jo-Malone-London/French-Lime-Blossom-5580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5580.jpg
Grapefruit,https://www.fragrantica.com/perfume/Jo-Malone-London/Grapefruit-5584.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5584.jpg
Green Almond & Redcurrant,https://www.fragrantica.com/perfume/Jo-Malone-London/Green-Almond-Redcurrant-46197.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46197.jpg
Honeysuckle & Davana fe,https://www.fragrantica.com/perfume/Jo-Malone-London/Honeysuckle-Davana-51266.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51266.jpg
Honeysuckle & Jasmine fe,https://www.fragrantica.com/perfume/Jo-Malone-London/Honeysuckle-Jasmine-9554.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.9554.jpg
Lime Basil & Mandarin,https://www.fragrantica.com/perfume/Jo-Malone-London/Lime-Basil-Mandarin-5585.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5585.jpg
Lotus Blossom & Water Lily fe,https://www.fragrantica.com/perfume/Jo-Malone-London/Lotus-Blossom-Water-Lily-3784.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3784.jpg
Midnight Musk & Amber,https://www.fragrantica.com/perfume/Jo-Malone-London/Midnight-Musk-Amber-63920.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63920.jpg
Mimosa & Cardamom,https://www.fragrantica.com/perfume/Jo-Malone-London/Mimosa-Cardamom-31825.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31825.jpg
Myrrh & Tonka Limited Edition,https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-Limited-Edition-98100.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98100.jpg
Nashi Blossom,https://www.fragrantica.com/perfume/Jo-Malone-London/Nashi-Blossom-37551.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.37551.jpg
Nectarine Blossom & Honey,https://www.fragrantica.com/perfume/Jo-Malone-London/Nectarine-Blossom-Honey-3782.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3782.jpg
Nutmeg & Ginger,https://www.fragrantica.com/perfume/Jo-Malone-London/Nutmeg-Ginger-2290.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2290.jpg
Orange Bitters,https://www.fragrantica.com/perfume/Jo-Malone-London/Orange-Bitters-41360.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.41360.jpg
Orange Bitters Cologne 2025,https://www.fragrantica.com/perfume/Jo-Malone-London/Orange-Bitters-Cologne-2025-115320.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115320.jpg
