name,link,image_url
Another Oud,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Another-Oud-31219.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31219.jpg
Anyway,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Anyway-19894.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19894.jpg
Calamity J. fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Calamity-J-6856.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6856.jpg
Citizen Queen fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Citizen-Queen-3227.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3227.jpg
Ego Stratis,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Ego-Stratis-76443.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76443.jpg
Ex Vetiver,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Ex-Vetiver-96854.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96854.jpg
Gentlewoman fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Gentlewoman-29686.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29686.jpg
Juliette fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Juliette-90396.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90396.jpg
Lady Vengeance fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Lady-Vengeance-1715.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1715.jpg
Lili Fantasy fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Lili-Fantasy-68663.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68663.jpg
Lipstick Fever fe,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Lipstick-Fever-60868.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.60868.jpg
Lust for Sun,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Lust-for-Sun-80004.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80004.jpg
