name,link,image_url
Abaan fe,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Abaan-92181.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92181.jpg
Adeeb,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Adeeb-74053.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74053.jpg
Afeef,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Afeef-100126.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100126.jpg
Afkaar,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Afkaar-107723.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107723.jpg
Al Awsaaf,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Awsaaf-89895.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89895.jpg
Al Azal,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Azal-99766.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99766.jpg
Al Dur Al Maknoon Gold unisex,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Dur-Al-Maknoon-Gold-25891.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25891.jpg
Al Dur Al Maknoon Silver unisex,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Dur-Al-Maknoon-Silver-25890.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25890.jpg
Al Fursan unisex,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Fursan-25825.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25825.jpg
Al Muarikh The Historian,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Muarikh-The-Historian-89894.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89894.jpg
Al Najris unisex,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Najris-113198.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113198.jpg
Ameer Al Oudh,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Ameer-Al-Oudh-25826.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25826.jpg
Ameer Al Oudh Intense Oud,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Ameer-Al-Oudh-Intense-Oud-64947.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64947.jpg
