name,link,image_url
Ambrette 9,https://www.fragrantica.com/perfume/Le-Labo/Ambrette-9-6334.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6334.jpg
Another 13,https://www.fragrantica.com/perfume/Le-Labo/Another-13-10131.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10131.jpg
Baie 19,https://www.fragrantica.com/perfume/Le-Labo/Baie-19-57513.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57513.jpg
Bergamote 22,https://www.fragrantica.com/perfume/Le-Labo/Bergamote-22-6327.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6327.jpg
Colette 19,https://www.fragrantica.com/perfume/Le-Labo/Colette-19-45400.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45400.jpg
Colette 25,https://www.fragrantica.com/perfume/Le-Labo/Colette-25-45402.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45402.jpg
Colette 34,https://www.fragrantica.com/perfume/Le-Labo/Colette-34-45403.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45403.jpg
Eucalyptus 20,https://www.fragrantica.com/perfume/Le-Labo/Eucalyptus-20-101776.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101776.jpg
Fleur d'Oranger 27,https://www.fragrantica.com/perfume/Le-Labo/Fleur-d-Oranger-27-6331.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6331.jpg
Geranium 30,https://www.fragrantica.com/perfume/Le-Labo/Geranium-30-25986.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25986.jpg
Iris 39,https://www.fragrantica.com/perfume/Le-Labo/Iris-39-6336.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6336.jpg
Jasmin 17,https://www.fragrantica.com/perfume/Le-Labo/Jasmin-17-6337.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6337.jpg
Labdanum 18,https://www.fragrantica.com/perfume/Le-Labo/Labdanum-18-7848.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7848.jpg
Lavande 31,https://www.fragrantica.com/perfume/Le-Labo/Lavande-31-84249.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84249.jpg
Lys 41 fe,https://www.fragrantica.com/perfume/Le-Labo/Lys-41-18382.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18382.jpg
Neroli 36,https://www.fragrantica.com/perfume/Le-Labo/Neroli-36-6330.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6330.jpg
Oud 27,https://www.fragrantica.com/perfume/Le-Labo/Oud-27-6329.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6329.jpg
Patchouli 24,https://www.fragrantica.com/perfume/Le-Labo/Patchouli-24-6332.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6332.jpg
Rose 31,https://www.fragrantica.com/perfume/Le-Labo/Rose-31-3678.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3678.jpg
Santal 33,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12201.jpg
The Matcha 26,https://www.fragrantica.com/perfume/Le-Labo/The-Matcha-26-69731.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69731.jpg
The Noir 29,https://www.fragrantica.com/perfume/Le-Labo/The-Noir-29-31872.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31872.jpg
