name,link,image_url
05 Domino Essence,https://www.fragrantica.com/perfume/Maison-Alhambra/05-Domino-Essence-95503.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95503.jpg
Afro Leather,https://www.fragrantica.com/perfume/Maison-Alhambra/Afro-Leather-95267.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95267.jpg
Alive Now fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Alive-Now-111234.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111234.jpg
Alpine Homme Sport  male,https://www.fragrantica.com/perfume/Maison-Alhambra/Alpine-Homme-Sport-83311.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83311.jpg
Amber & Leather,https://www.fragrantica.com/perfume/Maison-Alhambra/Amber-Leather-93661.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93661.jpg
Amberley Ombre Blue,https://www.fragrantica.com/perfume/Maison-Alhambra/Amberley-Ombre-Blue-94167.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94167.jpg
Amberley Pur Oud,https://www.fragrantica.com/perfume/Maison-Alhambra/Amberley-Pur-Oud-95504.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95504.jpg
Amberly Amoroso,https://www.fragrantica.com/perfume/Maison-Alhambra/Amberly-Amoroso-94160.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94160.jpg
Anarch,https://www.fragrantica.com/perfume/Maison-Alhambra/Anarch-82382.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82382.jpg
Anchor Black,https://www.fragrantica.com/perfume/Maison-Alhambra/Anchor-Black-93851.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93851.jpg
Aoud Prestigium,https://www.fragrantica.com/perfume/Maison-Alhambra/Aoud-Prestigium-95505.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95505.jpg
Aquilo,https://www.fragrantica.com/perfume/Maison-Alhambra/Aquilo-93537.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93537.jpg
Aromatic Rouge fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Aromatic-Rouge-93656.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93656.jpg
Athena fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Athena-103018.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103018.jpg
Aura D'Eclat fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Aura-D-Eclat-93540.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93540.jpg
Avant,https://www.fragrantica.com/perfume/Maison-Alhambra/Avant-92621.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92621.jpg
Avant Ruby fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Avant-Ruby-116663.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116663.jpg
Avant Silk fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Avant-Silk-116664.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116664.jpg
B.A.D. Femme fe,https://www.fragrantica.com/perfume/Maison-Alhambra/B-A-D-Femme-92517.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92517.jpg
B.A.D. Homme,https://www.fragrantica.com/perfume/Maison-Alhambra/B-A-D-Homme-94156.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94156.jpg
Baroque Rouge 540,https://www.fragrantica.com/perfume/Maison-Alhambra/Baroque-Rouge-540-89849.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89849.jpg
Baroque Rouge Extrait,https://www.fragrantica.com/perfume/Maison-Alhambra/Baroque-Rouge-Extrait-94073.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.94073.jpg
Baroque Satin Oud,https://www.fragrantica.com/perfume/Maison-Alhambra/Baroque-Satin-Oud-92184.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92184.jpg
Berlinetta,https://www.fragrantica.com/perfume/Maison-Alhambra/Berlinetta-84594.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84594.jpg
Black Origami fe,https://www.fragrantica.com/perfume/Maison-Alhambra/Black-Origami-95506.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95506.jpg
Blue de Chance,https://www.fragrantica.com/perfume/Maison-Alhambra/Blue-de-Chance-92619.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92619.jpg
Bright Peach unisex,https://www.fragrantica.com/perfume/Maison-Alhambra/Bright-Peach-79937.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79937.jpg
