name,link,image_url
Absinthe Boréale,https://www.fragrantica.com/perfume/Maison-Crivelli/Absinthe-Boreale-53873.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53873.jpg
Ambre Chromatique,https://www.fragrantica.com/perfume/Maison-Crivelli/Ambre-Chromatique-75059.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75059.jpg
Bois Datchaï,https://www.fragrantica.com/perfume/Maison-Crivelli/Bois-Datchai-53870.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53870.jpg
Citrus Batikanga,https://www.fragrantica.com/perfume/Maison-Crivelli/Citrus-Batikanga-56907.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56907.jpg
Cuir InfraRouge,https://www.fragrantica.com/perfume/Maison-Crivelli/Cuir-InfraRouge-96781.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96781.jpg
Fleur Diamantine,https://www.fragrantica.com/perfume/Maison-Crivelli/Fleur-Diamantine-53872.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53872.jpg
Hibiscus Mahajád,https://www.fragrantica.com/perfume/Maison-Crivelli/Hibiscus-Mahajad-69069.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69069.jpg
Ingredients 07-2012,https://www.fragrantica.com/perfume/Maison-Crivelli/Ingredients-07-2012-75852.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75852.jpg
Iris Malikhân,https://www.fragrantica.com/perfume/Maison-Crivelli/Iris-Malikhan-62617.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62617.jpg
Lys Sølaberg,https://www.fragrantica.com/perfume/Maison-Crivelli/Lys-Soelaberg-67615.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67615.jpg
Neroli Nasimba,https://www.fragrantica.com/perfume/Maison-Crivelli/Neroli-Nasimba-79262.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.79262.jpg
Osmanthe Kodoshan,https://www.fragrantica.com/perfume/Maison-Crivelli/Osmanthe-Kodoshan-67416.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67416.jpg
Oud Cadenza,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Cadenza-95195.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95195.jpg
Oud Maracujá,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83842.jpg
Oud Stallion,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Stallion-83822.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83822.jpg
Papyrus Moleculaire,https://www.fragrantica.com/perfume/Maison-Crivelli/Papyrus-Moleculaire-59189.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59189.jpg
Patchouli Magnetik,https://www.fragrantica.com/perfume/Maison-Crivelli/Patchouli-Magnetik-71759.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71759.jpg
Rose SaltifOlia,https://www.fragrantica.com/perfume/Maison-Crivelli/Rose-SaltifOlia-53868.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53868.jpg
Santal Volcanique,https://www.fragrantica.com/perfume/Maison-Crivelli/Santal-Volcanique-53871.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53871.jpg
Tubéreuse Astrale,https://www.fragrantica.com/perfume/Maison-Crivelli/Tubereuse-Astrale-90733.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90733.jpg
Safran Secret,https://www.fragrantica.com/perfume/Maison-Crivelli/Safran-Secret-104728.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104728.jpg
