name,link,image_url
724,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/724-75754.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75754.jpg
754,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/754-20193.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.20193.jpg
A La Rose fe,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/A-La-Rose-29083.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.29083.jpg
Absolue Pour le Matin,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Absolue-Pour-le-Matin-10470.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10470.jpg
Absolue Pour le Soir,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Absolue-Pour-le-Soir-10469.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10469.jpg
Amyris Femme fe,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Femme-15565.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15565.jpg
Amyris Femme Extrait de Parfum fe,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Femme-Extrait-de-Parfum-59745.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59745.jpg
Amyris Homme,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Homme-15566.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15566.jpg
Amyris Homme Extrait de Parfum,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Homme-Extrait-de-Parfum-59744.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59744.jpg
APOM,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/APOM-95969.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95969.jpg
APOM Pour Femme fe,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/APOM-Pour-Femme-6805.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6805.jpg
APOM Pour Homme,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/APOM-Pour-Homme-6806.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6806.jpg
Aqua Celestia,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Celestia-42268.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42268.jpg
Aqua Celestia Forte,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Celestia-Forte-49217.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49217.jpg
Aqua Universalis,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Universalis-6804.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.6804.jpg
Aqua Universalis Forte,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Universalis-Forte-12710.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.12710.jpg
Aqua Vitae,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Vitae-18854.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18854.jpg
Aqua Vitae Forte,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Vitae-Forte-31404.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31404.jpg
Ciel de Gum,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Ciel-de-Gum-21775.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21775.jpg
Feminin Pluriel fe,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Feminin-Pluriel-26253.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.26253.jpg
Grand Soir,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40816.jpg
Kurky,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Kurky-103517.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103517.jpg
L'eau À la Rose fe,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/L-eau-A-la-Rose-55118.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55118.jpg
L'Homme À la Rose,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/L-Homme-A-la-Rose-61779.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61779.jpg
