name,link,image_url
Amber & Roses,https://www.fragrantica.com/perfume/Mancera/Amber-Roses-28086.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28086.jpg
Amber Fever,https://www.fragrantica.com/perfume/Mancera/Amber-Fever-57879.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57879.jpg
Amberful,https://www.fragrantica.com/perfume/Mancera/Amberful-93337.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93337.jpg
Amore Caffè,https://www.fragrantica.com/perfume/Mancera/Amore-Caffe-87409.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.87409.jpg
Aoud Blue Notes,https://www.fragrantica.com/perfume/Mancera/Aoud-Blue-Notes-30383.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30383.jpg
Aoud Café,https://www.fragrantica.com/perfume/Mancera/Aoud-Cafe-18044.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18044.jpg
Aoud Exclusif,https://www.fragrantica.com/perfume/Mancera/Aoud-Exclusif-51493.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51493.jpg
Aoud Lemon Mint,https://www.fragrantica.com/perfume/Mancera/Aoud-Lemon-Mint-39181.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39181.jpg
Aoud Line,https://www.fragrantica.com/perfume/Mancera/Aoud-Line-24775.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24775.jpg
Aoud Orchid,https://www.fragrantica.com/perfume/Mancera/Aoud-Orchid-42506.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42506.jpg
Aoud Vanille,https://www.fragrantica.com/perfume/Mancera/Aoud-Vanille-32907.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32907.jpg
Aoud Violet fe,https://www.fragrantica.com/perfume/Mancera/Aoud-Violet-24777.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24777.jpg
Black Gold,https://www.fragrantica.com/perfume/Mancera/Black-Gold-43335.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43335.jpg
Black Intensitive Aoud,https://www.fragrantica.com/perfume/Mancera/Black-Intensitive-Aoud-11161.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11161.jpg
Black Line,https://www.fragrantica.com/perfume/Mancera/Black-Line-18049.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18049.jpg
Black Noir,https://www.fragrantica.com/perfume/Mancera/Black-Noir-88137.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88137.jpg
Black Prestigium,https://www.fragrantica.com/perfume/Mancera/Black-Prestigium-31891.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31891.jpg
Black Vanilla,https://www.fragrantica.com/perfume/Mancera/Black-Vanilla-46662.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46662.jpg
Cedrat Boise,https://www.fragrantica.com/perfume/Mancera/Cedrat-Boise-15211.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15211.jpg
Cherry Cherry,https://www.fragrantica.com/perfume/Mancera/Cherry-Cherry-96325.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96325.jpg
Choco Violette,https://www.fragrantica.com/perfume/Mancera/Choco-Violette-42940.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42940.jpg
Cinque Terre,https://www.fragrantica.com/perfume/Mancera/Cinque-Terre-97826.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97826.jpg
Coco Vanille fe,https://www.fragrantica.com/perfume/Mancera/Coco-Vanille-42782.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42782.jpg
Cosmic Pepper,https://www.fragrantica.com/perfume/Mancera/Cosmic-Pepper-81804.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.81804.jpg
Crazy For Oud,https://www.fragrantica.com/perfume/Mancera/Crazy-For-Oud-57880.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57880.jpg
Eternal Wood,https://www.fragrantica.com/perfume/Mancera/Eternal-Wood-93338.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.93338.jpg
Fabulous Yuzu,https://www.fragrantica.com/perfume/Mancera/Fabulous-Yuzu-75731.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75731.jpg
Feminity fe,https://www.fragrantica.com/perfume/Mancera/Feminity-61755.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61755.jpg
Fig Extasy,https://www.fragrantica.com/perfume/Mancera/Fig-Extasy-69859.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69859.jpg
Fig Me Up,https://www.fragrantica.com/perfume/Mancera/Fig-Me-Up-98362.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98362.jpg
French Riviera,https://www.fragrantica.com/perfume/Mancera/French-Riviera-74636.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74636.jpg
Gold Incense,https://www.fragrantica.com/perfume/Mancera/Gold-Incense-49029.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49029.jpg
Gold Intensive Aoud,https://www.fragrantica.com/perfume/Mancera/Gold-Intensive-Aoud-11163.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11163.jpg
Gold Prestigium,https://www.fragrantica.com/perfume/Mancera/Gold-Prestigium-37574.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.37574.jpg
Hindu Kush,https://www.fragrantica.com/perfume/Mancera/Hindu-Kush-49030.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49030.jpg
Holidays,https://www.fragrantica.com/perfume/Mancera/Holidays-42888.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42888.jpg
Indian Dream fe,https://www.fragrantica.com/perfume/Mancera/Indian-Dream-24776.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24776.jpg
Instant Crush,https://www.fragrantica.com/perfume/Mancera/Instant-Crush-54885.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54885.jpg
Intense Cedrat Boise,https://www.fragrantica.com/perfume/Mancera/Intense-Cedrat-Boise-72796.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72796.jpg
Intense French Riviera,https://www.fragrantica.com/perfume/Mancera/Intense-French-Riviera-110845.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110845.jpg
Intense Instant Crush,https://www.fragrantica.com/perfume/Mancera/Intense-Instant-Crush-104241.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104241.jpg
Jardin Exclusif,https://www.fragrantica.com/perfume/Mancera/Jardin-Exclusif-51490.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51490.jpg
Jasmin Exclusif,https://www.fragrantica.com/perfume/Mancera/Jasmin-Exclusif-74107.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74107.jpg
Juicy Flowers fe,https://www.fragrantica.com/perfume/Mancera/Juicy-Flowers-63433.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63433.jpg
Kumkat Wood,https://www.fragrantica.com/perfume/Mancera/Kumkat-Wood-18046.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18046.jpg
Lemon Line,https://www.fragrantica.com/perfume/Mancera/Lemon-Line-24774.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24774.jpg
Lovely Garden fe,https://www.fragrantica.com/perfume/Mancera/Lovely-Garden-67228.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67228.jpg
Melody Of The Sun,https://www.fragrantica.com/perfume/Mancera/Melody-Of-The-Sun-72736.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72736.jpg
Musk of Flowers fe,https://www.fragrantica.com/perfume/Mancera/Musk-of-Flowers-15206.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15206.jpg
Musky Garden fe,https://www.fragrantica.com/perfume/Mancera/Musky-Garden-46300.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46300.jpg
Of The Wild,https://www.fragrantica.com/perfume/Mancera/Of-The-Wild-77467.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.77467.jpg
Ombre Tonka,https://www.fragrantica.com/perfume/Mancera/Ombre-Tonka-116414.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116414.jpg
Pearl fe,https://www.fragrantica.com/perfume/Mancera/Pearl-40954.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40954.jpg
Precious Oud,https://www.fragrantica.com/perfume/Mancera/Precious-Oud-56254.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56254.jpg
Red Tobacco,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46663.jpg
Red Tobacco Intense,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-Intense-84246.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84246.jpg
Roses Greedy,https://www.fragrantica.com/perfume/Mancera/Roses-Greedy-18042.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18042.jpg
Roses Jasmine,https://www.fragrantica.com/perfume/Mancera/Roses-Jasmine-18047.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18047.jpg
Roses Vanille fe,https://www.fragrantica.com/perfume/Mancera/Roses-Vanille-15210.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15210.jpg
Royal Vanilla,https://www.fragrantica.com/perfume/Mancera/Royal-Vanilla-55845.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55845.jpg
Saharian Wind,https://www.fragrantica.com/perfume/Mancera/Saharian-Wind-61044.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61044.jpg
Sand Aoud,https://www.fragrantica.com/perfume/Mancera/Sand-Aoud-15214.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15214.jpg
Sicily,https://www.fragrantica.com/perfume/Mancera/Sicily-42670.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42670.jpg
Silver Blue,https://www.fragrantica.com/perfume/Mancera/Silver-Blue-57883.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57883.jpg
Soleil d'Italie,https://www.fragrantica.com/perfume/Mancera/Soleil-d-Italie-54058.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54058.jpg
Tonka Cola,https://www.fragrantica.com/perfume/Mancera/Tonka-Cola-76893.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76893.jpg
Vanille Exclusive,https://www.fragrantica.com/perfume/Mancera/Vanille-Exclusive-51494.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51494.jpg
Velvet Vanilla,https://www.fragrantica.com/perfume/Mancera/Velvet-Vanilla-39835.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39835.jpg
Vetiver Sensuel,https://www.fragrantica.com/perfume/Mancera/Vetiver-Sensuel-61046.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61046.jpg
Wave Musk,https://www.fragrantica.com/perfume/Mancera/Wave-Musk-15207.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15207.jpg
Wild Candy,https://www.fragrantica.com/perfume/Mancera/Wild-Candy-36727.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36727.jpg
Wild Fruits,https://www.fragrantica.com/perfume/Mancera/Wild-Fruits-15205.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15205.jpg
Wild Leather,https://www.fragrantica.com/perfume/Mancera/Wild-Leather-28084.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28084.jpg
Wild Python fe,https://www.fragrantica.com/perfume/Mancera/Wild-Python-49151.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49151.jpg
Wind Wood,https://www.fragrantica.com/perfume/Mancera/Wind-Wood-24778.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24778.jpg
Xplicit Vanilla,https://www.fragrantica.com/perfume/Mancera/Xplicit-Vanilla-104247.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104247.jpg
Aoud Black Candy,https://www.fragrantica.com/perfume/Mancera/Aoud-Black-Candy-18041.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18041.jpg
Aoud S fe,https://www.fragrantica.com/perfume/Mancera/Aoud-S-15204.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15204.jpg
Aoud Sandroses,https://www.fragrantica.com/perfume/Mancera/Aoud-Sandroses-36534.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36534.jpg
Aqua Wood,https://www.fragrantica.com/perfume/Mancera/Aqua-Wood-63800.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63800.jpg
Black to Black,https://www.fragrantica.com/perfume/Mancera/Black-to-Black-36533.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36533.jpg
Blue Aoud,https://www.fragrantica.com/perfume/Mancera/Blue-Aoud-36535.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36535.jpg
Deep Forest,https://www.fragrantica.com/perfume/Mancera/Deep-Forest-57881.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57881.jpg
