name,link,image_url
Check Please,https://www.fragrantica.com/perfume/Mind-Games/Check-Please-116343.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116343.jpg
Counterplay,https://www.fragrantica.com/perfume/Mind-Games/Counterplay-114442.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114442.jpg
Kingside,https://www.fragrantica.com/perfume/Mind-Games/Kingside-110509.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110509.jpg
Mentor,https://www.fragrantica.com/perfume/Mind-Games/Mentor-101524.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101524.jpg
Opera Mate,https://www.fragrantica.com/perfume/Mind-Games/Opera-Mate-114441.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114441.jpg
Playmate,https://www.fragrantica.com/perfume/Mind-Games/Playmate-116344.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116344.jpg
Queenside unisex,https://www.fragrantica.com/perfume/Mind-Games/Queenside-109623.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109623.jpg
As-Suli’s Diamond,https://www.fragrantica.com/perfume/Mind-Games/As-Suli-s-Diamond-76715.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76715.jpg
Blockade,https://www.fragrantica.com/perfume/Mind-Games/Blockade-76717.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76717.jpg
Caissa,https://www.fragrantica.com/perfume/Mind-Games/Caissa-76718.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76718.jpg
Castling,https://www.fragrantica.com/perfume/Mind-Games/Castling-76716.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76716.jpg
Checkmate,https://www.fragrantica.com/perfume/Mind-Games/Checkmate-76719.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76719.jpg
Double Attack,https://www.fragrantica.com/perfume/Mind-Games/Double-Attack-76712.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76712.jpg
Gardez,https://www.fragrantica.com/perfume/Mind-Games/Gardez-76711.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76711.jpg
Grand Master,https://www.fragrantica.com/perfume/Mind-Games/Grand-Master-76710.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76710.jpg
J'adoube,https://www.fragrantica.com/perfume/Mind-Games/J-adoube-76713.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76713.jpg
Prodigy,https://www.fragrantica.com/perfume/Mind-Games/Prodigy-101192.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101192.jpg
Scholar’s Mate,https://www.fragrantica.com/perfume/Mind-Games/Scholar-s-Mate-76714.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76714.jpg
En Prise,https://www.fragrantica.com/perfume/Mind-Games/En-Prise-89913.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89913.jpg
French Defense,https://www.fragrantica.com/perfume/Mind-Games/French-Defense-88867.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88867.jpg
Gambit,https://www.fragrantica.com/perfume/Mind-Games/Gambit-89892.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89892.jpg
Lionora,https://www.fragrantica.com/perfume/Mind-Games/Lionora-89917.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89917.jpg
Queening,https://www.fragrantica.com/perfume/Mind-Games/Queening-89898.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89898.jpg
Ruy Lopez,https://www.fragrantica.com/perfume/Mind-Games/Ruy-Lopez-89890.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89890.jpg
Sans Voir,https://www.fragrantica.com/perfume/Mind-Games/Sans-Voir-89891.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89891.jpg
Sissa,https://www.fragrantica.com/perfume/Mind-Games/Sissa-89820.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89820.jpg
The Forward,https://www.fragrantica.com/perfume/Mind-Games/The-Forward-89893.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89893.jpg
Vieri,https://www.fragrantica.com/perfume/Mind-Games/Vieri-89912.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89912.jpg
