name,link,image_url
Aliger fe,https://www.fragrantica.com/perfume/Natura/Aliger-38441.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38441.jpg
Ares de Shiraz fe,https://www.fragrantica.com/perfume/Natura/Ares-de-Shiraz-34006.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34006.jpg
Atmos,https://www.fragrantica.com/perfume/Natura/Atmos-36652.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36652.jpg
Aura Alba fe,https://www.fragrantica.com/perfume/Natura/Aura-Alba-104821.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104821.jpg
Ciprus,https://www.fragrantica.com/perfume/Natura/Ciprus-62334.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62334.jpg
Eau de L'arc fe,https://www.fragrantica.com/perfume/Natura/Eau-de-L-arc-56341.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56341.jpg
Eau de L'arc Herbelle fe,https://www.fragrantica.com/perfume/Natura/Eau-de-L-arc-Herbelle-62613.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62613.jpg
Erva Doce,https://www.fragrantica.com/perfume/Natura/Erva-Doce-89941.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.89941.jpg
Exsultate fe,https://www.fragrantica.com/perfume/Natura/Exsultate-33953.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33953.jpg
Floral Vanilla unisex,https://www.fragrantica.com/perfume/Natura/Floral-Vanilla-111599.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111599.jpg
Gen,https://www.fragrantica.com/perfume/Natura/Gen-33957.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33957.jpg
Intuição fe,https://www.fragrantica.com/perfume/Natura/Intuicao-33955.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33955.jpg
Kaiak Sonar,https://www.fragrantica.com/perfume/Natura/Kaiak-Sonar-97372.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97372.jpg
