name,link,image_url
O Boticário  Annete Forever fe,https://www.fragrantica.com/perfume/O-Boticario/Annete-Forever-58866.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58866.jpg
O Boticário Acqua Brasilis,https://www.fragrantica.com/perfume/O-Boticario/Acqua-Brasilis-7346.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7346.jpg
O Boticário Acqua di Colonia Citrus female,https://www.fragrantica.com/perfume/O-Boticario/Acqua-di-Colonia-Citrus-7286.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7286.jpg
O Boticário Acqua di Colonia Floral female,https://www.fragrantica.com/perfume/O-Boticario/Acqua-di-Colonia-Floral-7287.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7287.jpg
O Boticário Acqua di Colonia Fougere female,https://www.fragrantica.com/perfume/O-Boticario/Acqua-di-Colonia-Fougere-7289.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7289.jpg
O Boticário Acqua di Colonia Lavanda female,https://www.fragrantica.com/perfume/O-Boticario/Acqua-di-Colonia-Lavanda-7291.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7291.jpg
O Boticário Annete fe,https://www.fragrantica.com/perfume/O-Boticario/Annete-36653.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36653.jpg
O Boticário Anni fe,https://www.fragrantica.com/perfume/O-Boticario/Anni-15415.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15415.jpg
O Boticário Anni Sweety fe,https://www.fragrantica.com/perfume/O-Boticario/Anni-Sweety-58349.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58349.jpg
O Boticário Be a Flower fe,https://www.fragrantica.com/perfume/O-Boticario/Be-a-Flower-38439.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38439.jpg
O Boticário Carpe Diem fe,https://www.fragrantica.com/perfume/O-Boticario/Carpe-Diem-7294.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7294.jpg
O Boticário Carpe Diem male,https://www.fragrantica.com/perfume/O-Boticario/Carpe-Diem-7348.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7348.jpg
O Boticário Cecita fe,https://www.fragrantica.com/perfume/O-Boticario/Cecita-19236.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19236.jpg
O Boticário Cecita Blossom fe,https://www.fragrantica.com/perfume/O-Boticario/Cecita-Blossom-52571.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.52571.jpg
O Boticário Clash,https://www.fragrantica.com/perfume/O-Boticario/Clash-103715.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103715.jpg
O Boticário Classic,https://www.fragrantica.com/perfume/O-Boticario/Classic-34010.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34010.jpg
O Boticário Crazy Choices fe,https://www.fragrantica.com/perfume/O-Boticario/Crazy-Choices-59128.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59128.jpg
O Boticário Crazy Feelings fe,https://www.fragrantica.com/perfume/O-Boticario/Crazy-Feelings-33696.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33696.jpg
O Boticário Crystal Essence fe,https://www.fragrantica.com/perfume/O-Boticario/Crystal-Essence-44776.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.44776.jpg
O Boticário Crystal Fresh fe,https://www.fragrantica.com/perfume/O-Boticario/Crystal-Fresh-82189.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.82189.jpg
O Boticário Cuide-se Bem Doçura na Pessegura,https://www.fragrantica.com/perfume/O-Boticario/Cuide-se-Bem-Docura-na-Pessegura-102825.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102825.jpg
O Boticário Dimitri male,https://www.fragrantica.com/perfume/O-Boticario/Dimitri-7351.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7351.jpg
O Boticário Dimitri On the Rocks,https://www.fragrantica.com/perfume/O-Boticario/Dimitri-On-the-Rocks-18987.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18987.jpg
O Boticário Dimitri Redvolution male,https://www.fragrantica.com/perfume/O-Boticario/Dimitri-Redvolution-16107.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16107.jpg
O Boticário Dreams fe,https://www.fragrantica.com/perfume/O-Boticario/Dreams-38020.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38020.jpg
O Boticário Eros,https://www.fragrantica.com/perfume/O-Boticario/Eros-34050.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34050.jpg
O Boticário Exubérance fe,https://www.fragrantica.com/perfume/O-Boticario/Exuberance-58069.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58069.jpg
O Boticário Felicitá fe,https://www.fragrantica.com/perfume/O-Boticario/Felicita-61823.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61823.jpg
O Boticário Felicitá 2025 fe,https://www.fragrantica.com/perfume/O-Boticario/Felicita-2025-116070.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116070.jpg
O Boticário Femme.com fe,https://www.fragrantica.com/perfume/O-Boticario/Femme-com-7296.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7296.jpg
O Boticário Fleur fe,https://www.fragrantica.com/perfume/O-Boticario/Fleur-43618.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43618.jpg
O Boticário Free,https://www.fragrantica.com/perfume/O-Boticario/Free-19268.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19268.jpg
O Boticário Free Hugs fe,https://www.fragrantica.com/perfume/O-Boticario/Free-Hugs-63806.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63806.jpg
O Boticário Galbe,https://www.fragrantica.com/perfume/O-Boticario/Galbe-15408.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15408.jpg
O Boticário Goldie fe,https://www.fragrantica.com/perfume/O-Boticario/Goldie-43619.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43619.jpg
O Boticário Hadiya fe,https://www.fragrantica.com/perfume/O-Boticario/Hadiya-119454.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119454.jpg
O Boticário Homme.com male,https://www.fragrantica.com/perfume/O-Boticario/Homme-com-7353.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7353.jpg
O Boticário Horizonte,https://www.fragrantica.com/perfume/O-Boticario/Horizonte-63509.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63509.jpg
O Boticário Innamorata fe,https://www.fragrantica.com/perfume/O-Boticario/Innamorata-7318.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7318.jpg
O Boticário Intense Cats fe,https://www.fragrantica.com/perfume/O-Boticario/Intense-Cats-36184.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36184.jpg
O Boticário Kalanit fe,https://www.fragrantica.com/perfume/O-Boticario/Kalanit-34153.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34153.jpg
O Boticário L’eau de Lily Blanche fe,https://www.fragrantica.com/perfume/O-Boticario/L-eau-de-Lily-Blanche-104380.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104380.jpg
O Boticário Lavande fe,https://www.fragrantica.com/perfume/O-Boticario/Lavande-43636.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43636.jpg
O Boticário Lights fe,https://www.fragrantica.com/perfume/O-Boticario/Lights-34186.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34186.jpg
O Boticário Linda Summer fe,https://www.fragrantica.com/perfume/O-Boticario/Linda-Summer-42916.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42916.jpg
