perfume;url;perfume_name;perfume_link
Maison Alhambra - Jean Lowe Nouveau;https://www.fragrantica.es/perfume/Maison-Alhambra/Jean-Lowe-Nouveau-98946.html;Jean Lowe Nouveau Maison Alhambra;https://fimgs.net/mdimg/perfume-thumbs/375x500.98946.jpg
Zara - Antique Brown;https://www.fragrantica.es/perfume/Zara/Antique-Brown-87146.html;Antique Brown Zara;https://fimgs.net/mdimg/perfume-thumbs/375x500.87146.jpg
Halloween - Man Mystery;https://www.fragrantica.es/perfume/Halloween/Halloween-Man-Mystery-83298.html;Halloween Man Mystery Halloween;https://fimgs.net/mdimg/perfume-thumbs/375x500.83298.jpg
Bvlgari - Aqva Amara;https://www.fragrantica.es/perfume/Bvlgari/Aqva-Amara-22675.html;Aqva Amara Bvlgari;https://fimgs.net/mdimg/perfume-thumbs/375x500.22675.jpg
Armani - Stronger With You Absolutely;https://www.fragrantica.es/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html;Emporio Armani Stronger With You Absolutely Giorgio Armani;https://fimgs.net/mdimg/perfume-thumbs/375x500.64501.jpg
Kilian - Love, Don't Be Shy;https://www.fragrantica.es/perfume/By-Kilian/Love-Don-t-Be-Shy-4322.html;Love Don't Be Shy By Kilian;https://fimgs.net/mdimg/perfume-thumbs/375x500.4322.jpg
Tom Ford - Santal Blush;https://www.fragrantica.es/perfume/Tom-Ford/Santal-Blush-12766.html;Santal Blush Tom Ford;https://fimgs.net/mdimg/perfume-thumbs/375x500.12766.jpg
Ex Nihilo - Fleur Narcotique;https://www.fragrantica.es/perfume/Ex-Nihilo/Fleur-Narcotique-27571.html;Fleur Narcotique Ex Nihilo;https://fimgs.net/mdimg/perfume-thumbs/375x500.27571.jpg
Billie Eilish - Eilish No. 1;https://www.fragrantica.es/perfume/Billie-Eilish/Eilish-70052.html;Eilish Billie Eilish;https://fimgs.net/mdimg/perfume-thumbs/375x500.70052.jpg
;;URL Not Provided;URL Not Provided
