name,link,image_url
Akaster,https://www.fragrantica.com/perfume/Parfums-de-Marly/Akaster-33513.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33513.jpg
Althaïr,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.84109.jpg
Athalia fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Athalia-36539.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36539.jpg
Byerley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Byerley-31876.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31876.jpg
Carlisle,https://www.fragrantica.com/perfume/Parfums-de-Marly/Carlisle-33514.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.33514.jpg
Cassili fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Cassili-54660.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54660.jpg
Castley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Castley-104991.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104991.jpg
Darcy fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Darcy-23270.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23270.jpg
Darley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Darley-11768.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11768.jpg
Galloway,https://www.fragrantica.com/perfume/Parfums-de-Marly/Galloway-23271.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23271.jpg
Godolphin,https://www.fragrantica.com/perfume/Parfums-de-Marly/Godolphin-11771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11771.jpg
Greenley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Greenley-62101.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62101.jpg
Haltane,https://www.fragrantica.com/perfume/Parfums-de-Marly/Haltane-70776.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70776.jpg
Herod,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16939.jpg
Ispazon,https://www.fragrantica.com/perfume/Parfums-de-Marly/Ispazon-11770.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11770.jpg
Kalan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Kalan-56036.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56036.jpg
Layton,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39314.jpg
Layton Exclusif,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-Exclusif-46633.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46633.jpg
Meliora fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Meliora-18750.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18750.jpg
Nisean,https://www.fragrantica.com/perfume/Parfums-de-Marly/Nisean-36540.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.36540.jpg
Oriana fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oriana-69117.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69117.jpg
Palatine fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Palatine-96023.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96023.jpg
Pegasus,https://www.fragrantica.com/perfume/Parfums-de-Marly/Pegasus-16938.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.16938.jpg
Pegasus Exclusif,https://www.fragrantica.com/perfume/Parfums-de-Marly/Pegasus-Exclusif-63100.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63100.jpg
Percival,https://www.fragrantica.com/perfume/Parfums-de-Marly/Percival-51037.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51037.jpg
Perseus,https://www.fragrantica.com/perfume/Parfums-de-Marly/Perseus-90199.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.90199.jpg
Safanad fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Safanad-18749.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.18749.jpg
Sedbury fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Sedbury-30819.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.30819.jpg
Sedley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Sedley-56273.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56273.jpg
Shagya,https://www.fragrantica.com/perfume/Parfums-de-Marly/Shagya-11767.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11767.jpg
Tolla Pegasus,https://www.fragrantica.com/perfume/Parfums-de-Marly/Tolla-Pegasus-28273.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28273.jpg
Habdan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Habdan-21550.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21550.jpg
Hamdani,https://www.fragrantica.com/perfume/Parfums-de-Marly/Hamdani-21551.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21551.jpg
Kuhuyan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Kuhuyan-21549.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21549.jpg
Oajan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oajan-21548.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21548.jpg
Delina fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-43871.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.43871.jpg
Delina Exclusif fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-Exclusif-50370.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.50370.jpg
Delina La Rosée fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-La-Rosee-64667.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64667.jpg
Delina Limited Edition fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-Limited-Edition-92069.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.92069.jpg
Carios,https://www.fragrantica.com/perfume/Parfums-de-Marly/Carios-116242.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116242.jpg
Eragon,https://www.fragrantica.com/perfume/Parfums-de-Marly/Eragon-116243.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116243.jpg
Valero,https://www.fragrantica.com/perfume/Parfums-de-Marly/Valero-116244.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116244.jpg
Valaya fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Valaya-78574.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78574.jpg
Valaya Exclusif fe,https://www.fragrantica.com/perfume/Parfums-de-Marly/Valaya-Exclusif-102806.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102806.jpg
Lippizan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Lippizan-11769.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11769.jpg
