name,link,image_url
Affogato al Caffè,https://www.fragrantica.com/perfume/PARIS-CORNER/Affogato-al-Caffe-113878.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113878.jpg
ARCANA unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/ARCANA-118215.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118215.jpg
Arwa,https://www.fragrantica.com/perfume/PARIS-CORNER/Arwa-113879.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113879.jpg
ATOMISE INTENSIVE MEN male,https://www.fragrantica.com/perfume/PARIS-CORNER/ATOMISE-INTENSIVE-MEN-118214.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118214.jpg
Atoof,https://www.fragrantica.com/perfume/PARIS-CORNER/Atoof-105238.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105238.jpg
AZM,https://www.fragrantica.com/perfume/PARIS-CORNER/AZM-113458.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113458.jpg
Bayn Al Asrar fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Bayn-Al-Asrar-98764.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98764.jpg
Cafe Intense,https://www.fragrantica.com/perfume/PARIS-CORNER/Cafe-Intense-109834.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109834.jpg
Caramel Bash,https://www.fragrantica.com/perfume/PARIS-CORNER/Caramel-Bash-121448.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.121448.jpg
Cherry Gossip,https://www.fragrantica.com/perfume/PARIS-CORNER/Cherry-Gossip-119478.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119478.jpg
Chocolait fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Chocolait-121020.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.121020.jpg
Confidential,https://www.fragrantica.com/perfume/PARIS-CORNER/Confidential-113880.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113880.jpg
Cosmic Giardino,https://www.fragrantica.com/perfume/PARIS-CORNER/Cosmic-Giardino-106693.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106693.jpg
Daar Al Oud,https://www.fragrantica.com/perfume/PARIS-CORNER/Daar-Al-Oud-113913.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113913.jpg
Date Caramel,https://www.fragrantica.com/perfume/PARIS-CORNER/Date-Caramel-105237.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105237.jpg
December Ambar,https://www.fragrantica.com/perfume/PARIS-CORNER/December-Ambar-118771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118771.jpg
December Rose,https://www.fragrantica.com/perfume/PARIS-CORNER/December-Rose-98555.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98555.jpg
December Vanilla,https://www.fragrantica.com/perfume/PARIS-CORNER/December-Vanilla-96254.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.96254.jpg
Dulzura fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Dulzura-114986.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114986.jpg
Emir Acadia Intenso male,https://www.fragrantica.com/perfume/PARIS-CORNER/Emir-Acadia-Intenso-118216.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118216.jpg
Emir Cosmopolitan Dubai unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/Emir-Cosmopolitan-Dubai-119267.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119267.jpg
Emir Cosmopolitan New York unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/Emir-Cosmopolitan-New-York-119268.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119268.jpg
Emir Opulentia Empyreal unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/Emir-Opulentia-Empyreal-118217.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118217.jpg
Eshal Vanilla fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Eshal-Vanilla-110740.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110740.jpg
Eternal Coffee,https://www.fragrantica.com/perfume/PARIS-CORNER/Eternal-Coffee-91798.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91798.jpg
Eternal Meadows,https://www.fragrantica.com/perfume/PARIS-CORNER/Eternal-Meadows-98554.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98554.jpg
Eternal Musk,https://www.fragrantica.com/perfume/PARIS-CORNER/Eternal-Musk-98553.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98553.jpg
Farah,https://www.fragrantica.com/perfume/PARIS-CORNER/Farah-105239.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105239.jpg
FAYORA fe,https://www.fragrantica.com/perfume/PARIS-CORNER/FAYORA-109930.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109930.jpg
Fayora Oshino fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Fayora-Oshino-116846.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116846.jpg
Hurriya,https://www.fragrantica.com/perfume/PARIS-CORNER/Hurriya-105236.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105236.jpg
Ibisco Nirvana,https://www.fragrantica.com/perfume/PARIS-CORNER/Ibisco-Nirvana-101208.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101208.jpg
Indomitable,https://www.fragrantica.com/perfume/PARIS-CORNER/Indomitable-106231.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106231.jpg
Jardin des Papillons fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Jardin-des-Papillons-111971.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111971.jpg
Kaheela Lux,https://www.fragrantica.com/perfume/PARIS-CORNER/Kaheela-Lux-113914.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113914.jpg
Kaheela Platinum unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/Kaheela-Platinum-95266.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95266.jpg
Khayal unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/Khayal-110429.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110429.jpg
Manaal,https://www.fragrantica.com/perfume/PARIS-CORNER/Manaal-110068.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110068.jpg
Marshmallow Blush,https://www.fragrantica.com/perfume/PARIS-CORNER/Marshmallow-Blush-102791.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102791.jpg
Mawj Appletini,https://www.fragrantica.com/perfume/PARIS-CORNER/Mawj-Appletini-98582.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98582.jpg
Mawj Cognac Blaze,https://www.fragrantica.com/perfume/PARIS-CORNER/Mawj-Cognac-Blaze-98581.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98581.jpg
Mawj Moscow Mule unisex,https://www.fragrantica.com/perfume/PARIS-CORNER/Mawj-Moscow-Mule-98580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98580.jpg
Mehwish,https://www.fragrantica.com/perfume/PARIS-CORNER/Mehwish-115380.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115380.jpg
Miel Obscura,https://www.fragrantica.com/perfume/PARIS-CORNER/Miel-Obscura-117359.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117359.jpg
Miel Vanille fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Miel-Vanille-117360.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117360.jpg
Minya,https://www.fragrantica.com/perfume/PARIS-CORNER/Minya-102457.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102457.jpg
Minya Caramel Dulce fe,https://www.fragrantica.com/perfume/PARIS-CORNER/Minya-Caramel-Dulce-110699.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110699.jpg
Minya Coco Lush,https://www.fragrantica.com/perfume/PARIS-CORNER/Minya-Coco-Lush-110588.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110588.jpg
Misty Dawn Musk Collection,https://www.fragrantica.com/perfume/PARIS-CORNER/Misty-Dawn-Musk-Collection-110069.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110069.jpg
Molten Caramel,https://www.fragrantica.com/perfume/PARIS-CORNER/Molten-Caramel-105235.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105235.jpg
Mysterium,https://www.fragrantica.com/perfume/PARIS-CORNER/Mysterium-105234.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105234.jpg
NOUF,https://www.fragrantica.com/perfume/PARIS-CORNER/NOUF-113915.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113915.jpg
Ophidian Black Cherry,https://www.fragrantica.com/perfume/PARIS-CORNER/Ophidian-Black-Cherry-98556.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98556.jpg
Ophidian Mango Bliss,https://www.fragrantica.com/perfume/PARIS-CORNER/Ophidian-Mango-Bliss-98577.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98577.jpg
