name,link,image_url
Adonis Icarus,https://www.fragrantica.com/perfume/Rayhaan/Adonis-Icarus-114211.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114211.jpg
Aquatica,https://www.fragrantica.com/perfume/Rayhaan/Aquatica-120605.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120605.jpg
Cadiz,https://www.fragrantica.com/perfume/Rayhaan/Cadiz-120727.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120727.jpg
Cordova,https://www.fragrantica.com/perfume/Rayhaan/Cordova-97120.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97120.jpg
Corium,https://www.fragrantica.com/perfume/Rayhaan/Corium-97118.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97118.jpg
Crimson male,https://www.fragrantica.com/perfume/Rayhaan/Crimson-112761.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112761.jpg
Dark Leather,https://www.fragrantica.com/perfume/Rayhaan/Dark-Leather-97122.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97122.jpg
Granada,https://www.fragrantica.com/perfume/Rayhaan/Granada-120729.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120729.jpg
Imperia,https://www.fragrantica.com/perfume/Rayhaan/Imperia-107858.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107858.jpg
Italia,https://www.fragrantica.com/perfume/Rayhaan/Italia-120606.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120606.jpg
Lion,https://www.fragrantica.com/perfume/Rayhaan/Lion-105031.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105031.jpg
Nocturno,https://www.fragrantica.com/perfume/Rayhaan/Nocturno-116731.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116731.jpg
Ocean Rush,https://www.fragrantica.com/perfume/Rayhaan/Ocean-Rush-107805.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107805.jpg
Ocean Rush,https://www.fragrantica.com/perfume/Rayhaan/Ocean-Rush-107857.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107857.jpg
Pacific,https://www.fragrantica.com/perfume/Rayhaan/Pacific-99293.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99293.jpg
Pacific Aura,https://www.fragrantica.com/perfume/Rayhaan/Pacific-Aura-109709.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.109709.jpg
Royal Wood,https://www.fragrantica.com/perfume/Rayhaan/Royal-Wood-107856.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107856.jpg
Seville,https://www.fragrantica.com/perfume/Rayhaan/Seville-120728.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120728.jpg
Terra,https://www.fragrantica.com/perfume/Rayhaan/Terra-118549.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118549.jpg
Tiger,https://www.fragrantica.com/perfume/Rayhaan/Tiger-112886.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.112886.jpg
Tropical Vibe,https://www.fragrantica.com/perfume/Rayhaan/Tropical-Vibe-118507.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118507.jpg
Valhalla,https://www.fragrantica.com/perfume/Rayhaan/Valhalla-113592.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113592.jpg
Wood Noir,https://www.fragrantica.com/perfume/Rayhaan/Wood-Noir-107859.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107859.jpg
Rayhaan Elixir,https://www.fragrantica.com/perfume/Rayhaan/Rayhaan-Elixir-95265.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95265.jpg
