name,link,image_url
51 Pour Femme Essence De Parfum fe,https://www.fragrantica.com/perfume/Roja-Dove/51-Pour-Femme-Essence-De-Parfum-65873.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65873.jpg
Ahlam fe,https://www.fragrantica.com/perfume/Roja-Dove/Ahlam-52452.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.52452.jpg
Apex,https://www.fragrantica.com/perfume/Roja-Dove/Apex-72723.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72723.jpg
Apex Eau Intense,https://www.fragrantica.com/perfume/Roja-Dove/Apex-Eau-Intense-103275.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.103275.jpg
Apex Parfum,https://www.fragrantica.com/perfume/Roja-Dove/Apex-Parfum-76244.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76244.jpg
Beguiled fe,https://www.fragrantica.com/perfume/Roja-Dove/Beguiled-31498.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31498.jpg
Britannia Jubilee Limited Edition fe,https://www.fragrantica.com/perfume/Roja-Dove/Britannia-Jubilee-Limited-Edition-38671.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38671.jpg
Burlington 1819,https://www.fragrantica.com/perfume/Roja-Dove/Burlington-1819-62320.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62320.jpg
Creation-E Essence de Parfum fe,https://www.fragrantica.com/perfume/Roja-Dove/Creation-E-Essence-de-Parfum-71918.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71918.jpg
Creation-E Parfum Cologne,https://www.fragrantica.com/perfume/Roja-Dove/Creation-E-Parfum-Cologne-71919.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71919.jpg
Creation-R Essence de Parfum fe,https://www.fragrantica.com/perfume/Roja-Dove/Creation-R-Essence-de-Parfum-74320.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74320.jpg
Danger fe,https://www.fragrantica.com/perfume/Roja-Dove/Danger-17935.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17935.jpg
Danger Pour Femme Essence De Parfum fe,https://www.fragrantica.com/perfume/Roja-Dove/Danger-Pour-Femme-Essence-De-Parfum-65872.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.65872.jpg
Danger Pour Homme,https://www.fragrantica.com/perfume/Roja-Dove/Danger-Pour-Homme-17934.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17934.jpg
Danger Pour Homme Parfum Cologne,https://www.fragrantica.com/perfume/Roja-Dove/Danger-Pour-Homme-Parfum-Cologne-57875.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57875.jpg
Elixir Pour Femme Essence De Parfum fe,https://www.fragrantica.com/perfume/Roja-Dove/Elixir-Pour-Femme-Essence-De-Parfum-53131.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53131.jpg
