name,link,image_url
Al Amaken female,https://www.fragrantica.com/perfume/Swiss-Arabian/Al-Amaken-22928.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22928.jpg
Al Waseem male,https://www.fragrantica.com/perfume/Swiss-Arabian/Al-Waseem-10839.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10839.jpg
Crystal Rose fe,https://www.fragrantica.com/perfume/Swiss-Arabian/Crystal-Rose-53854.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53854.jpg
Daeeman unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Daeeman-19466.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19466.jpg
Dehn El Oud Malaki unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Dehn-El-Oud-Malaki-10841.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10841.jpg
Edge female,https://www.fragrantica.com/perfume/Swiss-Arabian/Edge-22990.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22990.jpg
Edge male,https://www.fragrantica.com/perfume/Swiss-Arabian/Edge-22991.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22991.jpg
Edge Intense male,https://www.fragrantica.com/perfume/Swiss-Arabian/Edge-Intense-53911.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53911.jpg
Edge Intense fe,https://www.fragrantica.com/perfume/Swiss-Arabian/Edge-Intense-53912.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53912.jpg
Essence de la Vie,https://www.fragrantica.com/perfume/Swiss-Arabian/Essence-de-la-Vie-72818.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72818.jpg
Fadeitak female,https://www.fragrantica.com/perfume/Swiss-Arabian/Fadeitak-10844.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10844.jpg
Faith female,https://www.fragrantica.com/perfume/Swiss-Arabian/Faith-19461.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19461.jpg
Ghazi male,https://www.fragrantica.com/perfume/Swiss-Arabian/Ghazi-56485.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56485.jpg
Ghazi Oud male,https://www.fragrantica.com/perfume/Swiss-Arabian/Ghazi-Oud-56486.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56486.jpg
Hamsah female,https://www.fragrantica.com/perfume/Swiss-Arabian/Hamsah-23113.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23113.jpg
Hayfa female,https://www.fragrantica.com/perfume/Swiss-Arabian/Hayfa-20767.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.20767.jpg
Imperial,https://www.fragrantica.com/perfume/Swiss-Arabian/Imperial-54039.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54039.jpg
Imperial Arabia,https://www.fragrantica.com/perfume/Swiss-Arabian/Imperial-Arabia-54038.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54038.jpg
Inara female,https://www.fragrantica.com/perfume/Swiss-Arabian/Inara-56233.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56233.jpg
Inara Oud female,https://www.fragrantica.com/perfume/Swiss-Arabian/Inara-Oud-56234.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56234.jpg
Jannet El Firdaus unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Jannet-El-Firdaus-20749.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.20749.jpg
Jannet El Firdaus Black,https://www.fragrantica.com/perfume/Swiss-Arabian/Jannet-El-Firdaus-Black-54040.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54040.jpg
Jannet El Firdaus Green,https://www.fragrantica.com/perfume/Swiss-Arabian/Jannet-El-Firdaus-Green-54069.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54069.jpg
Jannet El Firdaus White,https://www.fragrantica.com/perfume/Swiss-Arabian/Jannet-El-Firdaus-White-54068.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54068.jpg
Jawad unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Jawad-20768.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.20768.jpg
Kashkha CPO unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Kashkha-CPO-54144.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54144.jpg
Kenzy unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Kenzy-54145.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54145.jpg
Khateer male,https://www.fragrantica.com/perfume/Swiss-Arabian/Khateer-10846.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.10846.jpg
Maysoon female,https://www.fragrantica.com/perfume/Swiss-Arabian/Maysoon-19468.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19468.jpg
Miss Edge female,https://www.fragrantica.com/perfume/Swiss-Arabian/Miss-Edge-56236.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56236.jpg
Mr. Edge male,https://www.fragrantica.com/perfume/Swiss-Arabian/Mr-Edge-56237.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56237.jpg
Mutamayez male,https://www.fragrantica.com/perfume/Swiss-Arabian/Mutamayez-52871.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.52871.jpg
Nawaf male,https://www.fragrantica.com/perfume/Swiss-Arabian/Nawaf-22027.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22027.jpg
Noon unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Noon-54151.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54151.jpg
Noora unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Noora-19470.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19470.jpg
Noora Onyx fe,https://www.fragrantica.com/perfume/Swiss-Arabian/Noora-Onyx-54152.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54152.jpg
Nouf female,https://www.fragrantica.com/perfume/Swiss-Arabian/Nouf-19459.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19459.jpg
Oud Maknoon unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Oud-Maknoon-54196.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54196.jpg
Oud Malaki,https://www.fragrantica.com/perfume/Swiss-Arabian/Oud-Malaki-118007.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.118007.jpg
Raaqi male,https://www.fragrantica.com/perfume/Swiss-Arabian/Raaqi-54198.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54198.jpg
Rakaan male,https://www.fragrantica.com/perfume/Swiss-Arabian/Rakaan-11300.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11300.jpg
Rasheeqa female,https://www.fragrantica.com/perfume/Swiss-Arabian/Rasheeqa-19472.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19472.jpg
Sandalia unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Sandalia-20772.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.20772.jpg
Shadha female,https://www.fragrantica.com/perfume/Swiss-Arabian/Shadha-19473.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19473.jpg
Shawq unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Shawq-54284.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54284.jpg
Spirit male,https://www.fragrantica.com/perfume/Swiss-Arabian/Spirit-19464.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.19464.jpg
Spirit Absolute male,https://www.fragrantica.com/perfume/Swiss-Arabian/Spirit-Absolute-54285.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54285.jpg
Swiss Musk unisex,https://www.fragrantica.com/perfume/Swiss-Arabian/Swiss-Musk-54287.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54287.jpg
Whisper female,https://www.fragrantica.com/perfume/Swiss-Arabian/Whisper-54290.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54290.jpg
Zahra female,https://www.fragrantica.com/perfume/Swiss-Arabian/Zahra-11296.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11296.jpg
A Whiff of Five fe,https://www.fragrantica.com/perfume/Swiss-Arabian/A-Whiff-of-Five-63956.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63956.jpg
Agadir,https://www.fragrantica.com/perfume/Swiss-Arabian/Agadir-63977.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63977.jpg
Alchemy fe,https://www.fragrantica.com/perfume/Swiss-Arabian/Alchemy-63951.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63951.jpg
