perfume;url;perfume_name;perfume_link
Franck Olivier - Sun Java White;https://www.fragrantica.es/perfume/Franck-Olivier/Sun-Java-White-Men-19167.html;Sun Java White Men Franck Olivier;https://fimgs.net/mdimg/perfume-thumbs/375x500.19167.jpg
Armaf - Tres Nuit;https://www.fragrantica.es/perfume/Armaf/Tres-Nuit-27711.html;Tres Nuit Armaf;https://fimgs.net/mdimg/perfume-thumbs/375x500.27711.jpg
Lattafa - Al Nashama Caprice;https://www.fragrantica.es/perfume/Lattafa-Perfumes/Al-Nashama-Caprice-89764.html;Al Nashama Caprice Lattafa Perfumes;https://fimgs.net/mdimg/perfume-thumbs/375x500.89764.jpg
Lattafa - Qaaed;https://www.fragrantica.es/perfume/Lattafa-Perfumes/Qaa-ed-64949.html;Qaaed Lattafa Perfumes;https://fimgs.net/mdimg/perfume-thumbs/375x500.64949.jpg
Banana Republic - Tobacco & Tonka;https://www.fragrantica.es/perfume/Banana-Republic/Tobacco-Tonka-Bean-63828.html;Tobacco & Tonka Bean Banana Republic;https://fimgs.net/mdimg/perfume-thumbs/375x500.63828.jpg
Afnan - Supremacy Incense;https://www.fragrantica.com/perfume/Afnan/Supremacy-Incense-64372.html;Supremacy Incense Afnan;https://fimgs.net/mdimg/perfume-thumbs/375x500.64372.jpg
Jean Paul Gaultier - Le Male Elixir;https://www.fragrantica.es/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html;Le Male Elixir Jean Paul Gaultier;https://fimgs.net/mdimg/perfume-thumbs/375x500.81642.jpg
Gucci - Guilty Elixir de Parfum;https://www.fragrantica.es/perfume/Gucci/Guilty-Elixir-de-Parfum-pour-Homme-84547.html;Guilty Elixir de Parfum pour Homme Gucci;https://fimgs.net/mdimg/perfume-thumbs/375x500.84547.jpg
Hugo Boss - Boss Bottled Elixir;https://www.fragrantica.es/perfume/Hugo-Boss/Boss-Bottled-Elixir-84074.html;Boss Bottled Elixir Hugo Boss;https://fimgs.net/mdimg/perfume-thumbs/375x500.84074.jpg
Loewe - Esencia EDP;https://www.fragrantica.es/perfume/Loewe/Esencia-pour-Homme-Eau-de-Parfum-52268.html;Esencia pour Homme Eau de Parfum Loewe;https://fimgs.net/mdimg/perfume-thumbs/375x500.52268.jpg
Ralph Lauren - Ralphs Club Elixir;https://www.fragrantica.es/perfume/Ralph-Lauren/Ralph-s-Club-Elixir-84032.html;Ralphs Club Elixir Ralph Lauren;https://fimgs.net/mdimg/perfume-thumbs/375x500.84032.jpg
Argos - Triumph of Bacchus;https://www.fragrantica.es/perfume/Argos/Triumph-Of-Bacchus-60777.html;Triumph Of Bacchus Argos;https://fimgs.net/mdimg/perfume-thumbs/375x500.60777.jpg
City Rhythm - Miami;https://www.fragrantica.es/perfume/City-Rhythm/Miami-75008.html;Miami City Rhythm;https://fimgs.net/mdimg/perfume-thumbs/375x500.75008.jpg
Maison Crivelli - Hibiscus Mahajád;https://www.fragrantica.es/perfume/Maison-Crivelli/Hibiscus-Mahajad-69069.html;Hibiscus Mahajád Maison Crivelli;https://fimgs.net/mdimg/perfume-thumbs/375x500.69069.jpg
Uniquee Luxury - Crush on Me;https://www.fragrantica.es/perfume/Unique-e-Luxury/Crush-On-Me-66082.html;Crush On Me Uniquee Luxury;https://fimgs.net/mdimg/perfume-thumbs/375x500.66082.jpg
Fugazzi - Angel Dust;https://www.fragrantica.es/perfume/Fugazzi/Angel-Dust-73921.html;Angel Dust Fugazzi;https://fimgs.net/mdimg/perfume-thumbs/375x500.73921.jpg
Bohoboco - Wet Cherry Liquor;https://www.fragrantica.com/perfume/Bohoboco/Wet-Cherry-Liquor-74151.html;Wet Cherry Liquor Bohoboco;https://fimgs.net/mdimg/perfume-thumbs/375x500.74151.jpg
Gritti - Chantilly;https://www.fragrantica.es/perfume/Gritti/Chantilly-47446.html;Chantilly Gritti;https://fimgs.net/mdimg/perfume-thumbs/375x500.47446.jpg
Sol de Janeiro - Cheirosa 62;https://www.fragrantica.es/perfume/Sol-de-Janeiro/Cheirosa-62-56062.html;Cheirosa 62 Sol de Janeiro;https://fimgs.net/mdimg/perfume-thumbs/375x500.56062.jpg
Sol de Janeiro - Cheirosa 71;https://www.fragrantica.es/perfume/Sol-de-Janeiro/Cheirosa-71-63079.html;Cheirosa 71 Sol de Janeiro;https://fimgs.net/mdimg/perfume-thumbs/375x500.63079.jpg
