name,link,image_url
Valentino fe,https://www.fragrantica.com/perfume/Valentino/Valentino-2583.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2583.jpg
Valentino Eau de Parfum fe,https://www.fragrantica.com/perfume/Valentino/Valentino-Eau-de-Parfum-5409.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5409.jpg
Valentino Gold fe,https://www.fragrantica.com/perfume/Valentino/Valentino-Gold-2035.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2035.jpg
Amour Sans Detour fe,https://www.fragrantica.com/perfume/Valentino/Amour-Sans-Detour-113113.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.113113.jpg
Behind The Seen,https://www.fragrantica.com/perfume/Valentino/Behind-The-Seen-95544.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95544.jpg
Bianco 1968,https://www.fragrantica.com/perfume/Valentino/Bianco-1968-97909.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97909.jpg
Club Couture,https://www.fragrantica.com/perfume/Valentino/Club-Couture-95541.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95541.jpg
L'innocence de L'air,https://www.fragrantica.com/perfume/Valentino/L-innocence-de-L-air-95540.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95540.jpg
Notte d'Oro,https://www.fragrantica.com/perfume/Valentino/Notte-d-Oro-95538.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95538.jpg
Private Talk,https://www.fragrantica.com/perfume/Valentino/Private-Talk-95539.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95539.jpg
Punk Romantic,https://www.fragrantica.com/perfume/Valentino/Punk-Romantic-95543.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95543.jpg
Rockstud Noir,https://www.fragrantica.com/perfume/Valentino/Rockstud-Noir-97910.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.97910.jpg
Sogno In Rosso,https://www.fragrantica.com/perfume/Valentino/Sogno-In-Rosso-95537.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95537.jpg
Born in Roma Extradose Donna fe,https://www.fragrantica.com/perfume/Valentino/Born-in-Roma-Extradose-Donna-101384.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101384.jpg
Born in Roma the Gold Donna fe,https://www.fragrantica.com/perfume/Valentino/Born-in-Roma-the-Gold-Donna-95704.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95704.jpg
Valentino Donna Born In Roma fe,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.55805.jpg
Valentino Donna Born In Roma Coral Fantasy fe,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-Coral-Fantasy-71760.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.71760.jpg
Valentino Donna Born in Roma Green Stravaganza fe,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-in-Roma-Green-Stravaganza-88988.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88988.jpg
Valentino Donna Born In Roma Intense fe,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-Intense-78739.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78739.jpg
