name,link,image_url
Blonde fe,https://www.fragrantica.com/perfume/Versace/Blonde-1412.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.1412.jpg
Crystal Emerald fe,https://www.fragrantica.com/perfume/Versace/Crystal-Emerald-115545.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115545.jpg
Dreamer The Original Edition,https://www.fragrantica.com/perfume/Versace/Dreamer-The-Original-Edition-642.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.642.jpg
Gianni Versace fe,https://www.fragrantica.com/perfume/Versace/Gianni-Versace-3913.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3913.jpg
The Dreamer,https://www.fragrantica.com/perfume/Versace/The-Dreamer-59417.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59417.jpg
V'E fe,https://www.fragrantica.com/perfume/Versace/V-E-7911.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7911.jpg
Versace L'Homme,https://www.fragrantica.com/perfume/Versace/Versace-L-Homme-647.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.647.jpg
Versense fe,https://www.fragrantica.com/perfume/Versace/Versense-5752.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5752.jpg
Ambre Nectar,https://www.fragrantica.com/perfume/Versace/Ambre-Nectar-98609.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.98609.jpg
Cédrat de Diamante,https://www.fragrantica.com/perfume/Versace/Cedrat-de-Diamante-57695.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57695.jpg
Éclat de Rose,https://www.fragrantica.com/perfume/Versace/Eclat-de-Rose-57697.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57697.jpg
Encens Suprême unisex,https://www.fragrantica.com/perfume/Versace/Encens-Supreme-70882.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70882.jpg
Figue Blanche,https://www.fragrantica.com/perfume/Versace/Figue-Blanche-57699.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57699.jpg
