name,link,image_url
Victoria's Secret After Midnight Aphrodisiac Pulse Point fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/After-Midnight-Aphrodisiac-Pulse-Point-21384.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21384.jpg
Victoria's Secret Afternoon Light fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Afternoon-Light-115109.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115109.jpg
Victoria's Secret Amber Romance Brulee,https://www.fragrantica.com/perfume/Victoria-s-Secret/Amber-Romance-Brulee-111825.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111825.jpg
Victoria's Secret Angels Only fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Angels-Only-24876.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24876.jpg
Victoria's Secret Apple Crisp,https://www.fragrantica.com/perfume/Victoria-s-Secret/Apple-Crisp-111488.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111488.jpg
Victoria's Secret Bare Sueded Vanilla,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bare-Sueded-Vanilla-121293.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.121293.jpg
Victoria's Secret Bare Vanilla Brulee fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bare-Vanilla-Brulee-111842.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111842.jpg
Victoria's Secret Bare Vanilla Intense Body Mist,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bare-Vanilla-Intense-Body-Mist-120607.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.120607.jpg
Victoria's Secret Bare Vanilla Starlit,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bare-Vanilla-Starlit-100363.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100363.jpg
Victoria's Secret Basic Instinct fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Basic-Instinct-3275.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3275.jpg
Victoria's Secret Biscotti Delight fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Biscotti-Delight-119727.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119727.jpg
Victoria's Secret Body by Victoria 2002 fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Body-by-Victoria-2002-3276.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3276.jpg
Victoria's Secret Body by Victoria 2012 fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Body-by-Victoria-2012-15757.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15757.jpg
Victoria's Secret Body by Victoria 2014 fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Body-by-Victoria-2014-23672.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.23672.jpg
Victoria's Secret Breathless fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Breathless-3277.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3277.jpg
Victoria's Secret Brown Sugar fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Brown-Sugar-111491.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111491.jpg
Victoria's Secret Buttery Sugary,https://www.fragrantica.com/perfume/Victoria-s-Secret/Buttery-Sugary-111184.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111184.jpg
Victoria's Secret Capri Lemon Leaves female,https://www.fragrantica.com/perfume/Victoria-s-Secret/Capri-Lemon-Leaves-116440.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116440.jpg
Victoria's Secret Cashmere Fleur fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cashmere-Fleur-111492.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111492.jpg
Victoria's Secret Cashmere Orchid fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cashmere-Orchid-115110.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115110.jpg
Victoria's Secret Charming Rose fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Charming-Rose-115111.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115111.jpg
Victoria's Secret Cherry Bite fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cherry-Bite-114921.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114921.jpg
Victoria's Secret Cherry Cola Hair and Body Mist,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cherry-Cola-Hair-and-Body-Mist-117931.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117931.jpg
Victoria's Secret Cherry Desire,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cherry-Desire-111242.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111242.jpg
Victoria's Secret Cherry Milkshake fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cherry-Milkshake-114920.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114920.jpg
Victoria's Secret Chrome Peony fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Chrome-Peony-106161.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106161.jpg
Victoria's Secret Cinn-a-Drizzle,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cinn-a-Drizzle-111487.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111487.jpg
Victoria's Secret Cloud Blush fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cloud-Blush-114707.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114707.jpg
Victoria's Secret Coconut Cream fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Coconut-Cream-119726.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.119726.jpg
Victoria's Secret Coconut Passion Brulee fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Coconut-Passion-Brulee-111823.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111823.jpg
Victoria's Secret Cool & Bright Crème fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cool-Bright-Creme-117765.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117765.jpg
Victoria's Secret Cozy Vanilla Cashmere fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Cozy-Vanilla-Cashmere-110840.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110840.jpg
Victoria's Secret Crisp Yuzu Orchid fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Crisp-Yuzu-Orchid-107064.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107064.jpg
Victoria's Secret Crush fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Crush-40201.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40201.jpg
Victoria's Secret Decadent Plum fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Decadent-Plum-111241.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111241.jpg
Victoria's Secret Dewy Dragonfruit Nectar fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Dewy-Dragonfruit-Nectar-107062.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107062.jpg
Victoria's Secret Dream Angel Eau de Parfum 2019 fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Dream-Angel-Eau-de-Parfum-2019-57377.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57377.jpg
Victoria's Secret Dreamy Apple Orchard,https://www.fragrantica.com/perfume/Victoria-s-Secret/Dreamy-Apple-Orchard-110842.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.110842.jpg
Victoria's Secret Dreamy Petals fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Dreamy-Petals-115112.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.115112.jpg
Victoria's Secret Exotic Bloom fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Exotic-Bloom-14363.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14363.jpg
Victoria's Secret Fabulous fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Fabulous-17699.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.17699.jpg
Victoria's Secret Fabulous (2015) fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Fabulous-2015-31110.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31110.jpg
Victoria's Secret Fearless fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Fearless-27505.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.27505.jpg
Victoria's Secret Festive Fizz fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Festive-Fizz-117353.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117353.jpg
Victoria's Secret Forbidden Cherry fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Forbidden-Cherry-114922.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114922.jpg
Victoria's Secret Forever Sexy fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Forever-Sexy-31890.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31890.jpg
Victoria's Secret Gilded Vanilla fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Gilded-Vanilla-106162.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106162.jpg
Victoria's Secret Glam Goddess fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Glam-Goddess-14361.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14361.jpg
Victoria's Secret Glamour fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Glamour-22855.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.22855.jpg
Victoria's Secret Good Ghoul,https://www.fragrantica.com/perfume/Victoria-s-Secret/Good-Ghoul-111185.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111185.jpg
Victoria's Secret Gorgeous fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Gorgeous-13528.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.13528.jpg
Victoria's Secret Haunt Mess,https://www.fragrantica.com/perfume/Victoria-s-Secret/Haunt-Mess-111490.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111490.jpg
Victoria's Secret Heavenly Dream Angel fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Heavenly-Dream-Angel-80509.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80509.jpg
Victoria's Secret Heavenly Eau de Parfum fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Heavenly-Eau-de-Parfum-24877.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.24877.jpg
Victoria's Secret Heavenly Eau de Parfum 2019 fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Heavenly-Eau-de-Parfum-2019-57376.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.57376.jpg
Victoria's Secret Heavenly Eau de Parfum 2023 fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Heavenly-Eau-de-Parfum-2023-80476.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80476.jpg
Victoria's Secret Incredible fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Incredible-11645.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11645.jpg
Victoria's Secret Incredible Daring fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Incredible-Daring-14358.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14358.jpg
Victoria's Secret Intense fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Intense-40940.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40940.jpg
Victoria's Secret London fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/London-15957.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.15957.jpg
Victoria's Secret Love Bitten fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-Bitten-14360.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14360.jpg
Victoria's Secret Love is Heavenly fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-is-Heavenly-14931.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.14931.jpg
Victoria's Secret Love is Heavenly (2016) fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-is-Heavenly-2016-39089.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.39089.jpg
Victoria's Secret Love Rocks fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-Rocks-7496.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.7496.jpg
Victoria's Secret Love Spell Brulee,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-Spell-Brulee-111844.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.111844.jpg
Victoria's Secret Lush Starfruit Lotus fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Lush-Starfruit-Lotus-107065.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107065.jpg
Victoria's Secret Mango Smash fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Mango-Smash-116437.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.116437.jpg
Victoria's Secret Merry Delights fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Merry-Delights-117351.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117351.jpg
Victoria's Secret Midnight Magic fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Midnight-Magic-117352.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117352.jpg
Victoria's Secret Mirrored Pom fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Mirrored-Pom-106164.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.106164.jpg
Victoria's Secret Misted Magnolia Melon fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Misted-Magnolia-Melon-107063.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107063.jpg
Victoria's Secret Naughty Spice fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Naughty-Spice-117354.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.117354.jpg
Victoria's Secret Night fe,https://www.fragrantica.com/perfume/Victoria-s-Secret/Night-21383.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21383.jpg
