name,link,image_url
Aubres,https://www.fragrantica.com/perfume/Xerjoff/Aubres-45885.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45885.jpg
Begum,https://www.fragrantica.com/perfume/Xerjoff/Begum-31930.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31930.jpg
Verde Accento,https://www.fragrantica.com/perfume/Xerjoff/Verde-Accento-105329.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.105329.jpg
Via Manzoni 20,https://www.fragrantica.com/perfume/Xerjoff/Via-Manzoni-20-114717.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.114717.jpg
Wabar fe,https://www.fragrantica.com/perfume/Xerjoff/Wabar-42270.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42270.jpg
Amphorae 16,https://www.fragrantica.com/perfume/Xerjoff/Amphorae-16-76174.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76174.jpg
Amphorae 17,https://www.fragrantica.com/perfume/Xerjoff/Amphorae-17-76175.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76175.jpg
Amphorae 27,https://www.fragrantica.com/perfume/Xerjoff/Amphorae-27-76176.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76176.jpg
Amphorae 39,https://www.fragrantica.com/perfume/Xerjoff/Amphorae-39-76177.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76177.jpg
Amphorae 48,https://www.fragrantica.com/perfume/Xerjoff/Amphorae-48-76178.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76178.jpg
Amphorae 56,https://www.fragrantica.com/perfume/Xerjoff/Amphorae-56-76179.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.76179.jpg
Pikovaya Dama,https://www.fragrantica.com/perfume/Xerjoff/Pikovaya-Dama-31624.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31624.jpg
1888,https://www.fragrantica.com/perfume/Xerjoff/1888-21616.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.21616.jpg
Bouquet Ideale fe,https://www.fragrantica.com/perfume/Xerjoff/Bouquet-Ideale-11800.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11800.jpg
Casafutura,https://www.fragrantica.com/perfume/Xerjoff/Casafutura-70113.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.70113.jpg
Casamorati Harrods Edition,https://www.fragrantica.com/perfume/Xerjoff/Casamorati-Harrods-Edition-102771.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.102771.jpg
Corallo,https://www.fragrantica.com/perfume/Xerjoff/Corallo-51462.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51462.jpg
