name,link,image_url
Saharienne fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Saharienne-11844.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.11844.jpg
Vice Versa fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Vice-Versa-4236.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4236.jpg
Y fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-100.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100.jpg
Baby Doll fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-99.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.99.jpg
Baby Doll Candy Pink fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-Candy-Pink-2952.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2952.jpg
Baby Doll Honeymoon Limited Edition fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-Honeymoon-Limited-Edition-5605.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.5605.jpg
Baby Doll Lucky Game fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-Lucky-Game-2953.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2953.jpg
Baby Doll Magic fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-Magic-2954.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.2954.jpg
Baby Doll Magic fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-Magic-3317.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.3317.jpg
Baby Doll Music Box Collector 2007 fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Baby-Doll-Music-Box-Collector-2007-4042.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.4042.jpg
Black Opium fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.25324.jpg
Black Opium Baby Cat Collector fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Baby-Cat-Collector-63448.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.63448.jpg
Black Opium Crystal Jacket fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Crystal-Jacket-59307.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59307.jpg
Black Opium Dazzling Lights Edition fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Dazzling-Lights-Edition-47527.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47527.jpg
Black Opium Eau de Toilette fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Eau-de-Toilette-31440.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.31440.jpg
Black Opium Eau de Toilette (2018) fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Eau-de-Toilette-2018-48042.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.48042.jpg
Black Opium Exotic Illusion fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Exotic-Illusion-54536.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.54536.jpg
Black Opium Extreme fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Extreme-68506.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68506.jpg
Black Opium Floral Shock fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Floral-Shock-42056.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42056.jpg
Black Opium Glitter fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Glitter-100628.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.100628.jpg
Black Opium Gold Attraction Edition fe,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Gold-Attraction-Edition-52109.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.52109.jpg
