name,link,image_url
Bat Edition 2020,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Bat-Edition-2020-59596.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59596.jpg
Beaver Maple Edition,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Beaver-Maple-Edition-101664.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.101664.jpg
Bee,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Bee-58140.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.58140.jpg
Camel,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Camel-47334.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.47334.jpg
Chameleon,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Chameleon-53015.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53015.jpg
Chipmunk,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Chipmunk-67998.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67998.jpg
Civet,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Civet-42936.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.42936.jpg
Cockatiel,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Cockatiel-75184.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.75184.jpg
Cow,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Cow-72365.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.72365.jpg
Dodo Jackfruit Edition,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Dodo-Jackfruit-Edition-83211.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83211.jpg
Dragonfly Edition 2021,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Dragonfly-Edition-2021-67999.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.67999.jpg
Elephant,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Elephant-46803.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.46803.jpg
Harvest Mouse,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Harvest-Mouse-78580.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.78580.jpg
Hummingbird,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Hummingbird-32601.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.32601.jpg
Hyrax,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Hyrax-49269.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49269.jpg
King Cobra,https://www.fragrantica.com/perfume/Zoologist-Perfumes/King-Cobra-95714.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.95714.jpg
Koala,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Koala-61583.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.61583.jpg
Macaque Fuji Apple Edition,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Macaque-Fuji-Apple-Edition-68000.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68000.jpg
Macaque Yuzu Edition,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Macaque-Yuzu-Edition-68001.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.68001.jpg
Moth,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Moth-49270.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.49270.jpg
Musk Deer,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Musk-Deer-62710.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.62710.jpg
Nightingale,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Nightingale-40840.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40840.jpg
Northern Cardinal,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Northern-Cardinal-74111.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74111.jpg
Olm,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Olm-104986.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.104986.jpg
Orchid Mantis,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Orchid-Mantis-107250.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.107250.jpg
Panda Edition 2017,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Panda-Edition-2017-45873.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45873.jpg
Penguin,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Penguin-88917.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.88917.jpg
Portuguese Man O' War,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Portuguese-Man-O-War-108729.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.108729.jpg
Rabbit,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Rabbit-91167.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.91167.jpg
Rhinoceros Edition 2020,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Rhinoceros-Edition-2020-64004.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64004.jpg
Sacred Scarab,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Sacred-Scarab-74638.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.74638.jpg
Sacred Scarab Attar,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Sacred-Scarab-Attar-83210.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.83210.jpg
Seahorse,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Seahorse-69386.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.69386.jpg
Sloth,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Sloth-59597.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.59597.jpg
Snowy Owl,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Snowy-Owl-64381.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64381.jpg
Squid,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Squid-56294.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.56294.jpg
Tiger,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Tiger-80103.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.80103.jpg
Tyrannosaurus Rex,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Tyrannosaurus-Rex-51353.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.51353.jpg
Bat,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Bat-34606.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.34606.jpg
Beaver,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Beaver-28189.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28189.jpg
Beaver Edition 2016,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Beaver-Edition-2016-38969.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.38969.jpg
Dodo,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Dodo-53327.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.53327.jpg
Dodo Edition 2020,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Dodo-Edition-2020-64003.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.64003.jpg
Dragonfly,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Dragonfly-45790.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.45790.jpg
Macaque,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Macaque-40839.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.40839.jpg
Panda,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Panda-28190.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28190.jpg
Rhinoceros,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Rhinoceros-28191.html,https://fimgs.net/mdimg/perfume-thumbs/375x500.28191.jpg
